factor_id,family_id,family_weight,factor_weight_in_family,global_weight,minimum_family_factor_count,evidence_role
FIN_GROSS_MARGIN_TTM,PROFITABILITY_RETURNS,0.30,0.15,0.045,3,CORE_SCORE
FIN_OPERATING_MARGIN_TTM,PROFITABILITY_RETURNS,0.30,0.20,0.060,3,CORE_SCORE
FIN_NET_MARGIN_PARENT_TTM,PROFITABILITY_RETURNS,0.30,0.20,0.060,3,CORE_SCORE
FIN_ROA_AVG_ASSETS_TTM,PROFITABILITY_RETURNS,0.30,0.20,0.060,3,CORE_SCORE
FIN_ROE_AVG_PARENT_EQUITY_TTM,PROFITABILITY_RETURNS,0.30,0.25,0.075,3,CORE_SCORE
FIN_REVENUE_YOY,GROWTH_MOMENTUM,0.25,0.25,0.0625,3,CORE_SCORE
FIN_PARENT_NI_YOY,GROWTH_MOMENTUM,0.25,0.25,0.0625,3,CORE_SCORE
FIN_CFO_YOY,GROWTH_MOMENTUM,0.25,0.15,0.0375,3,CORE_SCORE
FIN_GROSS_MARGIN_YOY_DELTA,GROWTH_MOMENTUM,0.25,0.15,0.0375,3,CORE_SCORE
FIN_OPERATING_MARGIN_YOY_DELTA,GROWTH_MOMENTUM,0.25,0.20,0.050,3,CORE_SCORE
FIN_CFO_MARGIN_TTM,CASH_EARNINGS_QUALITY,0.25,0.25,0.0625,3,CORE_SCORE
FIN_FCF_MARGIN_TTM,CASH_EARNINGS_QUALITY,0.25,0.30,0.075,3,CORE_SCORE
FIN_CFO_TO_PARENT_NI_TTM,CASH_EARNINGS_QUALITY,0.25,0.25,0.0625,3,CORE_SCORE
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,CASH_EARNINGS_QUALITY,0.25,0.20,0.050,3,CORE_SCORE
FIN_CURRENT_RATIO,BALANCE_SHEET_EFFICIENCY,0.20,0.20,0.040,2,CORE_SCORE
FIN_CASH_TO_SHORT_DEBT,BALANCE_SHEET_EFFICIENCY,0.20,0.20,0.040,2,CORE_SCORE
FIN_LIABILITIES_TO_ASSETS,BALANCE_SHEET_EFFICIENCY,0.20,0.30,0.060,2,CORE_SCORE
FIN_ASSET_TURNOVER_TTM,BALANCE_SHEET_EFFICIENCY,0.20,0.30,0.060,2,CORE_SCORE
