symbol,sector_profile,normalized_fact_count,factor_period_count,profile_basis,authority,trade_authority,profile_reconciliation_status,industry_neutral_scoring_authorized,profile_hardening_authorized
000001.SZ,BANK,296,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,CONTROLLED_EXCLUSION_PENDING_SECTOR_FACTOR_PACK,False,False
000002.SZ,GENERAL_NON_FINANCIAL,386,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000006.SZ,GENERAL_NON_FINANCIAL,345,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000007.SZ,GENERAL_NON_FINANCIAL,354,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000008.SZ,GENERAL_NON_FINANCIAL,377,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000009.SZ,GENERAL_NON_FINANCIAL,398,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000010.SZ,GENERAL_NON_FINANCIAL,344,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000011.SZ,GENERAL_NON_FINANCIAL,380,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000012.SZ,GENERAL_NON_FINANCIAL,377,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
000014.SZ,GENERAL_NON_FINANCIAL,328,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE,COARSE_PROFILE_ACCEPTED_FOR_HARDENING,False,True
