factor_id,sector_profile,factor_status,valid_or_warning_count,profile_symbol_count,coverage_ratio,minimum,q001,q01,median,q99,q999,maximum,mad,peer_group_method,industry_neutral,authority,trade_authority
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,5009,5104,0.9813871473354232,-1.2218048957816643,-0.5730840333150117,-0.2482699267326088,-0.028157280311348322,0.1859749648877148,0.441759050006055,0.7024183942866924,0.035419316746915584,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,5009,5104,0.9813871473354232,-0.21340647095181856,0.0008770318557674512,0.05739074738701854,0.4728850026167389,2.4535362584579192,5.245576648813226,9.19577117011896,0.18670793818544607,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
