statement,provider_field_name,mapping_status,canonical_field_id,fact_count
income_statement,SECURITY_TYPE_CODE,UNMAPPED_RAW_ONLY,,46693
income_statement,PARENT_NETPROFIT,MAPPED_EXACT_ALIAS,net_income_parent,46693
income_statement,__period,UNMAPPED_RAW_ONLY,,46693
income_statement,TOTAL_PROFIT,MAPPED_EXACT_ALIAS,pretax_income,46684
cash_flow,NETCASH_OPERATE,MAPPED_EXACT_ALIAS,cfo,46676
cash_flow,__period,UNMAPPED_RAW_ONLY,,46676
cash_flow,SECURITY_TYPE_CODE,UNMAPPED_RAW_ONLY,,46676
income_statement,OPERATE_PROFIT,MAPPED_EXACT_ALIAS,operating_income,46675
income_statement,DEDUCT_PARENT_NETPROFIT,UNMAPPED_RAW_ONLY,,46671
cash_flow,PAY_ALL_TAX,UNMAPPED_RAW_ONLY,,46624
cash_flow,TOTAL_OPERATE_OUTFLOW,UNMAPPED_RAW_ONLY,,46624
cash_flow,TOTAL_OPERATE_INFLOW,UNMAPPED_RAW_ONLY,,46624
cash_flow,END_CCE,MAPPED_EXACT_ALIAS,ending_cash,46624
cash_flow,CCE_ADD,MAPPED_EXACT_ALIAS,net_change_cash,46624
income_statement,NETPROFIT,MAPPED_EXACT_ALIAS,net_income,46623
cash_flow,BEGIN_CCE,MAPPED_EXACT_ALIAS,beginning_cash,46623
cash_flow,PAY_STAFF_CASH,UNMAPPED_RAW_ONLY,,46622
cash_flow,PAY_OTHER_OPERATE,UNMAPPED_RAW_ONLY,,46620
income_statement,OPERATE_TAX_ADD,UNMAPPED_RAW_ONLY,,46617
cash_flow,END_CCE_BALANCE,MAPPED_EXACT_ALIAS,cash_rollforward_adjustment,46615
cash_flow,OPERATE_OUTFLOW_BALANCE,UNMAPPED_RAW_ONLY,,46615
cash_flow,CCE_ADD_BALANCE,UNMAPPED_RAW_ONLY,,46615
cash_flow,OPERATE_INFLOW_BALANCE,UNMAPPED_RAW_ONLY,,46615
cash_flow,OPERATE_NETCASH_BALANCE,UNMAPPED_RAW_ONLY,,46615
income_statement,OPERATE_INCOME,MAPPED_EXACT_ALIAS,revenue,46614
income_statement,TOTAL_PROFIT_BALANCE,UNMAPPED_RAW_ONLY,,46612
cash_flow,RECEIVE_OTHER_OPERATE,UNMAPPED_RAW_ONLY,,46609
income_statement,BASIC_EPS,MAPPED_EXACT_ALIAS,eps_basic,46596
income_statement,TOTAL_COMPRE_INCOME,UNMAPPED_RAW_ONLY,,46584
cash_flow,NETCASH_INVEST,MAPPED_EXACT_ALIAS,cfi,46580
cash_flow,INVEST_NETCASH_BALANCE,UNMAPPED_RAW_ONLY,,46571
cash_flow,TOTAL_INVEST_OUTFLOW,UNMAPPED_RAW_ONLY,,46528
cash_flow,INVEST_OUTFLOW_BALANCE,UNMAPPED_RAW_ONLY,,46522
income_statement,OTHER_INCOME,UNMAPPED_RAW_ONLY,,46483
balance_sheet,SECURITY_TYPE_CODE,UNMAPPED_RAW_ONLY,,46464
balance_sheet,TOTAL_ASSETS,MAPPED_EXACT_ALIAS,total_assets,46464
balance_sheet,__period,UNMAPPED_RAW_ONLY,,46464
balance_sheet,LISTING_STATE,UNMAPPED_RAW_ONLY,,46464
balance_sheet,TOTAL_PARENT_EQUITY,MAPPED_EXACT_ALIAS,parent_equity,46463
balance_sheet,TOTAL_LIABILITIES,MAPPED_EXACT_ALIAS,total_liabilities,46453
cash_flow,CONSTRUCT_LONG_ASSET,MAPPED_EXACT_ALIAS,capex,46448
income_statement,PARENT_NETPROFIT_YOY,UNMAPPED_RAW_ONLY,,46410
balance_sheet,TOTAL_EQUITY,MAPPED_EXACT_ALIAS,total_equity,46379
balance_sheet,UNASSIGN_RPOFIT,UNMAPPED_RAW_ONLY,,46379
balance_sheet,TOTAL_LIAB_EQUITY,MAPPED_EXACT_ALIAS,liabilities_equity,46379
balance_sheet,SHARE_CAPITAL,UNMAPPED_RAW_ONLY,,46379
balance_sheet,FIXED_ASSET,MAPPED_EXACT_ALIAS,ppne_net,46378
balance_sheet,LIAB_BALANCE,UNMAPPED_RAW_ONLY,,46378
balance_sheet,PARENT_EQUITY_BALANCE,UNMAPPED_RAW_ONLY,,46378
balance_sheet,ASSET_BALANCE,UNMAPPED_RAW_ONLY,,46378
balance_sheet,TAX_PAYABLE,UNMAPPED_RAW_ONLY,,46377
income_statement,TOTAL_PROFIT_YOY,UNMAPPED_RAW_ONLY,,46374
income_statement,PARENT_TCI,UNMAPPED_RAW_ONLY,,46373
cash_flow,NETCASH_OPERATE_YOY,UNMAPPED_RAW_ONLY,,46369
income_statement,OPERATE_PROFIT_YOY,UNMAPPED_RAW_ONLY,,46365
income_statement,DEDUCT_PARENT_NETPROFIT_YOY,UNMAPPED_RAW_ONLY,,46351
balance_sheet,EQUITY_BALANCE,UNMAPPED_RAW_ONLY,,46333
balance_sheet,STAFF_SALARY_PAYABLE,UNMAPPED_RAW_ONLY,,46305
cash_flow,END_CCE_YOY,UNMAPPED_RAW_ONLY,,46274
cash_flow,CCE_ADD_YOY,UNMAPPED_RAW_ONLY,,46274
cash_flow,TOTAL_OPERATE_INFLOW_YOY,UNMAPPED_RAW_ONLY,,46274
cash_flow,TOTAL_OPERATE_OUTFLOW_YOY,UNMAPPED_RAW_ONLY,,46274
cash_flow,PAY_ALL_TAX_YOY,UNMAPPED_RAW_ONLY,,46273
cash_flow,BEGIN_CCE_YOY,UNMAPPED_RAW_ONLY,,46273
cash_flow,PAY_STAFF_CASH_YOY,UNMAPPED_RAW_ONLY,,46272
income_statement,NETPROFIT_YOY,UNMAPPED_RAW_ONLY,,46272
balance_sheet,CAPITAL_RESERVE,UNMAPPED_RAW_ONLY,,46270
cash_flow,PAY_OTHER_OPERATE_YOY,UNMAPPED_RAW_ONLY,,46270
income_statement,OPERATE_TAX_ADD_YOY,UNMAPPED_RAW_ONLY,,46263
income_statement,OPERATE_INCOME_YOY,UNMAPPED_RAW_ONLY,,46258
cash_flow,RECEIVE_OTHER_OPERATE_YOY,UNMAPPED_RAW_ONLY,,46256
income_statement,TOTAL_COMPRE_INCOME_YOY,UNMAPPED_RAW_ONLY,,46223
income_statement,OPERATE_PROFIT_BALANCE,UNMAPPED_RAW_ONLY,,46216
cash_flow,NETCASH_INVEST_YOY,UNMAPPED_RAW_ONLY,,46199
balance_sheet,INTANGIBLE_ASSET,MAPPED_EXACT_ALIAS,intangibles_net,46180
income_statement,CONTINUED_NETPROFIT,UNMAPPED_RAW_ONLY,,46166
income_statement,BASIC_EPS_YOY,UNMAPPED_RAW_ONLY,,46140
cash_flow,TOTAL_INVEST_OUTFLOW_YOY,UNMAPPED_RAW_ONLY,,46115
income_statement,OTHER_INCOME_YOY,UNMAPPED_RAW_ONLY,,46059
cash_flow,NETCASH_FINANCE,MAPPED_EXACT_ALIAS,cff,46046
cash_flow,FINANCE_NETCASH_BALANCE,UNMAPPED_RAW_ONLY,,46040
income_statement,INCOME_TAX,MAPPED_EXACT_ALIAS,tax_expense,46039
balance_sheet,TOTAL_ASSETS_YOY,UNMAPPED_RAW_ONLY,,46003
balance_sheet,TOTAL_PARENT_EQUITY_YOY,UNMAPPED_RAW_ONLY,,46001
cash_flow,CONSTRUCT_LONG_ASSET_YOY,UNMAPPED_RAW_ONLY,,45994
income_statement,DILUTED_EPS,MAPPED_EXACT_ALIAS,eps_diluted,45994
balance_sheet,TOTAL_LIABILITIES_YOY,UNMAPPED_RAW_ONLY,,45976
balance_sheet,MONETARYFUNDS,MAPPED_EXACT_ALIAS,cash_equivalents,45974
income_statement,PARENT_TCI_YOY,UNMAPPED_RAW_ONLY,,45968
balance_sheet,ACCOUNTS_PAYABLE,MAPPED_EXACT_ALIAS,accounts_payable,45936
cash_flow,TOTAL_FINANCE_OUTFLOW,UNMAPPED_RAW_ONLY,,45921
cash_flow,FINANCE_OUTFLOW_BALANCE,UNMAPPED_RAW_ONLY,,45912
balance_sheet,SHARE_CAPITAL_YOY,UNMAPPED_RAW_ONLY,,45846
balance_sheet,TOTAL_LIAB_EQUITY_YOY,UNMAPPED_RAW_ONLY,,45846
balance_sheet,TOTAL_EQUITY_YOY,UNMAPPED_RAW_ONLY,,45846
balance_sheet,FIXED_ASSET_YOY,UNMAPPED_RAW_ONLY,,45845
balance_sheet,UNASSIGN_RPOFIT_YOY,UNMAPPED_RAW_ONLY,,45844
balance_sheet,TAX_PAYABLE_YOY,UNMAPPED_RAW_ONLY,,45838
