shard_id,symbol,retry_reason,retry_scope,status,trade_authority
2,688836.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
5,688825.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
18,603435.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
19,688828.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
22,001237.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
22,688835.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
25,301677.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
27,301655.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
31,301669.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
31,603468.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
