event_type,domain,detection_key,effective_time_rule,affected_scope,recompute_targets,full_rebuild_trigger,requires_pit_replay,incremental_allowed,authority,trade_authority
MARKET_SESSION_ADVANCE,MARKET,market_as_of_date,COMPLETED_SESSION_ONLY,ALL_ACTIVE_SYMBOLS_ON_NEW_SESSION,CAPITALIZATION|VALUATION|SHAREHOLDER_RETURN|UNIFIED_CURRENT,false,False,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
UNIVERSE_MEMBERSHIP_CHANGE,UNIVERSE,accepted_universe_release_id,ACCEPTED_RELEASE_EFFECTIVE_TIME,ADDED_REMOVED_AND_STATUS_CHANGED_SYMBOLS,ALL_DOWNSTREAM_LAYERS,THRESHOLD_OR_IDENTITY_RULE,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
SECURITY_STATUS_CHANGE,UNIVERSE,symbol|status_effective_date,STATUS_EFFECTIVE_TIME,AFFECTED_SYMBOLS,CAPITALIZATION|VALUATION|SHAREHOLDER_RETURN|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FINANCIAL_DISCLOSURE_NEW,FINANCIAL,symbol|period_end|available_from,AVAILABLE_FROM,AFFECTED_SYMBOL_AND_DEPENDENT_PERIODS,STATEMENT_CURRENT|FINANCIAL_FACTORS|FINANCIAL_SCORE|VALUATION|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FINANCIAL_DISCLOSURE_CORRECTION,FINANCIAL,symbol|period_end|revision_id,REVISION_AVAILABLE_FROM,AFFECTED_SYMBOL_AND_DEPENDENT_PERIODS,STATEMENT_CURRENT|FINANCIAL_FACTORS|FINANCIAL_SCORE|VALUATION|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FINANCIAL_RESTATEMENT,FINANCIAL,symbol|period_end|revision_id,REVISION_AVAILABLE_FROM,AFFECTED_SYMBOL_AND_ALL_DEPENDENT_WINDOWS,STATEMENT_CURRENT|FINANCIAL_FACTORS|FINANCIAL_SCORE|VALUATION|UNIFIED_CURRENT,THRESHOLD_RULE,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
EFFECTIVE_SHARE_COUNT_CHANGE,CAPITALIZATION,symbol|effective_date|source_event_id,EFFECTIVE_DATE,AFFECTED_SYMBOL,CAPITALIZATION|VALUATION|SHAREHOLDER_RETURN|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
DIVIDEND_IMPLEMENTED,SHAREHOLDER_RETURN,symbol|implementation_date|source_event_id,IMPLEMENTATION_DATE,AFFECTED_SYMBOL,SHAREHOLDER_RETURN|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
BUYBACK_COMPLETED,SHAREHOLDER_RETURN,symbol|completion_date|source_event_id,COMPLETION_DATE,AFFECTED_SYMBOL,SHAREHOLDER_RETURN|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
SHARE_CANCELLATION_EFFECTIVE,CAPITALIZATION,symbol|effective_date|source_event_id,EFFECTIVE_DATE,AFFECTED_SYMBOL,CAPITALIZATION|VALUATION|SHAREHOLDER_RETURN|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
ISSUANCE_COMPLETED,CAPITALIZATION,symbol|completion_date|source_event_id,COMPLETION_DATE,AFFECTED_SYMBOL,CAPITALIZATION|VALUATION|SHAREHOLDER_RETURN|UNIFIED_CURRENT,false,True,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
SOURCE_RECOVERY,OPERATIONS,source_id|recovery_timestamp,RECOVERY_TIMESTAMP,PREVIOUSLY_FAILED_SCOPE,FAILED_COMPONENTS_ONLY,false,False,True,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
SOURCE_SCHEMA_CHANGE,OPERATIONS,source_id|schema_version,DETECTED_AT,ALL_DEPENDENT_DATASETS,ALL_DOWNSTREAM_LAYERS,true,True,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
SOURCE_ROUTE_CHANGE,OPERATIONS,canonical_route_id|route_version,ACCEPTED_ROUTE_EFFECTIVE_TIME,ALL_DEPENDENT_DATASETS,ALL_DOWNSTREAM_LAYERS,true,True,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
BASELINE_INTEGRITY_FAILURE,OPERATIONS,baseline_id|failed_hash,DETECTED_AT,FULL_BASELINE,ALL_DOWNSTREAM_LAYERS,true,True,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
OPERATOR_FULL_REBUILD_REQUEST,OPERATIONS,request_id,AUTHORIZED_AT,FULL_UNIVERSE,ALL_DOWNSTREAM_LAYERS,true,True,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
