symbol,name,overall_rank,screen_research_priority,evidence_id,research_id,research_stage,graduation_decision,decision_reason_codes_json,formal_research_object_created,source_count,research_status,next_workflow,candidate_pool_mutation_authorized,simulation_mutation_authorized,real_account_mutation_authorized,state_mutation_authorized,authority,trade_authority,decision_scope,graduated_meaning
600900.SH,XD长江电,1,A_IMMEDIATE_RESEARCH,FMDL4A-EV-600900.SH-d7adf6f20553740f,FMDL4B-RSCH-600900.SH-7ec26ae50e7c3370,INVESTMENT_CASE_READY,GRADUATED,"[""DURABLE_ASSET_BASE"", ""CASH_YIELD_SUPPORT"", ""RESEARCH_CASE_READY_NOT_TRADE_READY""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,initiating-coverage,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,RESEARCH_CASE_READY_ONLY_NOT_CANDIDATE_POOL_ADMISSION_NOT_TRADE_READY
688498.SH,源杰科技,2,A_IMMEDIATE_RESEARCH,FMDL4A-EV-688498.SH-554d6aef6aecd525,FMDL4B-RSCH-688498.SH-5f96f182db22a570,DEEP_DIVE,DEFERRED,"[""EXPOSURE_PROVEN"", ""EXPECTATIONS_HEAVY"", ""CUSTOMER_AND_VALUATION_GATED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,initiating-coverage,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000779.SZ,甘咨询,3,A_IMMEDIATE_RESEARCH,FMDL4A-EV-000779.SZ-01b63059f175ad69,FMDL4B-RSCH-000779.SZ-792fdf9737bbe7d3,DEEP_DIVE,DEFERRED,"[""RECOVERY_WATCH"", ""CASH_CONVERSION_GAP"", ""MOAT_NOT_YET_PROVEN""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,company-tearsheet,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
603823.SH,百合花,4,A_IMMEDIATE_RESEARCH,FMDL4A-EV-603823.SH-ec27dba2c9a71458,FMDL4B-RSCH-603823.SH-26b4d9583ae8ea73,REJECTED,REJECTED,"[""FALSE_POSITIVE_MOMENTUM"", ""EARNINGS_NOT_CONFIRMING"", ""VALUATION_UNSUPPORTED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,NONE,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
300308.SZ,中际旭创,5,A_IMMEDIATE_RESEARCH,FMDL4A-EV-300308.SZ-de53ff9e06963b43,FMDL4B-RSCH-300308.SZ-54f1d9b1fe6f0866,INVESTMENT_CASE_READY,GRADUATED,"[""EXPOSURE_PROVEN"", ""EARNINGS_ACCELERATION"", ""VALUATION_EXPECTATIONS_GATED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,scenario-sensitivity-generator,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,RESEARCH_CASE_READY_ONLY_NOT_CANDIDATE_POOL_ADMISSION_NOT_TRADE_READY
601818.SH,光大银行,6,A_IMMEDIATE_RESEARCH,FMDL4A-EV-601818.SH-6bfea418f40e7002,FMDL4B-RSCH-601818.SH-739b5b93d5ec9061,SCREENED,DEFERRED,"[""SECTOR_SPECIFIC_PACK_REQUIRED"", ""GENERIC_SCORE_UNAVAILABLE"", ""DIVIDEND_NOT_SUFFICIENT""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,company-tearsheet,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000938.SZ,紫光股份,7,A_IMMEDIATE_RESEARCH,FMDL4A-EV-000938.SZ-773dda358b737997,FMDL4B-RSCH-000938.SZ-d9f17de05d92f475,INVESTMENT_CASE_READY,GRADUATED,"[""AI_INFRA_EXPOSURE"", ""EARNINGS_ACCELERATION"", ""CASH_CONVERSION_GATE""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,initiating-coverage,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,RESEARCH_CASE_READY_ONLY_NOT_CANDIDATE_POOL_ADMISSION_NOT_TRADE_READY
603268.SH,松发股份,8,A_IMMEDIATE_RESEARCH,FMDL4A-EV-603268.SH-10388bad04f942bd,FMDL4B-RSCH-603268.SH-004efdb9da2fe2e3,DEEP_DIVE,DEFERRED,"[""BUSINESS_PERIMETER_CHANGED"", ""HISTORICAL_COMPARABILITY_BROKEN"", ""EVENT_DRIVEN_UNDERWRITING_REQUIRED""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,event-driven-analyzer,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
000333.SZ,美的集团,9,A_IMMEDIATE_RESEARCH,FMDL4A-EV-000333.SZ-4836bb6f22e8655c,FMDL4B-RSCH-000333.SZ-5219d1c77cda388b,INVESTMENT_CASE_READY,GRADUATED,"[""QUALITY_COMPOUNDER"", ""VALUATION_SUPPORT"", ""CORE_EARNINGS_MONITOR""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,initiating-coverage,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,RESEARCH_CASE_READY_ONLY_NOT_CANDIDATE_POOL_ADMISSION_NOT_TRADE_READY
002936.SZ,郑州银行,10,A_IMMEDIATE_RESEARCH,FMDL4A-EV-002936.SZ-47edcad83015ab42,FMDL4B-RSCH-002936.SZ-3b1c8224a6b284b2,SCREENED,DEFERRED,"[""BANK_PACK_REQUIRED"", ""REGIONAL_CREDIT_RISK"", ""LOW_PB_NOT_ENOUGH""]",True,2,SOURCE_BACKED_BASELINE_COMPLETE,company-tearsheet,False,False,False,False,PUBLIC_EQUITY_RESEARCH_AND_GRADUATION_ONLY,NONE,RESEARCH_GRADUATION_ONLY,
