stock_code_5d,di_sid,official_issuer_name_en,issuer_base_name_en,di_all_sids,di_all_issuer_names,h_share_class_exists,a_share_class_exists,source_url,response_sha256
00001,1,CK Hutchison Holdings Ltd.,CK Hutchison Holdings Ltd.,1,CK Hutchison Holdings Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00001&src=MAIN&lang=EN&g_lang=en,64a6de2bf62397d2b8e952fcf9ab91343e28c41d36c0f4e043e62e5578a7478c
00002,2,CLP Holdings Ltd.,CLP Holdings Ltd.,2,CLP Holdings Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00002&src=MAIN&lang=EN&g_lang=en,822b65cfc20764fd384477a69820f0e1b6642e309ba9821cc094fedc8ba32422
00003,3,"Hong Kong and China Gas Co. Ltd., The","Hong Kong and China Gas Co. Ltd., The",3,"Hong Kong and China Gas Co. Ltd., The",False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00003&src=MAIN&lang=EN&g_lang=en,2dc866b944fd0d837da8d56c5f1e7da5cfd1d7b00779644a0dad149c8496cda3
00004,4,"Wharf (Holdings) Ltd., The","Wharf (Holdings) Ltd., The",4,"Wharf (Holdings) Ltd., The",False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00004&src=MAIN&lang=EN&g_lang=en,2a10ad767972874617b2fd6f3405a4c281d98c6fb4f29684dd213abf4a688e0a
00005,5,HSBC Holdings plc,HSBC Holdings plc,5,HSBC Holdings plc,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00005&src=MAIN&lang=EN&g_lang=en,c561d9dcc056aba345d26623498df4401a346906547121ae1e6f17cf8f628880
00006,6,Power Assets Holdings Ltd.,Power Assets Holdings Ltd.,6,Power Assets Holdings Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00006&src=MAIN&lang=EN&g_lang=en,6cf4ee31ff5081fa56dc246aaba9eda3d73673c58173e2a40659e596b3436957
00008,10,PCCW Ltd.,PCCW Ltd.,10,PCCW Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00008&src=MAIN&lang=EN&g_lang=en,84e8b6125969ca965a7115da9d0fcd95c4f933b949fca52189aa89727947dfcb
00010,17,Hang Lung Group Ltd.,Hang Lung Group Ltd.,17,Hang Lung Group Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00010&src=MAIN&lang=EN&g_lang=en,0a88f5701d55790b92ff69556f73997ca0b1a4137e9a3c28fe4f3ee0abe820b2
00012,19,Henderson Land Development Co. Ltd.,Henderson Land Development Co. Ltd.,19,Henderson Land Development Co. Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00012&src=MAIN&lang=EN&g_lang=en,a9c8e6fb8de86eb0b5654bd1b9c3f5ed90f99f2f8ccbd59839440414cd073b52
00013,344192,HUTCHMED (China) Ltd.,HUTCHMED (China) Ltd.,344192,HUTCHMED (China) Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00013&src=MAIN&lang=EN&g_lang=en,f888d40bbea530f30d95b3453aeed002b7d1946889f94a798718362a81debf7f
00014,21,Hysan Development Co. Ltd.,Hysan Development Co. Ltd.,21,Hysan Development Co. Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00014&src=MAIN&lang=EN&g_lang=en,13034f36607c65a899a3c051e418d8fc674ff3e9cd48f73e271f8d14a0c5becf
00016,25,Sun Hung Kai Properties Ltd.,Sun Hung Kai Properties Ltd.,25,Sun Hung Kai Properties Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00016&src=MAIN&lang=EN&g_lang=en,a3f5cbb1e568fc71054f32793718a7c68be0a5af2ef813c165165abd6ffd1e63
00017,27,New World Development Co. Ltd.,New World Development Co. Ltd.,27,New World Development Co. Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00017&src=MAIN&lang=EN&g_lang=en,e9a68a64d05f4198f448f199f29b3d6095d7679739d8a55fb37c00af7b8537be
00019,29,Swire Pacific Ltd. 'A',Swire Pacific Ltd.,29,Swire Pacific Ltd. 'A',False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00019&src=MAIN&lang=EN&g_lang=en,8d20abea9e6f622dde8817487163b3ef47a7c51be44fcc0116508952adc24da5
00020,374730,SenseTime Group Inc. - W,SenseTime Group Inc.,374730,SenseTime Group Inc. - W,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00020&src=MAIN&lang=EN&g_lang=en,ca1ada79e89a75b735425702daa866054f88f97dcf16bb9531e18fc228a02449
00023,33,"Bank of East Asia, Ltd., The","Bank of East Asia, Ltd., The",33,"Bank of East Asia, Ltd., The",False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00023&src=MAIN&lang=EN&g_lang=en,f5a5d32b38b535dc031bef4e90d443176c82878f98c14d9dca30cb5fab2efb62
00027,37,Galaxy Entertainment Group Ltd.,Galaxy Entertainment Group Ltd.,37,Galaxy Entertainment Group Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00027&src=MAIN&lang=EN&g_lang=en,a7d98099b791cfaad3b0544f2554aa6a3180825e3bbbf9fb5c9d5610ccb007bc
00038,53,First Tractor Co Ltd.  - H Shares,First Tractor Co Ltd.,53|53,First Tractor Co Ltd.  - A Shares|First Tractor Co Ltd.  - H Shares,True,True,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00038&src=MAIN&lang=EN&g_lang=en,829f4caa84b844461bc0d14f84b429200bf142fbe4d460d2bd8f24f91df296c9
00041,60,Great Eagle Holdings Ltd.,Great Eagle Holdings Ltd.,60,Great Eagle Holdings Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00041&src=MAIN&lang=EN&g_lang=en,7f3e017a7e0fbeeb5a30fe5ea91eb8e6bb7f6dadf71be9869a486b78d624a718
00066,110,MTR Corporation Ltd.,MTR Corporation Ltd.,110,MTR Corporation Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00066&src=MAIN&lang=EN&g_lang=en,d3bc514dbb5ac48e79c9d23379902c7441f5a579bc95e2edf4cdb8a312abf853
00081,133,China Overseas Grand Oceans Group Ltd.,China Overseas Grand Oceans Group Ltd.,133,China Overseas Grand Oceans Group Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00081&src=MAIN&lang=EN&g_lang=en,167f725ea59b1deae576cee9548873564c53f36b4c9d4520ae30b5b2da8801ba
00083,136,Sino Land Co. Ltd.,Sino Land Co. Ltd.,136,Sino Land Co. Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00083&src=MAIN&lang=EN&g_lang=en,6437e907ca88c4173679ae235aab00fd4a472fcaa94f3bb2570149b8aed10131
00087,142,Swire Pacific Ltd. 'B',Swire Pacific Ltd.,142,Swire Pacific Ltd. 'B',False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00087&src=MAIN&lang=EN&g_lang=en,af7bb47cbd8a3f7d410f890867811268827d64f3158e3c772f1ec12cec5a836b
00101,161,Hang Lung Properties Ltd.,Hang Lung Properties Ltd.,161,Hang Lung Properties Ltd.,False,False,https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=03/07/2017&sced=21/07/2026&sc=00101&src=MAIN&lang=EN&g_lang=en,f61e225a54dfa2e9b50e0f19fa2d0891cedbdfa4d95226a2f323f3afc42f8f0e
