security_id,issuer_id,stock_code_5d,mapping_status,mapping_basis
HKEX:00001,HKEX-ISSUER:5987b84130d54ca5,00001,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00002,HKEX-ISSUER:2318d2db9e6e5059,00002,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00003,HKEX-ISSUER:69ee482af0ee9616,00003,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00004,HKEX-ISSUER:49551336e987a409,00004,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00005,HKEX-ISSUER:a152e44b20285944,00005,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00006,HKEX-ISSUER:44f9b000241f3614,00006,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00008,HKEX-ISSUER:9b2df45225097e60,00008,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00010,HKEX-ISSUER:ebd9df2132f9fe5a,00010,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00012,HKEX-ISSUER:98b5ef2254a0a65b,00012,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00013,HKEX-ISSUER:5081ef4fb59837ac,00013,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00014,HKEX-ISSUER:5917cdcbed37405d,00014,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00016,HKEX-ISSUER:3ade9bfd1e385d23,00016,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00017,HKEX-ISSUER:17516e790ece92c5,00017,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00019,HKEX-ISSUER:ab9ef72cc9ecfd99,00019,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00020,HKEX-ISSUER:aa7d6d495450c204,00020,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00023,HKEX-ISSUER:4bf6b7e454922665,00023,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00027,HKEX-ISSUER:6cb278aa8f09561f,00027,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00038,HKEX-ISSUER:5fdde8bf9b122c78,00038,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00041,HKEX-ISSUER:ee9a79a294a0ffcb,00041,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00066,HKEX-ISSUER:ad5a514fa614d6df,00066,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00081,HKEX-ISSUER:6856ddaaa02a917d,00081,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00083,HKEX-ISSUER:7a5cc397d26a4f4c,00083,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00087,HKEX-ISSUER:ab9ef72cc9ecfd99,00087,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00101,HKEX-ISSUER:7cd3846b3630bcac,00101,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00107,HKEX-ISSUER:92c86d8a381d16c0,00107,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00119,HKEX-ISSUER:5c7923ec79437192,00119,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00123,HKEX-ISSUER:18e7f4a8b35db173,00123,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00135,HKEX-ISSUER:b0b5750dc9d4bbc2,00135,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00136,HKEX-ISSUER:38668b842e2a728b,00136,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00142,HKEX-ISSUER:f00ad48ca2e7ba5a,00142,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00144,HKEX-ISSUER:9a43d4bd78201bf2,00144,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00148,HKEX-ISSUER:359ebaf3d46992eb,00148,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00151,HKEX-ISSUER:e0e4f93981ced164,00151,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00152,HKEX-ISSUER:bb167070c010564e,00152,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00165,HKEX-ISSUER:0f6c6978cf7da4b3,00165,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00168,HKEX-ISSUER:27f3f30e7bfe4034,00168,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00173,HKEX-ISSUER:751d56957a2bc596,00173,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00175,HKEX-ISSUER:e0663111149762d6,00175,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00177,HKEX-ISSUER:ca39b7d7467d397f,00177,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
