statement,source_item_code,source_item_name,occurrence_count
cash_flow,003999,经营业务现金净额,4115
cash_flow,005999,投资业务现金净额,4115
cash_flow,010999,现金净额,4115
cash_flow,007999,融资业务现金净额,4111
cash_flow,011999,期末现金,4111
cash_flow,011001,期初现金,4107
cash_flow,006999,融资前现金净额,4104
cash_flow,005005,购建固定资产,3816
income_statement,004012999,除税后溢利,3688
income_statement,004001999,营运收入,3675
income_statement,004099999,非运算项目,3662
income_statement,004039999,全面收益总额,3652
income_statement,004011201,融资成本,3585
income_statement,004040002,本公司拥有人应占全面收益总额,3551
balance_sheet,004001999,非流动资产合计,3503
balance_sheet,004013999,净流动资产,3503
balance_sheet,004015999,总资产减流动负债,3503
balance_sheet,004030999,股东权益,3503
balance_sheet,004036999,总权益,3503
balance_sheet,004037999,总权益及非流动负债,3503
balance_sheet,004039999,总权益及总负债,3503
balance_sheet,004020999,非流动负债合计,3500
balance_sheet,004011001,应付帐款,3435
balance_sheet,004030001,股本,3431
balance_sheet,004002003,应收帐款,3417
income_statement,004010004,行政开支,3398
cash_flow,003003,已付税项,3391
cash_flow,007002,偿还借款,3336
income_statement,004030999,其他全面收益,3334
balance_sheet,004002010,现金及等价物,3325
income_statement,004030997,其他全面收益其他项目,3314
balance_sheet,004001997,非流动资产其他项目,3266
income_statement,004010003,销售及分销费用,3246
balance_sheet,004020005,融资租赁负债(非流动),3202
cash_flow,002999,经营产生现金,3178
cash_flow,007001,新增借款,3146
balance_sheet,004011003,应付税项,3136
income_statement,004010001,其他收入,3116
cash_flow,005004,处置固定资产,3105
income_statement,004025001,少数股东损益,3004
balance_sheet,004011010,短期贷款,2996
income_statement,004040001,非控股权益应占全面收益总额,2969
balance_sheet,004001009,递延税项资产,2922
balance_sheet,004027999,少数股东权益,2915
balance_sheet,004020003,递延税项负债,2896
income_statement,004012002,持续经营业务税后利润,2892
cash_flow,007004,已付股息(融资),2851
cash_flow,005011,投资支付现金,2850
cash_flow,007011,偿还融资租赁,2807
cash_flow,005010,收回投资所得现金,2749
cash_flow,011997,期间变动其他项目,2747
balance_sheet,004028999,净资产,2718
balance_sheet,004002005,预付款按金及其他应收款,2597
balance_sheet,004020001,长期贷款,2580
balance_sheet,004011024,合同负债,2519
balance_sheet,004030002,储备,2514
balance_sheet,004011006,融资租赁负债(流动),2425
income_statement,004010005,减值及拨备,2356
cash_flow,001999,营运资金变动前经营溢利,2341
cash_flow,007997,融资业务其他项目,2297
cash_flow,001001,除税前溢利(业务利润),2292
cash_flow,007003,已付利息(融资),2279
cash_flow,005997,投资业务其他项目,2259
cash_flow,013999,非运算项目,2237
cash_flow,001009,加:折旧及摊销,2236
income_statement,004010010,研发费用,2199
balance_sheet,004011008,其他应付款及应计费用,2183
income_statement,004010012,其他支出,2163
income_statement,004010002,其他收益,2105
cash_flow,001003,加:利息支出,2035
cash_flow,002006,营运资本变动其他项目,2014
balance_sheet,004020006,递延收入(非流动),1956
cash_flow,002004,应付帐款及应计费用增加(减少),1929
cash_flow,002002,应收帐款减少,1881
cash_flow,001008,减:出售资产之溢利,1866
cash_flow,001006,加:减值及拨备,1852
cash_flow,005007,购建无形资产及其他资产,1843
cash_flow,002001,存货(增加)减少,1821
cash_flow,005003,存款减少(增加),1777
cash_flow,001002,减:利息收入,1749
balance_sheet,004002009,受限制存款及现金,1717
cash_flow,005001,已收利息(投资),1685
income_statement,004011202,应占联营公司溢利,1644
cash_flow,001997,加:经营调整其他项目,1633
cash_flow,001007,减:重估盈余,1621
balance_sheet,004001013,联营公司权益,1548
cash_flow,005009,收购附属公司,1509
income_statement,004005001,营运支出,1491
balance_sheet,004030004,保留溢利(累计亏损),1479
balance_sheet,004001022,指定以公允价值记账之金融资产,1476
cash_flow,007005,吸收投资所得,1417
