case_id,case_type,expected_identity_result
CASE_COMMON_STOCK_SINGLE_LISTING,COMMON_STOCK,ONE_ISSUER_ONE_CLASS_ONE_SECURITY_ONE_LISTING
CASE_MULTIPLE_SHARE_CLASSES,MULTIPLE_SHARE_CLASSES,ONE_ISSUER_MULTIPLE_CLASSES_AND_SECURITIES
CASE_TICKER_CHANGE,TICKER_CHANGE,SAME_SECURITY_NEW_EFFECTIVE_DATED_LISTING
CASE_EXCHANGE_TRANSFER,EXCHANGE_TRANSFER,SAME_SECURITY_NEW_MIC_LISTING
CASE_ADR_WITH_UNDERLYING,ADR,ADR_SECURITY_DISTINCT_WITH_UNDERLYING_LINK
CASE_FOREIGN_PRIVATE_ISSUER,FOREIGN_PRIVATE_ISSUER,SEC_CIK_ISSUER_WITH_FPI_REPORTING_PROFILE
CASE_EQUITY_REIT,EQUITY_REIT,COMMON_EQUITY_INCLUDED_WITH_REIT_PROFILE
CASE_SPINOFF,SPINOFF,NEW_ISSUER_AND_SECURITY_WITH_PARENT_LINK
CASE_MERGER_SUCCESSOR,MERGER_OR_ACQUISITION,PREDECESSOR_TERMINATED_SUCCESSOR_LINKED
CASE_DELISTING_TO_OTC,DELISTING_TO_OTC,EXCHANGE_LISTING_CLOSED_AND_PILOT_MEMBERSHIP_REMOVED
CASE_UNKNOWN_INSTRUMENT,UNKNOWN_INSTRUMENT,QUARANTINE_NOT_INCLUDED
CASE_SPAC_UNIT_OR_WARRANT,SPAC_UNIT_OR_WARRANT,EXCLUDED_FROM_PILOT
