boundary,instrument_type,pilot_role,rule
INCLUDED,COMMON_STOCK,CORE,US_EXCHANGE_LISTED|EQUITY_SECURITY|NOT_FUND_OR_DERIVATIVE
INCLUDED,ADR,IDENTITY_COMPLEXITY_CASE,US_EXCHANGE_LISTED|DEPOSITARY_RECEIPT|UNDERLYING_ISSUER_LINK_REQUIRED
INCLUDED,FOREIGN_PRIVATE_ISSUER_ORDINARY_SHARE,IFRS_OR_FPI_CASE,US_EXCHANGE_LISTED|FOREIGN_PRIVATE_ISSUER|SEC_REPORTING_LINEAGE_REQUIRED
INCLUDED,EQUITY_REIT_COMMON_STOCK,SECTOR_ACCOUNTING_CASE,US_EXCHANGE_LISTED|EQUITY_REIT|COMMON_EQUITY
EXCLUDED,ETF,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,MUTUAL_FUND,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,CLOSED_END_FUND,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,PREFERRED_STOCK,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,WARRANT,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,RIGHT,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,UNIT,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,OPTION,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,FUTURE,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,OTC_SECURITY,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,CRYPTO_ASSET,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,STRUCTURED_NOTE,NOT_IN_PILOT,EXPLICIT_EXCLUSION
EXCLUDED,SPAC_UNIT_OR_WARRANT,NOT_IN_PILOT,EXPLICIT_EXCLUSION
