symbol,cik10,accession_number,taxonomy,tag,label,value,unit,start_date,end_date,fiscal_year,fiscal_period,source_url,data_grade
AAPL,0000320193,0000320193-26-000013,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,Total net sales,111184000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,CostOfGoodsAndServicesSold,Total cost of sales,56403000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,GrossProfit,Gross margin,54781000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,ResearchAndDevelopmentExpense,Research and development,11419000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,SellingGeneralAndAdministrativeExpense,"Selling, general and administrative",7477000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,OperatingIncomeLoss,Operating income,35885000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income before provision for income taxes,35833000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,IncomeTaxExpenseBenefit,Provision for income taxes,6255000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,NetIncomeLoss,Net income,29578000000,USD,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
AAPL,0000320193,0000320193-26-000013,us-gaap,EarningsPerShareBasic,Basic earnings per share,2.02,USD/shares,2025-12-28,2026-03-28,2026,Q2,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,DECISION_GRADE_OFFICIAL_SEC
