market,security_id,security_name,research_id,decision_id,decision_state,governed_route_id,governed_route_state,thesis_id,data_grade,lineage_status,trade_authority
A_SHARE,000333.SZ,美的集团,FMDL4B-RSCH-000333.SZ-5219d1c77cda388b,FMDL4FINAL-LIN-000333.SZ-9b12fccded17e8eb,GRADUATED,FMDL4C-TR-000333.SZ-e6d1d5f29708d551,CANDIDATE_POOL_REENTRY_REVIEW_READY,FMDL4D-TH-000333.SZ-56d3850bb7c52dff,DECISION_GRADE,PASS,NONE
A_SHARE,000938.SZ,紫光股份,FMDL4B-RSCH-000938.SZ-d9f17de05d92f475,FMDL4FINAL-LIN-000938.SZ-1807b694fa71a9e0,GRADUATED,FMDL4C-TR-000938.SZ-03a51b1980cb76e4,CANDIDATE_POOL_REENTRY_REVIEW_READY,FMDL4D-TH-000938.SZ-1e51dc2d9e7ede12,DECISION_GRADE,PASS,NONE
A_SHARE,002396.SZ,星网锐捷,FMDL4B-RSCH-002396.SZ-76b5f9c557170586,FMDL4FINAL-LIN-002396.SZ-3b72c29b2b3277e3,GRADUATED,FMDL4C-TR-002396.SZ-376736b56712f10c,SHADOW_TRACK_REENTRY_REVIEW_READY,FMDL4D-TH-002396.SZ-3b70e0829e011764,DECISION_GRADE,PASS,NONE
A_SHARE,300308.SZ,中际旭创,FMDL4B-RSCH-300308.SZ-54f1d9b1fe6f0866,FMDL4FINAL-LIN-300308.SZ-55f69ade71de8300,GRADUATED,FMDL4C-TR-300308.SZ-0eade9be12f65dd1,SHADOW_TRACK_REENTRY_REVIEW_READY,FMDL4D-TH-300308.SZ-9ccedd440783a8f7,RESEARCH_USABLE_WITH_LIMITATIONS,PASS,NONE
A_SHARE,600018.SH,上港集团,FMDL4B-RSCH-600018.SH-712c378d5627313c,FMDL4FINAL-LIN-600018.SH-e96c7ad0a318655f,GRADUATED,FMDL4C-TR-600018.SH-41b41c6662d27540,CANDIDATE_POOL_REENTRY_REVIEW_READY,FMDL4D-TH-600018.SH-21aa68509471c19b,DECISION_GRADE,PASS,NONE
A_SHARE,600900.SH,XD长江电,FMDL4B-RSCH-600900.SH-7ec26ae50e7c3370,FMDL4FINAL-LIN-600900.SH-520cff365c34b20f,GRADUATED,FMDL4C-TR-600900.SH-04dc4543cf32eb23,CANDIDATE_POOL_REENTRY_REVIEW_READY,FMDL4D-TH-600900.SH-463533a5e0f320c4,DECISION_GRADE,PASS,NONE
HONG_KONG_CONNECT,HKEX:00002,CLP HOLDINGS,HK-RESEARCH-00002-0fd1d517c01d,HK_DECISION:HK-RESEARCH-00002-0fd1d517c01d,GRADUATED,FMDL5G-00002-6b84b46cf914,HK_CANDIDATE_REENTRY_REVIEW,,OPERATIONAL_WITH_CONTROLLED_FREE_SOURCE_LIMITS,PASS,NONE
HONG_KONG_CONNECT,HKEX:00300,MIDEA GROUP,HK-RESEARCH-00300-d8d08f515e36,HK_DECISION:HK-RESEARCH-00300-d8d08f515e36,GRADUATED,FMDL5G-00300-98929d5e5b3c,HK_CANDIDATE_REENTRY_REVIEW,,OPERATIONAL_WITH_CONTROLLED_FREE_SOURCE_LIMITS,PASS,NONE
HONG_KONG_CONNECT,HKEX:00941,CHINA MOBILE,HK-RESEARCH-00941-fa17f51cc715,HK_DECISION:HK-RESEARCH-00941-fa17f51cc715,GRADUATED,FMDL5G-00941-4b38a11c2329,HK_CANDIDATE_REENTRY_REVIEW,,OPERATIONAL_WITH_CONTROLLED_FREE_SOURCE_LIMITS,PASS,NONE
HONG_KONG_CONNECT,HKEX:02359,WUXI APPTEC,HK-RESEARCH-02359-ddd4f1d6285d,HK_DECISION:HK-RESEARCH-02359-ddd4f1d6285d,SHADOW_TRACK,FMDL5G-02359-e366dd71b394,HK_SHADOW_TRACK_REVIEW,,OPERATIONAL_WITH_CONTROLLED_FREE_SOURCE_LIMITS,PASS,NONE
HONG_KONG_CONNECT,HKEX:02388,BOC HONG KONG,HK-RESEARCH-02388-8911262bfa2a,HK_DECISION:HK-RESEARCH-02388-8911262bfa2a,GRADUATED,FMDL5G-02388-b898359cb9e5,HK_CANDIDATE_REENTRY_REVIEW,,OPERATIONAL_WITH_CONTROLLED_FREE_SOURCE_LIMITS,PASS,NONE
HONG_KONG_CONNECT,HKEX:09999,NTES,HK-RESEARCH-09999-0bcd8c3d119a,HK_DECISION:HK-RESEARCH-09999-0bcd8c3d119a,SHADOW_TRACK,FMDL5G-09999-d2f26997e035,HK_SHADOW_TRACK_REVIEW,,OPERATIONAL_WITH_CONTROLLED_FREE_SOURCE_LIMITS,PASS,NONE
US_EQUITY,USSEC-2daadc82ce827a7ac9393ab3,AAPL,US_RESEARCH_LEDGER:USSEC-2daadc82ce827a7ac9393ab3,PEIDECISION-7f5b4daa697db2904c7caa13,BLOCKED_EVIDENCE_AND_DECISION_REQUIREMENTS_PENDING,NOT_REQUESTED_PREREQUISITES_INCOMPLETE,BACKFILL_REGISTERED_OUTPUTS_DATA_CONTEXT_THESIS_AND_APPROVAL_PREREQUISITES,,NOT_DECISION_GRADE,PASS,NONE
US_EQUITY,USSEC-333b5f6fbf5b5cc5cb17ff1f,JPM,US_RESEARCH_LEDGER:USSEC-333b5f6fbf5b5cc5cb17ff1f,PEIDECISION-e8409fe7ae71d3f72b617074,BLOCKED_EVIDENCE_AND_DECISION_REQUIREMENTS_PENDING,NOT_REQUESTED_PREREQUISITES_INCOMPLETE,BACKFILL_REGISTERED_OUTPUTS_DATA_CONTEXT_THESIS_AND_APPROVAL_PREREQUISITES,,NOT_DECISION_GRADE,PASS,NONE
