security_code,security_name,candidate_state,accepted_close,price_as_of,active_memo_threshold,active_memo_trigger_met,simulation_exposure_present,simulation_open_position_pnl,outcome_attribution_state,formal_membership_action,trigger_route,automatic_candidate_admission_authorized,automatic_simulation_admission_authorized,automatic_real_account_admission_authorized,trade_authority,record_id
000333,美的集团,PREPARE_B3_MEMO_COMPARISON,84.3,2026-07-20,76,false,true,5536,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-ea81afe1db302b528750
002371,北方华创,SIMULATION_ONLY_VALIDATION,676.91,2026-07-20,,false,false,,NO_APPROVED_EXPOSURE_BASELINE_RETURN_NOT_OBSERVABLE,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-88ab2b708c70243c0ee3
002475,立讯精密,SIMULATION_ONLY_VALIDATION,56.8,2026-07-20,,false,false,,NO_APPROVED_EXPOSURE_BASELINE_RETURN_NOT_OBSERVABLE,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-e8f852f079e5c1869042
300750,宁德时代,SIMULATION_ONLY_VALIDATION,376.43,2026-07-20,,false,true,-7583,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-fde2bc235ea355e0fd22
300760,迈瑞医疗,PREPARE_B3_MEMO_COMPARISON,154.5,2026-07-20,,false,false,,NO_APPROVED_EXPOSURE_BASELINE_RETURN_NOT_OBSERVABLE,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-694003c4d5d6cf97310e
600036,招商银行,PREPARE_B3_MEMO_COMPARISON,38.91,2026-07-20,35.9,false,true,5584,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-08c6ae00ab6c6631c851
600276,恒瑞医药,CORE_TRACK_AND_VALIDATE,55.57,2026-07-20,,false,true,4240,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-da2a3d1fd2f4f5ca5212
600309,万华化学,CORE_TRACK_AND_VALIDATE,71.99,2026-07-20,,false,true,1386,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-34f5e4d6781138acbeb6
600406,国电南瑞,CORE_TRACK_AND_VALIDATE,23.56,2026-07-20,,false,true,1764,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-969f007ab58a91ffd3ae
600519,贵州茅台,PREPARE_B3_MEMO_COMPARISON,1327.5,2026-07-20,,false,false,,NO_APPROVED_EXPOSURE_BASELINE_RETURN_NOT_OBSERVABLE,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-37f8955caed9e4e38ca9
600660,福耀玻璃,CORE_TRACK_AND_VALIDATE,54.94,2026-07-20,,false,true,8112,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-3ace9608cc0a29abcdb2
600690,海尔智家,PREPARE_B3_MEMO_COMPARISON,21.46,2026-07-20,,false,true,1962,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-3c37c9a6adb75900f44c
600900,长江电力,PREPARE_B3_MEMO_COMPARISON,28.98,2026-07-20,25.5,false,true,3784,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-4a376261ae10a793d6cd
600938,中国海油,CORE_TRACK_AND_VALIDATE,31.87,2026-07-20,,false,true,10098,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-65b655ae5ecea5c4c3ce
600941,中国移动,PREPARE_B3_MEMO_COMPARISON,95.8,2026-07-20,85,false,true,6181,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-71852a950744f927f3e6
601088,中国神华,PREPARE_B3_MEMO_COMPARISON,46.14,2026-07-20,38,false,false,,NO_APPROVED_EXPOSURE_BASELINE_RETURN_NOT_OBSERVABLE,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-dbe37d6a3a490a6fa0fc
601138,工业富联,SIM_REDUCED_NEGATIVE_ALPHA_OBSERVATION_NO_ADD,56.5,2026-07-20,,false,true,-12348,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-92a3f1e0c8c9e2da1403
601318,中国平安,CORE_TRACK_AND_VALIDATE,53.23,2026-07-20,,false,false,,NO_APPROVED_EXPOSURE_BASELINE_RETURN_NOT_OBSERVABLE,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-5a75982c1191e4c97851
601899,紫金矿业,CORE_TRACK_AND_VALIDATE,29.35,2026-07-20,,false,true,-1310,SIMULATION_OPEN_POSITION_OBSERVABLE_LKG_ONLY,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-1a9d492c547149bd3c3d
601985,中国核电,CORE_TRACK_AND_VALIDATE,9.07,2026-07-20,8.2,false,false,,NO_APPROVED_EXPOSURE_BASELINE_RETURN_NOT_OBSERVABLE,NO_CHANGE,NO_TRIGGER,false,false,false,NONE,FMDL7C-CAND-83ad76b3ec325d46fbdf
