security_code,security_name,quantity,cost_price,accepted_close,price_as_of,price_provider,cost_basis,market_value,open_position_unrealized_pnl,open_position_return_pct,contribution_sign,status_note,positive_sample_label,candidate_core_member,no_add_control_active,hard_review_control_active,incremental_exposure_authorized,automatic_real_capital_migration_authorized,trade_authority,record_id,account_weight_pct
000333,美的集团,800,77.38,84.3,2026-07-20,EASTMONEY_QLIST,61904,67440,5536,8.9429,POSITIVE,HOLD_POSITIVE_SAMPLE_REAL_TRIGGER_NOT_MET,true,true,false,false,,false,NONE,FMDL7C-SIM-ff0dbf0526150c6d5007,6.7325
002463,沪电股份,200,132.47,115.02,2026-07-20,EASTMONEY_QLIST,26494,23004,-3490,-13.1728,NEGATIVE,HOLD_POSITIVE_VALIDATION_SAMPLE; NO_ADD,true,false,true,true,false,false,NONE,FMDL7C-SIM-c6dc9e3469d4ed9d53f9,2.2965
300124,汇川技术,400,79.02,59.73,2026-07-20,EASTMONEY_QLIST,31608,23892,-7716,-24.4115,NEGATIVE,REDUCED_200_SHARES_20260716; NO_ADD,false,false,true,false,false,false,NONE,FMDL7C-SIM-bf687695f9fa3bb5987c,2.3851
300750,宁德时代,100,452.26,376.43,2026-07-20,EASTMONEY_QLIST,45226,37643,-7583,-16.7669,NEGATIVE,HARD_REVIEW_BY_20260731; NO_ADD,false,true,true,true,false,false,NONE,FMDL7C-SIM-d185c4acba96129c79b1,3.7579
510500,南方中证500ETF,7100,8.276,7.426,2026-07-20,EASTMONEY_QLIST,58759.6,52724.6,-6035,-10.2707,NEGATIVE,HOLD,false,false,false,false,,false,NONE,FMDL7C-SIM-0d79998fb12d7325d473,5.2634
600036,招商银行,1600,35.42,38.91,2026-07-20,EASTMONEY_QLIST,56672,62256,5584,9.8532,POSITIVE,HOLD_POSITIVE_SAMPLE,true,true,false,false,,false,NONE,FMDL7C-SIM-b44d1b78496d48734313,6.2149
600276,恒瑞医药,800,50.27,55.57,2026-07-20,EASTMONEY_QLIST,40216,44456,4240,10.5431,POSITIVE,HOLD_POSITIVE_SAMPLE,true,true,false,false,,false,NONE,FMDL7C-SIM-710cbdfe26767a712cb0,4.438
600309,万华化学,700,70.01,71.99,2026-07-20,EASTMONEY_QLIST,49007,50393,1386,2.8282,POSITIVE,HOLD,false,true,false,false,,false,NONE,FMDL7C-SIM-f02cfb444c273413914c,5.0307
600406,国电南瑞,1800,22.58,23.56,2026-07-20,EASTMONEY_QLIST,40644,42408,1764,4.3401,POSITIVE,HOLD_OBSERVATION,false,true,false,false,,false,NONE,FMDL7C-SIM-17c1b60fd0e4b8b024a7,4.2335
600660,福耀玻璃,1600,49.87,54.94,2026-07-20,EASTMONEY_QLIST,79792,87904,8112,10.1664,POSITIVE,HOLD_POSITIVE_SAMPLE,true,true,false,false,,false,NONE,FMDL7C-SIM-5852482d321fc218b4de,8.7754
600690,海尔智家,1800,20.37,21.46,2026-07-20,EASTMONEY_QLIST,36666,38628,1962,5.351,POSITIVE,HOLD,false,true,false,false,,false,NONE,FMDL7C-SIM-b51b75b002a25f95a952,3.8562
600900,长江电力,2200,27.26,28.98,2026-07-20,EASTMONEY_QLIST,59972,63756,3784,6.3096,POSITIVE,HOLD_POSITIVE_SAMPLE_REAL_TRIGGER_NOT_MET,true,true,false,false,,false,NONE,FMDL7C-SIM-4945afcfe8598cd21338,6.3647
600938,中国海油,1800,26.26,31.87,2026-07-20,EASTMONEY_QLIST,47268,57366,10098,21.3633,POSITIVE,HOLD_POSITIVE_SAMPLE,true,true,false,false,,false,NONE,FMDL7C-SIM-cf9a83a806c0162c9d47,5.7268
600941,中国移动,700,86.97,95.8,2026-07-20,EASTMONEY_QLIST,60879,67060,6181,10.1529,POSITIVE,HOLD_POSITIVE_SAMPLE,true,true,false,false,,false,NONE,FMDL7C-SIM-af905ef0ee41dd8fe4f0,6.6945
601138,工业富联,600,77.08,56.5,2026-07-20,EASTMONEY_QLIST,46248,33900,-12348,-26.6995,NEGATIVE,REDUCED_300_SHARES_20260716; NO_ADD,false,true,true,false,false,false,NONE,FMDL7C-SIM-2e7be9ba371f22bb4d8e,3.3842
601899,紫金矿业,1000,30.66,29.35,2026-07-20,EASTMONEY_QLIST,30660,29350,-1310,-4.2727,NEGATIVE,HOLD_SOLE_PRIMARY_METALS_EXPOSURE_AFTER_603993_EXIT,false,true,false,false,,false,NONE,FMDL7C-SIM-c05e19b7e8bc74607917,2.93
