symbol,name,shard_id,source_state,attempt_count,source_row_count,normalized_event_count,error_type,error_message,elapsed_seconds,retrieved_at,source_id,source_adapter,authority,trade_authority
000007.SZ,全新好,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000008.SZ,神州高铁,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000042.SZ,中洲控股,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000068.SZ,华控赛格,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000506.SZ,招金黄金,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000567.SZ,海德股份,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000596.SZ,古井贡酒,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000617.SZ,中油资本,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000686.SZ,东北证券,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000697.SZ,炼石航空,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000722.SZ,湖南发展,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000755.SZ,山西高速,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000823.SZ,超声电子,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000900.SZ,现代投资,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000913.SZ,钱江摩托,0,SUCCESS,4,4,4,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000930.SZ,中粮科技,0,SUCCESS,4,1,1,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000957.SZ,中通客车,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000985.SZ,大庆华科,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000987.SZ,越秀资本,0,SUCCESS,4,4,4,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001226.SZ,拓山重工,0,SUCCESS,4,1,1,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001309.SZ,德明利,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001330.SZ,博纳影业,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001336.SZ,楚环科技,0,SUCCESS,4,3,3,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001339.SZ,智微智能,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001356.SZ,富岭股份,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
001400.SZ,江顺科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
