event_type,event_stage,event_state,shareholder_yield_effective,event_count
CASH_DIVIDEND,ANNOUNCED,NON_CASH_DISTRIBUTION,False,400
CASH_DIVIDEND,ANNOUNCED,VALID_WITH_WARNING,False,191
CASH_DIVIDEND,IMPLEMENTED,FUTURE_EVENT_BLOCKED,False,98
CASH_DIVIDEND,IMPLEMENTED,NON_CASH_DISTRIBUTION,False,56
CASH_DIVIDEND,IMPLEMENTED,VALID,True,7841
CONVERTIBLE_CONVERSION,COMPLETED,VALID,True,9969
EQUITY_INCENTIVE_ISSUANCE,COMPLETED,FUTURE_EVENT_BLOCKED,False,3
EQUITY_INCENTIVE_ISSUANCE,COMPLETED,VALID,True,3134
PRIVATE_PLACEMENT,COMPLETED,VALID,True,4007
SHARE_CANCELLATION,COMPLETED,FUTURE_EVENT_BLOCKED,False,10
SHARE_CANCELLATION,COMPLETED,VALID,True,6676
STOCK_DIVIDEND_OR_SPLIT,IMPLEMENTED,FUTURE_EVENT_BLOCKED,False,7
STOCK_DIVIDEND_OR_SPLIT,IMPLEMENTED,VALID,False,5652
UNCLASSIFIED_SHARE_CHANGE,COMPLETED,FUTURE_EVENT_BLOCKED,False,1
UNCLASSIFIED_SHARE_CHANGE,COMPLETED,UNCLASSIFIED_SHARE_CHANGE,False,4095
