p2a_overall_rank,security_id,hk_code,security_name,issuer_name,pair_status,a_exchange,a_code,h_exchange,h_code,evidence_id,source_url,evidence_summary
3,HKEX:02359,02359,WUXI APPTEC,"WuXi AppTec Co., Ltd.",TRUE_AH_PAIR,SSE,603259,HKEX,02359,WUXI_INVESTORS,https://wuxiapptec.com/investors,Same issuer investor page explicitly lists A Shares 603259 and H Shares 2359.
6,HKEX:00300,00300,MIDEA GROUP,"Midea Group Co., Ltd.",TRUE_AH_PAIR,SZSE,000333,HKEX,00300,MIDEA_AR_2024,https://www.midea.com.cn/content/dam/mideacn-aem/%E6%8A%95%E8%B5%84%E8%80%85%E5%85%B3%E7%B3%BB/%E6%8A%95%E8%B5%84%E8%80%85%E5%85%B3%E7%B3%BB%E6%96%87%E4%BB%B6%E6%80%BB%E8%A7%88/2024%E6%96%87%E4%BB%B6/%E7%BE%8E%E7%9A%84%E9%9B%86%E5%9B%A2-2024%E5%B9%B4%E5%B9%B4%E5%BA%A6%E6%8A%A5%E5%91%8A.PDF.coredownload.inline.pdf,Official annual report states stock codes 000333 (A) and 0300 (H).
29,HKEX:03968,03968,CM BANK,"China Merchants Bank Co., Ltd.",TRUE_AH_PAIR,SSE,600036,HKEX,03968,CMB_IR,https://english.cmbchina.com/CmbIR/Home/,Official investor-relations page displays SSE 600036 and HKEx 03968 for the same bank.
30,HKEX:06127,06127,JOINN,"JOINN Laboratories (China) Co., Ltd.",TRUE_AH_PAIR,SSE,603127,HKEX,06127,JOINN_IR,https://www.joinnlabs.com/en/investor_stock.php,Official investor-relations page lists SSE 603127 and HKEX 06127.
36,HKEX:06066,06066,CSC,"CSC Financial Co., Ltd.",TRUE_AH_PAIR,SSE,601066,HKEX,06066,CSC_HKEX_20260311,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0311/2026031100962.pdf,HKEX filing defines the same Company with H Shares 6066 and A Shares 601066.
37,HKEX:03988,03988,BANK OF CHINA,Bank of China Ltd.,TRUE_AH_PAIR,SSE,601988,HKEX,03988,BOC_IR,https://www.boc.cn/en/investor/ir4/201501/t20150114_4462767.html,Official BOC share information lists H 3988 and A 601988.
41,HKEX:01398,01398,ICBC,Industrial and Commercial Bank of China Ltd.,TRUE_AH_PAIR,SSE,601398,HKEX,01398,ICBC_IR_FAQ,https://www.icbc-ltd.com/en/column/1438058326864052341.html,Official ICBC FAQ lists H-share 1398 and A-share 601398.
54,HKEX:00939,00939,CCB,China Construction Bank Corporation,TRUE_AH_PAIR,SSE,601939,HKEX,00939,CCB_IR,https://www.ccb.com/en/investor/normalinfo.html,Official CCB investor page lists H 939 and A 601939.
58,HKEX:00386,00386,SINOPEC CORP,China Petroleum & Chemical Corporation,TRUE_AH_PAIR,SSE,600028,HKEX,00386,SINOPEC_IR,https://www.sinopec.com/u/cms/gfyw/202411/291634061itx.pdf,Official Sinopec disclosure lists HKEX 00386 and SSE 600028.
59,HKEX:09696,09696,TIANQI LITHIUM,Tianqi Lithium Corporation,TRUE_AH_PAIR,SZSE,002466,HKEX,09696,TIANQI_HKEX_ESG,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0428/2023042802785.pdf,HKEX-filed report explicitly identifies A share 002466 and H share 09696.
63,HKEX:01186,01186,CHINA RAIL CONS,China Railway Construction Corporation Ltd.,TRUE_AH_PAIR,SSE,601186,HKEX,01186,CRCC_HKEX,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1222/2025122201214.pdf,HKEX filing identifies CRCC H 01186 and A 601186.
66,HKEX:03759,03759,PHARMARON,"Pharmaron Beijing Co., Ltd.",TRUE_AH_PAIR,SZSE,300759,HKEX,03759,PHARMARON_OFFICIAL,https://www.pharmaron.com/about-us/,Official company page identifies stock codes 300759.SZ / 3759.HK.
70,HKEX:06990,06990,SKB BIO,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.",NOT_APPLICABLE_PARENT_SUBSIDIARY,,,HKEX,06990,KELUN_BIOTECH_OFFICIAL,https://www.kelun-biotech.com/,"Official company site states 6990.HK is a holding subsidiary of Kelun Pharmaceutical 002422.SZ; the A-listed company is the parent, not the same issuer."
73,HKEX:03328,03328,BANKCOMM,"Bank of Communications Co., Ltd.",TRUE_AH_PAIR,SSE,601328,HKEX,03328,BANKCOMM_HKEX_AR,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0330/11596680/2025033000798.pdf,HKEX-filed annual report states the Bank's A Shares 601328 and H Shares 03328.
77,HKEX:02799,02799,CITIC FAMC,"China CITIC Financial Asset Management Co., Ltd.",NOT_APPLICABLE_DOMESTIC_H_ONLY,,,HKEX,02799,CITIC_FAMC_AR,https://www.chamc.com.cn/en/images/InvestorRelations/CompanyAnnouncements/2024/04/26/72C5E0ECE8D5016577AC31314845F98C.pdf,"Official annual report identifies only H-share listing 2799; later shareholder records distinguish Domestic Shares and H Shares, not exchange-listed A Shares."
