p2a_overall_rank,security_id,stock_code_5d,security_name,research_dimension,source_url,secondary_source_url,evidence_date,evidence_title,evidence_summary,resolution_status,resolution_direction,post_blocker,resolution_rationale,monitor_trigger,remaining_question,cross_dimension_signal
1,HKEX:00005,00005,HSBC HOLDINGS,CATALYST,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0724/2026072400051.pdf,,2026-07-24,HSBC to sell Singapore life and health insurance business to Allianz,"HSBC agreed to sell 100% of HSBC Life Singapore to Allianz for S$2.7bn (US$2.1bn), expects a US$1.8bn pre-tax gain and up to 15bp CET1 uplift, and will enter a 15-year exclusive bancassurance agreement with an initial S$0.2bn payment. Completion is expected in H1 2027 subject to Monetary Authority of Singapore approval.",CLEARED_MONITOR,MIXED_POSITIVE,false,"Core economics, strategic rationale and completion condition are now quantified; regulatory completion remains a monitor rather than an unresolved decision blocker.","MAS approval, completion/termination, final gain recognition, or material change to bancassurance economics.",Confirm final completion timing and realized accounting/CET1 impact.,CAPITAL_AND_STRATEGY_POSITIVE
3,HKEX:02359,02359,WUXI APPTEC,GOVERNANCE_VALUE_TRAP,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0401/2026040101920.pdf,,2026-04-01,2025 Annual Report — connected and related-party transaction disclosures,The annual report states there was no connected or continuing connected transaction requiring disclosure under the Listing Rules. Note 51 related-party transactions were either not connected transactions or exempt. Amounts due from related parties were RMB147.686m versus RMB103.121bn total assets; amounts due to related parties were RMB20.364m. Related-party capital contributions were RMB459.856m in 2025.,CLEARED_MONITOR,NEUTRAL,false,Primary disclosure does not show a Listing-Rule connected-transaction red flag and related balances are limited relative to the balance sheet; capital contributions remain a monitor.,"New non-exempt connected transaction, material rise in related-party balances/capital contributions, or adverse governance disclosure.",Track the purpose and returns of material related-party capital contributions and any future non-exempt transactions.,NO_CURRENT_LISTING_RULE_CONNECTED_RED_FLAG
5,HKEX:01308,01308,SITC,CATALYST,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702992.pdf,,2026-04-27,Exempted connected transactions — disposal and lease arrangement,"SITC completed the disposal on 27 April 2026 for US$12.163m, equal to the vessel NAV reference, and simultaneously entered a 15-year bareboat charter for the same total amount. The structure enables continued Mainland China–Taiwan route operation; no actual group gain/loss is expected and disposal proceeds fund the charter fee.",CLEARED_MONITOR,NEUTRAL,false,"The event is completed, economics and strategic purpose are disclosed, and there is no unresolved transaction-completion catalyst requiring further decision gating.","Any exercise of the nominal-price purchase option, material audit adjustment, or change in route economics/regulation.",Monitor the long-term economics of the lease structure and any option exercise.,COMPLETED_REGULATORY_STRUCTURE
5,HKEX:01308,01308,SITC,GOVERNANCE_VALUE_TRAP,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0427/2026042702992.pdf,,2026-04-27,Exempted connected transactions — disposal and lease arrangement,"The counterparty is connected through substantial family/management ownership. The disposal and lease are each below the 5% threshold, exempt from independent shareholder approval, priced by reference to vessel NAV/transaction consideration, and directors with material interests abstained. INEDs considered the terms fair, reasonable and on normal commercial terms.",RECLASSIFIED_MONITOR,NEUTRAL,false,"The connected-party structure is real but the disclosed pricing basis, abstentions, INED review, small Listing-Rule size and zero expected group gain/loss reduce it from a graduation blocker to an ongoing governance monitor.","New connected transaction with the same parties, larger percentage ratios, cap/term expansion, or evidence that pricing departs from market/NAV.",Monitor recurrence and cumulative economic exposure to connected counterparties.,STRUCTURAL_CONNECTED_PARTY_MONITOR
6,HKEX:00300,00300,MIDEA GROUP,CATALYST,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0615/2026061500464.pdf,,2026-06-15,Annto updated Hong Kong listing application,"Annto submitted an updated Main Board listing application on 12 June 2026. Initial H-share issuance will not exceed 20% of enlarged Annto capital before over-allotment, with up to 15% over-allotment; Annto will remain a controlled subsidiary of Midea. The spin-off remains subject to CSRC/Stock Exchange approvals, market conditions and further assured-entitlement details.",RETAINED_TARGETED,MIXED,true,"Ownership retention is clear, but approval, valuation/offer terms, assured entitlement and timing remain unresolved and can materially affect value transfer.","HKEX/CSRC approval, prospectus/offer terms, assured-entitlement announcement, completion or withdrawal.","Quantify Annto valuation, dilution/value-unlock effect and shareholder entitlement before synthesis.",PENDING_VALUE_UNLOCK_EVENT
9,HKEX:01530,01530,3SBIO,CATALYST,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0330/2026033002422.pdf,,2026-03-30,Proposed spin-off of Mandi and conditional distribution in specie,"3SBio declared a conditional special dividend distributing all Mandi shares it holds immediately before spin-off to qualifying shareholders pro rata. Distribution requires shareholder mandate and the spin-off/global offering/listing to become unconditional. At the announcement date none of those conditions had been fulfilled, and listing remained subject to approvals, board decisions and market conditions.",RETAINED_TARGETED,MIXED,true,"Shareholder entitlement architecture is favorable and clearer, but completion, offer terms, valuation and regulatory conditions remain unresolved.","Shareholder mandate, listing approval, prospectus/offer terms, record date, distribution ratio, completion or withdrawal.","Establish Mandi valuation, final distribution mechanics and completion probability/timing.",PENDING_DISTRIBUTION_IN_SPECIE_VALUE_UNLOCK
9,HKEX:01530,01530,3SBIO,GOVERNANCE_VALUE_TRAP,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0526/2026052601736.pdf,,2026-05-26,Proposed change of auditor,"EY had served as auditor for more than 15 years; the Board cited good corporate practice for rotation and proposed KPMG on Audit Committee recommendation. Board, Audit Committee and EY confirmed no disagreements or unresolved matters. KPMG competence, resources, independence and objectivity were assessed.",CLEARED_MONITOR,NEUTRAL,false,The auditor change is explained as tenure-driven rotation with no disagreement or unresolved audit matter and documented Audit Committee assessment.,"First KPMG audit, any qualified opinion/internal-control issue, or unexpected further auditor change.",Confirm clean transition through the first KPMG audit cycle.,AUDITOR_ROTATION_NO_DISAGREEMENT
10,HKEX:00440,00440,DAH SING,GOVERNANCE_VALUE_TRAP,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801617.pdf,,2026-04-28,2026 AGM circular — change of auditor,"Dah Sing ran an Audit-Committee-overseen tender assessing audit quality, approach, experience/resources, ethics and fees, then recommended KPMG. PwC confirmed no matters requiring shareholder attention and the Board confirmed no disagreement. KPMG independence was assessed.",CLEARED_MONITOR,NEUTRAL,false,The auditor transition followed a structured tender with explicit independence assessment and no predecessor disagreement; no high-materiality governance red flag remains from the event itself.,"First KPMG audit, qualified opinion/control issue, or unexpected further auditor transition.",Confirm clean first-year audit and continuity of control quality.,AUDITOR_TENDER_NO_DISAGREEMENT
13,HKEX:00551,00551,YUE YUEN IND,GOVERNANCE_VALUE_TRAP,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100640.pdf,,2026-04-21,2025 Annual Report — PCC continuing connected transactions,"PCC, the controlling shareholder with about 51.36%, is counterparty to continuing connected transactions. 2026 annual caps are US$412.587m for services, US$7.149m connected sales and US$5.283m connected purchases. The auditor issued an unqualified Rule 14A.56 letter and INEDs confirmed ordinary-course, normal-commercial, fair and reasonable terms; no cap/pricing breach was identified.",RECLASSIFIED_TARGETED,MIXED,true,"Formal controls and independent review are strong, but the scale of recurring services with the controlling shareholder is economically material enough to require dependence/pricing analysis before graduation.","Cap increase, utilization near cap, pricing-policy change, auditor/INED exception, or increased supplier/customer dependence on PCC.","Quantify actual 2026 utilization, economic dependence and independent-market pricing benchmarks for the US$412.6m services envelope.",MATERIAL_CONTROLLING_SHAREHOLDER_CCT
19,HKEX:00270,00270,GUANGDONG INV,CATALYST,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0612/2026061200828.pdf,,2026-06-12,Disposal of 35% equity interest in GD AEON,"The public-tender disposal was agreed at RMB152.185m for Guangdong Investment's 35% GD AEON interest, equal to the appraised value and the only bid. GD AEON had losses in 2024 and 2025; the Board said disposal supports focus on water-resource-centric businesses and asset optimization. Payment and registration completion mechanics are specified.",CLEARED_MONITOR,MIXED_POSITIVE,false,"Consideration, valuation basis, strategic rationale and completion mechanics are disclosed; remaining execution steps are monitorable rather than a decision-information gap.","Receipt of full consideration, equity-transfer certificate/business-registration completion, or unexpected valuation/accounting adjustment.",Confirm final completion and realized accounting/cash impact.,ASSET_OPTIMIZATION_EXIT_FROM_LOSSMAKING_ASSOCIATE
