scope,security_id,security_code,security_name,economic_sector,industry_detail,classification_status,source_lineage,as_of_date,trade_authority
HK_CANDIDATE,HKEX:00005,00005,HSBC HOLDINGS,FINANCIALS,Diversified Banking,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00941,00941,CHINA MOBILE,COMMUNICATION_SERVICES,Telecommunication Services,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:02359,02359,WUXI APPTEC,HEALTHCARE,Life Science Tools & Services,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00388,00388,HKEX,FINANCIALS,Exchange & Market Infrastructure,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:01308,01308,SITC,INDUSTRIALS,Marine Transportation & Logistics,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00300,00300,MIDEA GROUP,CONSUMER_DISCRETIONARY,Home Appliances,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:02388,02388,BOC HONG KONG,FINANCIALS,Banking,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00669,00669,TECHTRONIC IND,CONSUMER_DISCRETIONARY,Power Tools & Home Improvement Products,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:01530,01530,3SBIO,HEALTHCARE,Biopharmaceuticals,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00440,00440,DAH SING,FINANCIALS,Banking,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:02888,02888,STANCHART,FINANCIALS,Diversified Banking,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:01997,01997,WHARF REIC,REAL_ESTATE,Commercial Real Estate,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00002,00002,CLP HOLDINGS,UTILITIES,Electric Utilities,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00966,00966,CHINA TAIPING,FINANCIALS,Insurance,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:09992,09992,POP MART,CONSUMER_DISCRETIONARY,Collectibles & Consumer Brands,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00293,00293,CATHAY PAC AIR,INDUSTRIALS,Airlines,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:01368,01368,XTEP INT'L,CONSUMER_DISCRETIONARY,Sportswear & Footwear,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:00270,00270,GUANGDONG INV,UTILITIES,Water & Infrastructure Utilities,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
HK_CANDIDATE,HKEX:03698,03698,HUISHANG BANK,FINANCIALS,Banking,ACCEPTED_SECONDARY_RESEARCH_CLASSIFICATION,HK_CANDIDATE_CURRENT+P2B_ACCEPTED_RESEARCH_CONTEXT,2026-08-07,NONE
