security_code,security_name,exchange,market_segment,last_price,change_pct,change_amount,volume,turnover_amount,amplitude_pct,turnover_rate_pct,pe_ttm,pb,high,low,open,prev_close,total_market_cap,float_market_cap,source_provider,source_market_id,source_timestamp,provider_session_date
920000,安徽凤凰,BSE,BSE,14.180,7.424,0.98,4999612,69078301,,8.6808,19.694,1.927,14.560,13.200,13.600,13.200,130002.24,81668.18565,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920001,纬达光电,BSE,BSE,10.700,-6.223,-0.71,1414449,15555284,,1.59481,-82.308,2.319,11.440,10.650,11.300,11.410,164412.13828,94899.3914,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920002,万达轴承,BSE,BSE,47.000,-4.954,-2.45,761423,36343621,,1.70734,34.058,4.025,48.900,47.000,48.500,49.450,299409.5285,209606.6191,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920003,中诚咨询,BSE,BSE,15.760,-2.776,-0.45,190770,3026746,,0.98,8.251,2.18,16.110,15.700,16.000,16.210,142785.6,30679.07792,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920005,鼎佳精密,BSE,BSE,23.230,-0.3,-0.07,320352,7420694,,1.49001,27.012,2.943,23.620,22.000,23.080,23.300,192809,49944.5,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920006,晟楠科技,BSE,BSE,16.420,5.595,0.87,5634434,96520514,,11.78823,182.444,4.717,18.450,15.120,15.230,15.550,148251.5824,78482.857904,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920007,酉立智能,BSE,BSE,32.860,-4.477,-1.54,129173,4298385,,1.21371,13.412,2.257,34.020,32.770,34.010,34.400,146333.6307,34972.4051,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920008,成电光信,BSE,BSE,18.560,-0.483,-0.09,1867616,35910293,,5.48191,72.985,3.634,19.960,18.380,18.940,18.650,118320,63231.494208,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920009,丹娜生物,BSE,BSE,33.160,-5.284,-1.85,394666,13242994,,3.91534,16.58,3.694,34.410,33.080,34.100,35.010,257142.536,33425.28,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920010,凯添燃气,BSE,BSE,8.660,-3.778,-0.34,10804278,96829219,,6.22733,72.167,2.917,9.480,8.570,9.140,9.000,203077,150249.140698,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920011,晨光电机,BSE,BSE,17.810,-3.259,-0.6,552331,9943961,,2.96952,11.795,1.734,18.390,17.760,18.110,18.410,147229.333927,33126.601781,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920012,创达新材,BSE,BSE,45.050,-3.924,-1.84,852612,38834308,,4.41825,25.452,3.624,46.890,44.510,46.120,46.890,222174.7969,86935.28255,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920014,特瑞斯,BSE,BSE,9.480,-3.364,-0.33,5695705,57294348,,8.49506,135.429,1.469,10.780,9.450,10.190,9.810,115520.192364,63560.838504,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920015,锦华新材,BSE,BSE,46.810,-1.907,-0.91,1650963,78103726,,4.12612,25.745,3.718,48.780,46.190,47.080,47.720,634587.568227,187298.23164,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920016,中草香料,BSE,BSE,11.400,-5.079,-0.61,601427,7032893,,1.75665,45.6,2.248,12.100,11.400,12.100,12.010,87759.39906,39030.42852,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920017,星昊医药,BSE,BSE,15.850,-1.979,-0.32,1422117,22791013,,1.16025,18.869,1.165,16.220,15.800,16.130,16.170,196369.639445,194273.318445,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920018,宏远股份,BSE,BSE,15.260,-6.034,-0.98,5933998,90005414,,10.32162,14.816,2.704,15.570,14.710,15.170,16.240,252596.388758,87731.17444,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920019,铜冠矿建,BSE,BSE,13.400,-5.233,-0.74,1883085,25709093,,1.12399,70.526,3.013,14.100,13.350,13.890,14.140,281757.378,224497.79244,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920020,泰凯英,BSE,BSE,15.250,0.197,0.03,359583,5394777,,0.64672,16.163,2.869,15.250,14.810,15.220,15.220,343041.125,84791.374025,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920021,流金科技,BSE,BSE,5.930,-6.614,-0.42,11335004,68952063,,4.57879,197.667,2.823,6.290,5.930,6.290,6.350,183236.989919,146799.921089,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920022,世昌股份,BSE,BSE,18.150,-1.892,-0.35,163640,2939955,,0.98489,12.264,2.459,18.290,17.730,18.250,18.500,109482.615,30156.225,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920023,*ST田野,BSE,BSE,1.630,-5.78,-0.1,7246739,12043765,,2.69587,42.895,0.442,1.730,1.610,1.710,1.730,53350.552,43815.79039,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920026,卓兆点胶,BSE,BSE,15.720,-4.9,-0.81,579564,9322923,,0.66907,24.952,2.826,16.490,15.720,16.490,16.530,180635.602368,136169.999364,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920027,交大铁发,BSE,BSE,10.620,-3.191,-0.35,956272,10196584,,1.32725,16.594,2.358,10.870,10.560,10.820,10.970,109348.3521,76515.95835,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920028,新恒泰,BSE,BSE,13.010,-2.18,-0.29,1609174,21208123,,2.47719,14.456,1.886,13.420,12.900,13.100,13.300,213832.36,84512.4396,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920029,开发科技,BSE,BSE,30.760,-3.513,-1.12,734154,22834783,,0.36459,5.613,1.683,32.120,30.650,31.470,31.880,636550.925108,619398.149408,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920030,德众汽车,BSE,BSE,4.110,-2.837,-0.12,1098012,4559529,,0.97624,-24.176,1.685,4.270,4.080,4.190,4.230,73503.108891,46226.830851,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920033,康普化学,BSE,BSE,13.090,-3.037,-0.41,851145,11367010,,1.02755,68.895,2.022,13.660,13.070,13.520,13.500,155948.04225,108427.421795,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920035,精创电气,BSE,BSE,22.130,-4.858,-1.13,538903,12162696,,3.42448,16.639,2.591,23.040,22.100,22.890,23.260,153626.46,34825.5384,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920036,觅睿科技,BSE,BSE,27.900,-4.713,-1.38,637303,17978244,,4.87933,14.381,2.557,28.960,27.610,28.720,29.280,151836.89733,36440.96283,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920037,广信科技,BSE,BSE,36.810,-5.591,-2.18,1265278,47697395,,1.61619,14.843,5.195,38.930,36.810,38.600,38.990,471344.949351,288177.87033,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920039,国义招标,BSE,BSE,7.140,-3.774,-0.28,551598,3975533,,0.3586,35.7,2.02,7.350,7.110,7.340,7.420,109827.48,109827.4086,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920045,蘅东光,BSE,BSE,284.520,-1.703,-4.93,766250,221005724,,2.71927,53.989,23.445,295.800,280.110,285.740,289.450,2711480.351484,801736.076148,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920046,亿能电力,BSE,BSE,21.600,-10.559,-2.55,9558220,212441462,,17.09052,144,8.457,23.590,21.290,23.000,24.150,218484,120802.39992,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920047,诺思兰德,BSE,BSE,16.630,-5.188,-0.91,4854337,82408530,,2.69526,-83.15,17.173,17.710,16.580,17.660,17.540,456114.292762,299516.988101,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920050,爱伦医疗,BSE,BSE,25.670,-1.079,-0.28,157364,4051092,,0.86929,13.876,1.6,25.980,25.450,25.710,25.950,173732.850378,46469.505117,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920055,隆源股份,BSE,BSE,25.970,-2.734,-0.73,263834,6891012,,1.72441,9.275,1.442,26.450,25.880,26.300,26.700,176596,39734.1,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920056,能之光,BSE,BSE,15.150,-4.837,-0.77,549136,8489211,,1.78037,19.423,2.247,16.030,15.150,15.920,15.920,123762.9255,46728.479715,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920057,百甲科技,BSE,BSE,4.500,-2.597,-0.12,1367745,6243759,,1.1737,90,1.135,4.650,4.500,4.620,4.620,81568.48365,52439.55525,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920058,华洋赛车,BSE,BSE,24.590,4.683,1.1,1139187,27439101,,4.12833,26.728,3.867,24.800,22.710,22.710,23.490,137841.97449,67854.600092,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920060,万源通,BSE,BSE,20.040,-4.115,-0.86,1350829,27495342,,1.42456,24.433,2.793,20.750,20.040,20.700,20.900,304697.504652,190027.841088,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920061,西磁科技,BSE,BSE,15.810,-2.588,-0.42,691158,10989960,,1.75579,263.5,3.991,16.230,15.760,16.050,16.230,111918.99,62235.1164,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920062,科润智控,BSE,BSE,7.290,-5.57,-0.43,3528196,26357707,,2.65549,91.125,1.831,7.700,7.240,7.700,7.720,137566.875933,96857.84142,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920066,科拜尔,BSE,BSE,15.550,-3.596,-0.58,289518,4609273,,1.45682,34.556,2.398,16.410,15.530,16.130,16.130,97736.92193,30903.02193,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920068,天工股份,BSE,BSE,14.040,-2.568,-0.37,1172814,16439544,,0.67526,63.243,6.857,14.520,13.810,14.520,14.410,920462.42106,243850.284756,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920069,普昂医疗,BSE,BSE,31.890,-3.129,-1.03,359099,11649396,,2.43,15.042,2.132,33.120,31.880,33.000,32.920,168742.746,47126.196915,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920072,科莱瑞迪,BSE,BSE,26.050,-8.629,-2.46,2205356,59477526,,15.24615,25.291,3.831,28.580,26.010,28.490,28.510,199543,37681.325,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920075,柏星龙,BSE,BSE,13.740,-5.632,-0.82,540153,7585479,,1.53764,41.076,2.19,14.600,13.720,14.360,14.560,89055.81,48266.835174,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
920076,国亮新材,BSE,BSE,11.900,-2.539,-0.31,504359,6025929,,1.36935,9.835,1.396,12.090,11.870,12.090,12.210,139335.06153,43830.00265,sina_public,,2026-07-25T15:03:00+00:00,2026-07-24
