security_code,security_name,exchange,market_data_readiness,eligibility_reason,last_price,volume,turnover_amount,total_market_cap,board,industry_name,listing_status,factor_record_quality,confidence_grade,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,sector_profile,financial_score,score_band,score_confidence,score_confidence_numeric,available_family_count,available_family_weight,global_factor_weight_coverage,conditional_weight_share,ranking_eligible,score_state,balance_sheet_efficiency_score,cash_earnings_quality_score,growth_momentum_score,profitability_returns_score,market_as_of_date,close,total_market_cap_cny,float_market_cap_cny,pe_ttm,pb,ps_ttm,fcf_yield_ttm,ev_sales_ttm,ev_operating_income_ttm,valuation_valid_metric_count,valuation_decision_grade_metric_count,shareholder_yield_ttm,dividend_yield_ttm,shareholder_return_state,capitalization_state,historical_longlist_rank,historical_research_priority,historical_primary_sleeve,historical_sleeves,historical_aggregate_score,historical_factor_record_quality,historical_confidence_grade,historical_factor_score,prior_research_stage,prior_graduation_decision,prior_decision_reason_codes_json,prior_formal_research_object_created,prior_research_status,prior_next_workflow,workload_priority_rank,wp3_2b_queue_member,historical_core20_name,historical_core20,industry_bucket,current_liquidity_percentile,valuation_context_state,valuation_context_score,valuation_context_notes,financial_gate_pass,financial_gate_reasons,research_risk_flags,research_priority_score,research_priority_weight_coverage,multidimensional_disposition,investment_ranking,candidate_admission_authority,trade_authority,valuation_price_ratio,valuation_price_rebase_status,current_pe_ttm,current_fcf_yield_ttm,current_shareholder_yield_ttm,current_market_cap_cny,current_turnover_cny,institutional_size_gate,deep_dive_size_gate,research_liquidity_gate,deep_dive_liquidity_gate,research_risk_penalty,research_priority_score_pre_penalty,strategy_sleeve,core20_sleeve_override_applied
688797,臻宝科技,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,381.25,6982299.0,2715505560.0,5920442.535,STAR,,ACTIVE,PARTIAL,B,4965365916.0,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,334.7,51975662071.2,9770796020.6,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,98.08144796380091,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,96.5814479638,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.139079772930983,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,59204425350.0,2715505560.0,True,True,True,True,1.5,98.0814479638,QUALITY_GROWTH,False
301583,托伦斯,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,174.0,13513030.0,2195569708.0,3227242.2408,CHINEXT,C 制造业,ACTIVE,PARTIAL,B,,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,136.0,25224422112.0,4193066728.0,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,97.10407239819004,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,95.6040723982,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.2794117647058822,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,32272422407.999996,2195569708.0,True,True,True,True,1.5,97.1040723982,QUALITY_GROWTH,False
001248,华润新能,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,12.7,151076646.0,1964137959.0,16517016.5722,SZ_MAIN,D 水电煤气,ACTIVE,PARTIAL,B,,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,12.67,164779999976.2,13460656031.97,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,D 水电煤气,96.5972850678733,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING|POSITIVE_SHAREHOLDER_OR_DIVIDEND_YIELD_NOT_PROVEN,,95.0972850679,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.0023677979479084,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,165170165722.0,1964137959.0,True,True,True,True,1.5,96.5972850679,DEFENSIVE_INFRA_YIELD,False
001399,惠科股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,25.1,37304740.0,946588371.0,18317565.18736,SZ_MAIN,C 制造业,ACTIVE,PARTIAL,B,4933231615.9375,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,23.51,171572094643.36002,10122623845.810001,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,92.5972850678733,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,91.0972850679,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.06763079540621,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,183175651873.6,946588371.0,True,True,True,True,1.5,92.5972850679,QUALITY_GROWTH,False
920238,N长鹰,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,56.03,16328250.0,1009193021.0,533619.953971,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,93.0497737556561,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,87.5497737557,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,,PRICE_LINKED_REBASE_UNAVAILABLE,,,,5336199539.71,1009193021.0,True,False,True,True,5.5,93.0497737557,QUALITY_GROWTH,False
603444,吉比特,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,347.8,1194753.0,418768297.0,2505589.49278,SH_MAIN,,ACTIVE,VALID,A,845256717.75,0.044734018089836125,-0.10646667016310896,-0.26567820352571003,0.10325400679941721,-0.4684989627041445,0.3920857550565473,-0.3077252392062846,GENERAL_NON_FINANCIAL,90.04435970344983,EXCEPTIONAL_FINANCIAL_QUALITY,MEDIUM,93.215625,4.0,1.0,0.96,0.1875,True,SCORE_ACCEPTED,81.60473735565861,85.87449011058759,90.65624532098366,98.63576124808435,2026-07-17,340.74,24547284754.74,24547284754.74,12.104770496612776,4.087456026091046,3.549168538636609,0.12868706903642463,,,5.0,5.0,0.03991313024593531,0.03991313024593531,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,82.80542986425338,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,87.54355320201651,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0207196102600222,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,12.355576623589608,0.12607484733603028,0.03910293271995399,25055894927.8,418768297.0,True,True,True,True,1.5,89.04355320201651,QUALITY_GROWTH,False
688806,C泰诺,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,26.6,18237295.0,501858243.0,1225052.8654,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,85.61085972850678,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,84.1108597285,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,,PRICE_LINKED_REBASE_UNAVAILABLE,,,,12250528654.0,501858243.0,True,True,True,True,1.5,85.6108597285,QUALITY_GROWTH,False
601818,光大银行,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,3.15,167196030.0,529627605.0,18611948.584215,SH_MAIN,,ACTIVE,VALID,A,674919360.35,0.016233766233766156,-0.01572327044025168,-0.042813455657492394,-0.2582938388625592,-0.2582938388625592,0.1567169467592192,-0.13731343283582087,BANK,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,CONTROLLED_PROFILE_EXCLUSION,,,,,2026-07-17,3.13,184937774820.93,145253332705.93,4.889817160332355,0.321953986558564,,,,,3.0,3.0,0.06070287539936103,0.06070287539936103,COMPLETE,VALID,6.0,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,0.96555315,VALID,A,95.0,SCREENED,DEFERRED,"[""SECTOR_SPECIFIC_PACK_REQUIRED"", ""GENERIC_SCORE_UNAVAILABLE"", ""DIVIDEND_NOT_SUFFICIENT""]",True,SOURCE_BACKED_BASELINE_COMPLETE,company-tearsheet,,False,,False,BANK,86.29864253393666,VALUATION_SUPPORTIVE_FOR_RESEARCH,77.5,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,False,SEPARATE_FINANCIAL_PROFILE_REQUIRED,,83.87248046070908,0.11,SEPARATE_PROFILE_REVIEW_REQUIRED,False,False,NONE,1.0063897763578276,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,4.921061998417547,,0.06031746031746032,186119485842.15,529627605.0,True,True,True,True,0.0,83.87248046070908,FINANCIAL_SEPARATE_PROFILE,False
688002,睿创微纳,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,150.1,12084955.0,1850635732.0,7053976.0677,STAR,,ACTIVE,VALID,A,1867695875.25,-0.14937618660157304,-0.042804822218831085,0.20289577140665438,0.863211050051983,-0.23655063291139233,0.5800494434919158,-0.23655063291139233,GENERAL_NON_FINANCIAL,85.84677905451882,EXCEPTIONAL_FINANCIAL_QUALITY,HIGH,97.8,4.0,1.0,0.96,0.0,True,SCORE_ACCEPTED,67.98615077924302,84.53533386174496,91.95493488904526,93.75660570324222,2026-07-17,125.45,58955449546.5,58955449546.5,40.44836318016616,8.068157728121973,8.289010829446047,0.032382447429804034,9.413362944899497,54.01843565045987,7.0,7.0,0.031163383307212442,0.0030290952570745317,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,96.36199095022624,VALUATION_SUPPORTIVE_FOR_RESEARCH,70.0,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,83.75876639237218,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.19649262654444,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,48.39616830086043,0.02706447721564901,0.026045612497600273,70539760677.0,1850635732.0,True,True,True,True,1.5,85.25876639237218,QUALITY_GROWTH,False
603379,三美股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,60.1,9289824.0,562923455.0,3668979.01237,SH_MAIN,,ACTIVE,VALID,A,1634554534.95,-0.08788017728870556,-0.022440622440622393,0.0609777777777778,0.26601612218922366,-0.28509822712026833,0.6668631386691172,-0.28509822712026833,GENERAL_NON_FINANCIAL,84.4637147088475,STRONG_FINANCIAL_QUALITY,HIGH,96.271875,4.0,1.0,0.96,0.0625,True,SCORE_ACCEPTED,80.80024376079436,64.5666823300728,91.90469828773837,97.28606934078613,2026-07-17,59.68,36433388928.159996,36433388928.159996,16.817159124133056,4.226234925586096,6.036361818247246,0.023479588328079334,,,5.0,5.0,0.02546916890080429,0.02546916890080429,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,87.04072398190044,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,82.55956675678557,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0070375335120643,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,16.93551044504686,0.02331550468252537,0.025291181364392682,36689790123.700005,562923455.0,True,True,True,True,1.5,84.05956675678557,QUALITY_GROWTH,False
