security_code,security_name,exchange,market_data_readiness,eligibility_reason,last_price,volume,turnover_amount,total_market_cap,board,industry_name,listing_status,factor_record_quality,confidence_grade,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,sector_profile,financial_score,score_band,score_confidence,score_confidence_numeric,available_family_count,available_family_weight,global_factor_weight_coverage,conditional_weight_share,ranking_eligible,score_state,balance_sheet_efficiency_score,cash_earnings_quality_score,growth_momentum_score,profitability_returns_score,market_as_of_date,close,total_market_cap_cny,float_market_cap_cny,pe_ttm,pb,ps_ttm,fcf_yield_ttm,ev_sales_ttm,ev_operating_income_ttm,valuation_valid_metric_count,valuation_decision_grade_metric_count,shareholder_yield_ttm,dividend_yield_ttm,shareholder_return_state,capitalization_state,historical_longlist_rank,historical_research_priority,historical_primary_sleeve,historical_sleeves,historical_aggregate_score,historical_factor_record_quality,historical_confidence_grade,historical_factor_score,prior_research_stage,prior_graduation_decision,prior_decision_reason_codes_json,prior_formal_research_object_created,prior_research_status,prior_next_workflow,workload_priority_rank,wp3_2b_queue_member,historical_core20_name,historical_core20,industry_bucket,current_liquidity_percentile,valuation_context_state,valuation_context_score,valuation_context_notes,financial_gate_pass,financial_gate_reasons,research_risk_flags,research_priority_score,research_priority_weight_coverage,multidimensional_disposition,investment_ranking,candidate_admission_authority,trade_authority,valuation_price_ratio,valuation_price_rebase_status,current_pe_ttm,current_fcf_yield_ttm,current_shareholder_yield_ttm,current_market_cap_cny,current_turnover_cny,institutional_size_gate,deep_dive_size_gate,research_liquidity_gate,deep_dive_liquidity_gate,research_risk_penalty,research_priority_score_pre_penalty,strategy_sleeve,core20_sleeve_override_applied
688797,臻宝科技,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,381.25,6982299.0,2715505560.0,5920442.535,STAR,,ACTIVE,PARTIAL,B,4965365916.0,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,334.7,51975662071.2,9770796020.6,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,98.08144796380091,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,96.5814479638,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.139079772930983,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,59204425350.0,2715505560.0,True,True,True,True,1.5,98.0814479638,QUALITY_GROWTH,False
301583,托伦斯,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,174.0,13513030.0,2195569708.0,3227242.2408,CHINEXT,C 制造业,ACTIVE,PARTIAL,B,,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,136.0,25224422112.0,4193066728.0,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,97.10407239819004,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,95.6040723982,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.2794117647058822,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,32272422407.999996,2195569708.0,True,True,True,True,1.5,97.1040723982,QUALITY_GROWTH,False
001248,华润新能,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,12.7,151076646.0,1964137959.0,16517016.5722,SZ_MAIN,D 水电煤气,ACTIVE,PARTIAL,B,,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,12.67,164779999976.2,13460656031.97,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,D 水电煤气,96.5972850678733,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING|POSITIVE_SHAREHOLDER_OR_DIVIDEND_YIELD_NOT_PROVEN,,95.0972850679,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.0023677979479084,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,165170165722.0,1964137959.0,True,True,True,True,1.5,96.5972850679,DEFENSIVE_INFRA_YIELD,False
001399,惠科股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,25.1,37304740.0,946588371.0,18317565.18736,SZ_MAIN,C 制造业,ACTIVE,PARTIAL,B,4933231615.9375,,,,,,,,GENERAL_NON_FINANCIAL,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,INSUFFICIENT_FAMILY_COVERAGE,,,,,2026-07-17,23.51,171572094643.36002,10122623845.810001,,,,,,,0.0,0.0,0.0,0.0,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,92.5972850678733,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,91.0972850679,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.06763079540621,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,,,0.0,183175651873.6,946588371.0,True,True,True,True,1.5,92.5972850679,QUALITY_GROWTH,False
920238,N长鹰,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,56.03,16328250.0,1009193021.0,533619.953971,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,93.0497737556561,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,87.5497737557,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,,PRICE_LINKED_REBASE_UNAVAILABLE,,,,5336199539.71,1009193021.0,True,False,True,True,5.5,93.0497737557,QUALITY_GROWTH,False
688806,C泰诺,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,26.6,18237295.0,501858243.0,1225052.8654,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,85.61085972850678,VALUATION_EVIDENCE_INSUFFICIENT,,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|VALUATION_VALID_METRICS_BELOW_MINIMUM,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,84.1108597285,0.02,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,,PRICE_LINKED_REBASE_UNAVAILABLE,,,,12250528654.0,501858243.0,True,True,True,True,1.5,85.6108597285,QUALITY_GROWTH,False
601818,光大银行,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,3.15,167196030.0,529627605.0,18611948.584215,SH_MAIN,,ACTIVE,VALID,A,674919360.35,0.016233766233766156,-0.01572327044025168,-0.042813455657492394,-0.2582938388625592,-0.2582938388625592,0.1567169467592192,-0.13731343283582087,BANK,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,CONTROLLED_PROFILE_EXCLUSION,,,,,2026-07-17,3.13,184937774820.93,145253332705.93,4.889817160332355,0.321953986558564,,,,,3.0,3.0,0.06070287539936103,0.06070287539936103,COMPLETE,VALID,6.0,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,0.96555315,VALID,A,95.0,SCREENED,DEFERRED,"[""SECTOR_SPECIFIC_PACK_REQUIRED"", ""GENERIC_SCORE_UNAVAILABLE"", ""DIVIDEND_NOT_SUFFICIENT""]",True,SOURCE_BACKED_BASELINE_COMPLETE,company-tearsheet,,False,,False,BANK,86.29864253393666,VALUATION_SUPPORTIVE_FOR_RESEARCH,77.5,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,False,SEPARATE_FINANCIAL_PROFILE_REQUIRED,,83.87248046070908,0.11,SEPARATE_PROFILE_REVIEW_REQUIRED,False,False,NONE,1.0063897763578276,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,4.921061998417547,,0.06031746031746032,186119485842.15,529627605.0,True,True,True,True,0.0,83.87248046070908,FINANCIAL_SEPARATE_PROFILE,False
601318,中国平安,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,54.02,85262157.0,4598516043.0,97817482.05699,SH_MAIN,,ACTIVE,VALID,A,5027038099.15,0.026731470230862753,-0.1048728813559322,-0.22263109475620968,-0.056217423678332046,-0.29495202336253645,0.29596184019891025,-0.2894538889724688,INSURANCE,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,CONTROLLED_PROFILE_EXCLUSION,,,,,2026-07-17,50.7,918057449146.5,540465299708.10004,6.913916203356579,0.9015500674121829,,,,,3.0,3.0,0.05888822646256052,0.05325443786982249,COMPLETE,VALID,,,,,,,,,,,,,,,61.0,True,中国平安,True,INSURANCE,98.91402714932127,VALUATION_SUPPORTIVE_FOR_RESEARCH,77.5,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,False,SEPARATE_FINANCIAL_PROFILE_REQUIRED,,81.35350678732499,0.08,SEPARATE_PROFILE_REVIEW_REQUIRED,False,False,NONE,1.065483234714004,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,7.366661800893933,,0.055269031500403895,978174820569.9,4598516043.0,True,True,True,True,1.5,82.85350678732499,FINANCIAL_SEPARATE_PROFILE,True
600036,招商银行,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,39.2,98296005.0,3846185674.0,98861794.75592,SH_MAIN,,ACTIVE,VALID,A,3551821254.0,0.04853833425262022,-0.02035557845916003,-0.0007884362680681267,-0.11416589002795896,-0.13334852974697964,0.17245676392595713,-0.1152368758002561,BANK,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,CONTROLLED_PROFILE_EXCLUSION,,,,,2026-07-17,38.02,958858529750.02,784312467190.5801,6.360713843393368,0.7477325153721239,,,,,3.0,3.0,0.053024723829563386,0.053024723829563386,COMPLETE,VALID,,,,,,,,,,,,,,,75.0,True,招商银行,True,BANK,98.6606334841629,VALUATION_SUPPORTIVE_FOR_RESEARCH,77.5,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,False,SEPARATE_FINANCIAL_PROFILE_REQUIRED,,81.29015837105,0.08,SEPARATE_PROFILE_REVIEW_REQUIRED,False,False,NONE,1.0310362966859548,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,6.558126845371384,,0.05142857142857143,988617947559.2,3846185674.0,True,True,True,True,1.5,82.79015837105,FINANCIAL_SEPARATE_PROFILE,True
600030,中信证券,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,27.95,129621942.0,3651964574.0,41423428.387055,SH_MAIN,,ACTIVE,VALID,A,7142597040.65,0.03915662650602414,0.06646058732612059,0.002178649237472907,0.028699217294073875,-0.11821086261980829,0.3099320938805418,-0.15354189140596908,SECURITIES_AND_BROKERAGE,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,CONTROLLED_PROFILE_EXCLUSION,,,,,2026-07-17,27.6,409047092480.4,336072806882.4,12.143588103580225,1.2226015699967636,,,,,3.0,3.0,0.035507246376811595,0.035507246376811595,COMPLETE,VALID,,,,,,,,,,,,,,,81.0,True,,False,SECURITIES_AND_BROKERAGE,98.55203619909503,VALUATION_SUPPORTIVE_FOR_RESEARCH,77.5,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,False,FINANCIAL_SCORE_NOT_ACCEPTED|CONFIDENCE_NOT_ALLOWED|FINANCIAL_SCORE_MISSING|PROFITABILITY_MISSING|GROWTH_MISSING|CASH_QUALITY_MISSING|BALANCE_SHEET_MISSING,,81.263009049775,0.08,DEFER_FINANCIAL_EVIDENCE_OR_PROFILE,False,False,NONE,1.0126811594202898,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,12.29758288025606,,0.03506261180679786,414234283870.55005,3651964574.0,True,True,True,True,1.5,82.763009049775,QUALITY_GROWTH,False
