security_code,security_name,workplan_lane,workplan_priority,historical_core20,source,required_next_work,candidate_membership_mutation,trade_authority
603444,吉比特,A_DEEP_DIVE,1,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
688002,睿创微纳,A_DEEP_DIVE,2,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
603379,三美股份,A_DEEP_DIVE,3,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
002602,世纪华通,A_DEEP_DIVE,4,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
688578,艾力斯,A_DEEP_DIVE,5,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
002603,以岭药业,A_DEEP_DIVE,6,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
002901,大博医疗,A_DEEP_DIVE,7,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
002170,芭田股份,A_DEEP_DIVE,8,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
688266,泽璟制药,A_DEEP_DIVE,9,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
300573,兴齐眼药,A_DEEP_DIVE,10,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
000792,盐湖股份,A_DEEP_DIVE,11,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
688617,惠泰医疗,A_DEEP_DIVE,12,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
300308,中际旭创,A_DEEP_DIVE,13,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
002128,电投能源,A_DEEP_DIVE,14,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
000791,甘肃能源,A_DEEP_DIVE,15,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
300012,华测检测,A_DEEP_DIVE,16,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
002967,广电计量,A_DEEP_DIVE,17,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
300972,万辰集团,A_DEEP_DIVE,18,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
002555,三七互娱,A_DEEP_DIVE,19,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
000690,宝新能源,A_DEEP_DIVE,20,False,WP3_3_INDUSTRY_LONGLIST,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0,NONE
000975,山金国际,B_STRUCTURED_RESEARCH,21,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
300139,晓程科技,B_STRUCTURED_RESEARCH,22,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
002558,巨人网络,B_STRUCTURED_RESEARCH,23,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
301109,军信股份,B_STRUCTURED_RESEARCH,24,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
000828,东莞控股,B_STRUCTURED_RESEARCH,25,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
002039,黔源电力,B_STRUCTURED_RESEARCH,26,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
002517,恺英网络,B_STRUCTURED_RESEARCH,27,False,WP3_3_INDUSTRY_LONGLIST,COMPANY_TEARSHEET_AND_EARNINGS_QUALITY_REVIEW,0,NONE
