research_longlist_rank,security_code,security_name,exchange,market_data_readiness,eligibility_reason,last_price,volume,turnover_amount,total_market_cap,board,industry_name,listing_status,factor_record_quality,confidence_grade,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,sector_profile,financial_score,score_band,score_confidence,score_confidence_numeric,available_family_count,available_family_weight,global_factor_weight_coverage,conditional_weight_share,ranking_eligible,score_state,balance_sheet_efficiency_score,cash_earnings_quality_score,growth_momentum_score,profitability_returns_score,market_as_of_date,close,total_market_cap_cny,float_market_cap_cny,pe_ttm,pb,ps_ttm,fcf_yield_ttm,ev_sales_ttm,ev_operating_income_ttm,valuation_valid_metric_count,valuation_decision_grade_metric_count,shareholder_yield_ttm,dividend_yield_ttm,shareholder_return_state,capitalization_state,historical_longlist_rank,historical_research_priority,historical_primary_sleeve,historical_sleeves,historical_aggregate_score,historical_factor_record_quality,historical_confidence_grade,historical_factor_score,prior_research_stage,prior_graduation_decision,prior_decision_reason_codes_json,prior_formal_research_object_created,prior_research_status,prior_next_workflow,workload_priority_rank,wp3_2b_queue_member,historical_core20_name,historical_core20,industry_bucket,current_liquidity_percentile,valuation_context_state,valuation_context_score,valuation_context_notes,financial_gate_pass,financial_gate_reasons,research_risk_flags,research_priority_score,research_priority_weight_coverage,multidimensional_disposition,investment_ranking,candidate_admission_authority,trade_authority,valuation_price_ratio,valuation_price_rebase_status,current_pe_ttm,current_fcf_yield_ttm,current_shareholder_yield_ttm,current_market_cap_cny,current_turnover_cny,institutional_size_gate,deep_dive_size_gate,research_liquidity_gate,deep_dive_liquidity_gate,research_risk_penalty,research_priority_score_pre_penalty,strategy_sleeve,core20_sleeve_override_applied,research_bucket,proposed_next_step,candidate_membership_mutation
1,603444,吉比特,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,347.8,1194753.0,418768297.0,2505589.49278,SH_MAIN,,ACTIVE,VALID,A,845256717.75,0.044734018089836125,-0.10646667016310896,-0.26567820352571003,0.10325400679941721,-0.4684989627041445,0.3920857550565473,-0.3077252392062846,GENERAL_NON_FINANCIAL,90.04435970344983,EXCEPTIONAL_FINANCIAL_QUALITY,MEDIUM,93.215625,4.0,1.0,0.96,0.1875,True,SCORE_ACCEPTED,81.60473735565861,85.87449011058759,90.65624532098366,98.63576124808435,2026-07-17,340.74,24547284754.74,24547284754.74,12.104770496612776,4.087456026091046,3.549168538636609,0.12868706903642463,,,5.0,5.0,0.03991313024593531,0.03991313024593531,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,82.80542986425338,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,87.54355320201651,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0207196102600222,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,12.355576623589608,0.12607484733603028,0.03910293271995399,25055894927.8,418768297.0,True,True,True,True,1.5,89.04355320201651,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
2,688002,睿创微纳,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,150.1,12084955.0,1850635732.0,7053976.0677,STAR,,ACTIVE,VALID,A,1867695875.25,-0.14937618660157304,-0.042804822218831085,0.20289577140665438,0.863211050051983,-0.23655063291139233,0.5800494434919158,-0.23655063291139233,GENERAL_NON_FINANCIAL,85.84677905451882,EXCEPTIONAL_FINANCIAL_QUALITY,HIGH,97.8,4.0,1.0,0.96,0.0,True,SCORE_ACCEPTED,67.98615077924302,84.53533386174496,91.95493488904526,93.75660570324222,2026-07-17,125.45,58955449546.5,58955449546.5,40.44836318016616,8.068157728121973,8.289010829446047,0.032382447429804034,9.413362944899497,54.01843565045987,7.0,7.0,0.031163383307212442,0.0030290952570745317,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,96.36199095022624,VALUATION_SUPPORTIVE_FOR_RESEARCH,70.0,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,83.75876639237218,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.19649262654444,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,48.39616830086043,0.02706447721564901,0.026045612497600273,70539760677.0,1850635732.0,True,True,True,True,1.5,85.25876639237218,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
3,603379,三美股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,60.1,9289824.0,562923455.0,3668979.01237,SH_MAIN,,ACTIVE,VALID,A,1634554534.95,-0.08788017728870556,-0.022440622440622393,0.0609777777777778,0.26601612218922366,-0.28509822712026833,0.6668631386691172,-0.28509822712026833,GENERAL_NON_FINANCIAL,84.4637147088475,STRONG_FINANCIAL_QUALITY,HIGH,96.271875,4.0,1.0,0.96,0.0625,True,SCORE_ACCEPTED,80.80024376079436,64.5666823300728,91.90469828773837,97.28606934078613,2026-07-17,59.68,36433388928.159996,36433388928.159996,16.817159124133056,4.226234925586096,6.036361818247246,0.023479588328079334,,,5.0,5.0,0.02546916890080429,0.02546916890080429,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,87.04072398190044,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,82.55956675678557,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0070375335120643,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,16.93551044504686,0.02331550468252537,0.025291181364392682,36689790123.700005,562923455.0,True,True,True,True,1.5,84.05956675678557,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
4,002602,世纪华通,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,12.38,122921433.0,1525531832.0,9124904.714636,SZ_MAIN,I 信息技术,ACTIVE,VALID,A,2218060421.45,0.008500772797527034,-0.2232142857142857,-0.33924050632911384,0.10126582278481022,-0.4035648994515538,0.44087860588861905,-0.3644400785854617,GENERAL_NON_FINANCIAL,84.21159540665442,STRONG_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,75.23333611012589,75.74305139319668,89.16417850417793,93.12706903428534,2026-07-17,13.05,96187404302.1,88698600532.35,15.31023318731775,2.9782844423297514,2.3596121710529494,0.08555632588330832,,,5.0,5.0,0.015610504589796775,0.004597701149425287,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,I 信息技术,95.42081447963801,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,82.54188479827114,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,0.9486590038314177,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,14.524190563907569,0.09018659553935165,0.016455338036902092,91249047146.36,1525531832.0,True,True,True,True,1.5,84.04188479827114,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
5,688578,艾力斯,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,119.24,10006504.0,1222595586.0,5365800.0,STAR,,ACTIVE,VALID,A,1643637468.05,0.3494117647058823,0.19791122715404708,0.15729996973060234,0.256160332931771,-0.12362469437652801,0.6016173188796515,-0.20693756194251745,GENERAL_NON_FINANCIAL,84.4383784853943,STRONG_FINANCIAL_QUALITY,MEDIUM,93.215625,4.0,1.0,0.96,0.1875,True,SCORE_ACCEPTED,88.21884420993669,69.00197877670603,79.07826396041399,99.24849653042315,2026-07-17,114.7,51615000000.0,51615000000.0,21.375770807416018,6.6653297907544395,9.098779251003462,0.045476061769446866,,,5.0,5.0,0.008718395815170008,0.008718395815170008,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,GENERAL_NON_FINANCIAL,94.35294117647058,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,82.33716313678968,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0395815170008718,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,22.221856243036495,0.043744584744679266,0.008386447500838645,53658000000.0,1222595586.0,True,True,True,True,1.5,83.83716313678968,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
6,002603,以岭药业,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,16.4,22385954.0,372727838.0,2739956.81664,SZ_MAIN,C 制造业,ACTIVE,VALID,A,461431063.5,0.09853528628495334,0.030605871330418477,-0.038461538461538436,0.18790496760259168,-0.1907797940166749,0.3400040627415513,-0.24781491002570688,GENERAL_NON_FINANCIAL,82.93699663641821,STRONG_FINANCIAL_QUALITY,MEDIUM,94.36250000000001,4.0,1.0,0.8975,0.0,True,SCORE_ACCEPTED,70.9758064454224,75.06835298486077,91.03776529950743,90.71768592080562,2026-07-17,16.5,27566638704.0,22712810736.0,20.130837321719707,2.4184796803045,3.4840284807565935,0.06478944604228597,,,5.0,5.0,0.048484848484848485,0.048484848484848485,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,80.97737556561087,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,81.17815581556702,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,0.9939393939393939,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,20.008832247042616,0.06518450364010478,0.04878048780487805,27399568166.399998,372727838.0,True,True,True,True,1.5,82.67815581556702,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
7,002901,大博医疗,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,43.49,2388938.0,105414905.0,1800570.831594,SZ_MAIN,C 制造业,ACTIVE,VALID,A,138841174.65,0.07117181883537049,0.029479502533394708,-0.11009356957993222,0.25491297024143766,-0.27763413057530706,0.3114107330584821,-0.2308743169398908,GENERAL_NON_FINANCIAL,83.71005768876391,STRONG_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,76.41478374443084,75.92279846174284,82.64321880319886,95.9519887454744,2026-07-17,44.7,18506671918.2,12892026368.1,28.77747420331755,4.969021788093198,6.87464030279738,0.03950510857173661,,,5.0,5.0,0.013422818791946307,0.013422818791946307,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,54.009049773755656,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,81.04871606148866,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,0.9729306487695749,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,27.998486646583448,0.04060423897807833,0.013796275005748447,18005708315.940002,105414905.0,True,True,True,True,1.5,82.54871606148866,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
8,002170,芭田股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,10.9,18300703.0,202629923.0,1057731.86563,SZ_MAIN,C 制造业,ACTIVE,VALID,A,236073974.3,-0.03974121996303137,-0.21048632218844976,-0.1312709030100334,0.04108216432865741,-0.26985242445537594,0.3628927671861654,-0.26985242445537594,GENERAL_NON_FINANCIAL,82.1670290581598,STRONG_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,59.63789662752524,80.44999435798604,89.3478669980473,92.63328131215474,2026-07-17,10.39,10081954235.730001,8178275764.75,9.939027728664483,2.4899411790303185,1.912209096800348,0.13894879602660357,,,5.0,5.0,0.07384261261175709,0.07025986525505294,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,70.15384615384616,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,80.2834923464371,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0490856592877766,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,10.426891457405473,0.13244752208407443,0.07038759128772075,10577318656.3,202629923.0,True,True,True,True,1.5,81.7834923464371,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
9,688266,泽璟制药,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,135.95,6593081.0,915427394.0,3598707.78867,STAR,,ACTIVE,VALID,A,1373276576.45,0.4506633961422679,0.30110000000000015,0.39903225806451625,0.12942708333333353,-0.11729986431478967,0.6751127920154686,-0.2206396130072561,GENERAL_NON_FINANCIAL,83.94798200505107,STRONG_FINANCIAL_QUALITY,MEDIUM,89.709375,4.0,1.0,0.9,0.20277777777777778,True,SCORE_ACCEPTED,48.36142861304603,85.16440973910451,94.13033610703766,98.17336606968776,2026-07-17,130.11,34441182080.46001,34441182080.46001,69.1689115860254,20.105129411463814,22.24546278000953,0.01839157149020652,,,5.0,5.0,0.0,0.0,COMPLETE,VALID,32.0,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH|LIQUID_BREAKOUT,0.83919023,VALID,A,69.0,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,,False,,False,GENERAL_NON_FINANCIAL,92.32579185520362,VALUATION_NEUTRAL_OR_MIXED,48.333333333333336,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|HIGH_EXPECTATION_PE,True,,,80.247854722001,1.0,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0448850972254244,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,72.27356490754094,0.017601525315121522,0.0,35987077886.700005,915427394.0,True,True,True,True,2.0,82.247854722001,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
10,300573,兴齐眼药,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,38.66,6318348.0,248080443.0,1381409.998924,CHINEXT,C 制造业,ACTIVE,VALID,A,432962512.75,0.08754116355653152,-0.13149243918474685,-0.24051360674587963,0.14273356401384096,-0.2996995935677682,0.4163218375280723,-0.3698825204699181,GENERAL_NON_FINANCIAL,81.92764194154213,STRONG_FINANCIAL_QUALITY,MEDIUM,96.625,4.0,1.0,1.0,0.135,True,SCORE_ACCEPTED,79.73329403865986,64.2875087186407,81.76557978442523,98.22570336014557,2026-07-17,39.63,14160703118.820002,10874577613.95,18.721813387439795,6.480560472758351,5.404747475971857,0.03583165401198534,,,5.0,5.0,0.04730106128939657,0.042896795357052736,COMPLETE,VALID,,,,,,,,,,,,,,,,False,,False,C 制造业,73.97285067873302,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,79.75133520059896,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,0.9755235932374462,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,18.263570667636195,0.03673068930406051,0.04848787012154129,13814099989.24,248080443.0,True,True,True,True,1.5,81.25133520059896,QUALITY_GROWTH,False,A_DEEP_DIVE,FULL_RESEARCH_OBJECT_AND_VALUATION_SCENARIO,0
