core20_review_order,security_code,security_name,exchange,market_data_readiness,eligibility_reason,last_price,volume,turnover_amount,total_market_cap,board,industry_name,listing_status,factor_record_quality,confidence_grade,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,sector_profile,financial_score,score_band,score_confidence,score_confidence_numeric,available_family_count,available_family_weight,global_factor_weight_coverage,conditional_weight_share,ranking_eligible,score_state,balance_sheet_efficiency_score,cash_earnings_quality_score,growth_momentum_score,profitability_returns_score,market_as_of_date,close,total_market_cap_cny,float_market_cap_cny,pe_ttm,pb,ps_ttm,fcf_yield_ttm,ev_sales_ttm,ev_operating_income_ttm,valuation_valid_metric_count,valuation_decision_grade_metric_count,shareholder_yield_ttm,dividend_yield_ttm,shareholder_return_state,capitalization_state,historical_longlist_rank,historical_research_priority,historical_primary_sleeve,historical_sleeves,historical_aggregate_score,historical_factor_record_quality,historical_confidence_grade,historical_factor_score,prior_research_stage,prior_graduation_decision,prior_decision_reason_codes_json,prior_formal_research_object_created,prior_research_status,prior_next_workflow,workload_priority_rank,wp3_2b_queue_member,historical_core20_name,historical_core20,industry_bucket,current_liquidity_percentile,valuation_context_state,valuation_context_score,valuation_context_notes,financial_gate_pass,financial_gate_reasons,research_risk_flags,research_priority_score,research_priority_weight_coverage,multidimensional_disposition,investment_ranking,candidate_admission_authority,trade_authority,valuation_price_ratio,valuation_price_rebase_status,current_pe_ttm,current_fcf_yield_ttm,current_shareholder_yield_ttm,current_market_cap_cny,current_turnover_cny,institutional_size_gate,deep_dive_size_gate,research_liquidity_gate,deep_dive_liquidity_gate,research_risk_penalty,research_priority_score_pre_penalty,strategy_sleeve,core20_sleeve_override_applied,core20_review_disposition,core20_review_reason,automatic_removal,automatic_readmission,candidate_membership_mutation
20,601985,中国核电,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,8.9,84666711.0,760375976.0,18305521.84586,SH_MAIN,,ACTIVE,VALID,A,1018857501.4,-0.018973214285714524,0.020905923344947785,0.00918484500574035,-0.03723986856516992,-0.056866952789699665,0.19229941412564155,-0.06877729257641929,GENERAL_NON_FINANCIAL,48.04027010648626,WEAK_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,13.164407229809694,58.834824479594594,37.676789069781364,70.93161757726779,2026-07-17,8.79,180792738230.46,165984073980.93,21.96316852250415,1.4944478427107328,2.2395390800673405,-0.29353483838621863,7.287977254553754,28.411576363743805,7.0,7.0,0.038680318543799774,0.038680318543799774,COMPLETE,VALID,42.0,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,0.76963435,VALID,A,59.0,SCREENED,DEFERRED,"[""NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT""]",False,DEFERRED_BEFORE_FORMAL_RESEARCH,idea-generation,,False,中国核电,True,GENERAL_NON_FINANCIAL,90.55203619909503,VALUATION_NEUTRAL_OR_MIXED,61.666666666666664,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT|NON_POSITIVE_FCF_YIELD,False,FINANCIAL_SCORE_BELOW_DEFENSIVE_INFRA_YIELD_GATE,,47.83392223139901,1.0,DEFER_BELOW_STRATEGY_SLEEVE_OR_INVESTABILITY_GATE,False,False,NONE,1.012514220705347,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,22.2380204607835,-0.28990687970953505,0.038202247191011236,183055218458.6,760375976.0,True,True,True,True,2.0,49.83392223139901,DEFENSIVE_INFRA_YIELD,True,THESIS_REBUILD_REQUIRED_BEFORE_CANDIDATE_DECISION,CURRENT_EVIDENCE_BELOW_GATE_REQUIRES_THESIS_REBUILD_NOT_AUTOMATIC_REMOVAL,False,False,0
3,600276,恒瑞医药,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,53.45,70483651.0,3790751145.0,35475833.32653,SH_MAIN,,ACTIVE,VALID,A,6581056419.9,0.09851301115241617,-0.05204063446800933,-0.15450643776824036,0.014302059496567487,-0.2630922693266834,0.401285585443768,-0.2553088020748906,GENERAL_NON_FINANCIAL,81.02735050410344,STRONG_FINANCIAL_QUALITY,HIGH,96.65390624999999,4.0,1.0,0.96,0.046875,True,SCORE_ACCEPTED,81.33574456003875,77.29699820899828,67.32884436380941,95.34580316297921,2026-07-17,53.19,353032661298.06,339299130954.06,43.48085097644415,5.548536675916054,10.841071301230793,0.024082634631139497,,,5.0,5.0,0.003760105282947923,0.003760105282947923,COMPLETE,VALID,,,,,,,,,,,,,,,76.0,True,恒瑞医药,True,GENERAL_NON_FINANCIAL,98.64253393665159,VALUATION_SUPPORTIVE_FOR_RESEARCH,70.0,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,78.7463236290959,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0048881368678324,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,43.693391327146834,0.023965488045468844,0.0037418147801683817,354758333265.30005,3790751145.0,True,True,True,True,1.5,80.2463236290959,QUALITY_GROWTH,False,READMISSION_REVIEW,CURRENT_MULTIDIMENSIONAL_GATE_PASS,False,False,0
4,300750,宁德时代,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,383.01,25454224.0,9822803975.0,177205354.62716,CHINEXT,C 制造业,ACTIVE,VALID,A,14195199215.25,-0.08057719320648704,-0.1545922081581852,0.0336214074478165,0.4065796671094788,-0.21739130434782605,0.40223075383144297,-0.24182608695652175,GENERAL_NON_FINANCIAL,74.32809600220222,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,48.49790272609255,77.86654841382934,76.77476464907168,86.5606239708615,2026-07-17,360.0,1665594309960.0,1532532863160.0,21.089763434494902,4.662101115272669,3.5579869018211814,0.05380321154084162,3.018992434821595,14.30014300145491,7.0,7.0,0.02218804820956993,0.022122222222222217,COMPLETE,VALID,,,,,,,,,,,,,,,14.0,True,宁德时代,True,C 制造业,99.76470588235294,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,73.60936509602061,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0639166666666666,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,22.43775081401637,0.0505708888924649,0.020855062153586526,1772053546271.6,9822803975.0,True,True,True,True,1.5,75.10936509602061,QUALITY_GROWTH,False,READMISSION_REVIEW,CURRENT_MULTIDIMENSIONAL_GATE_PASS,False,False,0
9,600938,中国海油,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,31.91,101079075.0,3316243120.0,151668083.16294,SH_MAIN,,ACTIVE,VALID,A,1805174217.5,-0.040092776673293584,-0.20695318915959493,-0.018963765662038723,0.18973305954825448,-0.3212277413308341,0.3425257225739554,-0.3837863167760075,GENERAL_NON_FINANCIAL,69.02485113085906,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,97.8,4.0,1.0,0.96,0.0,True,SCORE_ACCEPTED,57.61327949805964,81.86831804825508,34.64464600263824,94.57984739507937,2026-07-17,28.97,1376942766916.48,86620300000.0,11.045320318911626,1.6448924586448008,3.37945677801048,0.06707177830405919,3.013572674916757,6.691729403592641,7.0,7.0,0.03952122885743873,0.03952122885743873,COMPLETE,VALID,,,,,,,,,,,,,,,87.0,True,中国海油,True,GENERAL_NON_FINANCIAL,98.44343891402715,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,67.67321113411651,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.1014842940973422,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,12.166246854555403,0.060892178548060005,0.03587997492948918,1516680831629.4,3316243120.0,True,True,True,True,1.5,69.17321113411651,RESOURCE_CYCLE,True,READMISSION_REVIEW,CURRENT_MULTIDIMENSIONAL_GATE_PASS,False,False,0
10,600406,国电南瑞,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,23.58,88639842.0,2114543681.0,18938881.015848,SH_MAIN,,ACTIVE,VALID,A,1452869341.65,-0.01770694997786626,-0.16860247283626828,-0.04845626072041165,0.028743625405656115,-0.2814119170984455,0.27969276707986196,-0.2979274611398963,GENERAL_NON_FINANCIAL,67.93085338694114,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,66.22843592036115,65.6488209419361,54.259216124755504,82.36052312065337,2026-07-17,22.19,178224669101.64,177701429034.78,21.421049521336922,3.331716568984676,2.6641217413662837,0.0522762811794962,,,5.0,5.0,0.02807199146515109,0.028030644434429923,COMPLETE,VALID,,,,,,,,,,,,,,,,False,国电南瑞,True,GENERAL_NON_FINANCIAL,96.97737556561086,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,67.1237500859598,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0626408292023433,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,22.762881825737924,0.04919468529995848,0.026417196378782985,189388810158.48,2114543681.0,True,True,True,True,1.5,68.6237500859598,QUALITY_GROWTH,False,READMISSION_REVIEW,CURRENT_MULTIDIMENSIONAL_GATE_PASS,False,False,0
12,600941,中国移动,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,94.69,9188498.0,871615894.0,205322920.48249,SH_MAIN,,ACTIVE,VALID,A,909495126.65,0.019094380796508492,0.02356164383561654,-0.016531536274613012,-0.12921872086518738,-0.13909116047561976,0.18329555033358066,-0.1280623608017818,GENERAL_NON_FINANCIAL,63.13914514235775,NEUTRAL_FINANCIAL_QUALITY,HIGH,97.8,4.0,1.0,0.96,0.0,True,SCORE_ACCEPTED,45.521294666917605,76.20433973245734,45.19311339883376,78.95174308717151,2026-07-17,93.4,2025257236568.2002,84318518777.8,14.912870098288737,1.4234627406352969,1.9234947469792623,0.060279256281965614,,,5.0,5.0,0.05036081370449678,0.05036081370449678,COMPLETE,VALID,,,,,,,,,,,,,,,,False,中国移动,True,GENERAL_NON_FINANCIAL,91.8552036199095,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,62.6476435491835,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0138115631691649,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,15.118840145684802,0.05945804770023855,0.049674728059985206,2053229204824.9001,871615894.0,True,True,True,True,1.5,64.1476435491835,DEFENSIVE_INFRA_YIELD,True,READMISSION_REVIEW,CURRENT_MULTIDIMENSIONAL_GATE_PASS,False,False,0
14,601088,中国神华,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,45.7,33796367.0,1538929951.0,99120714.76928,SH_MAIN,,ACTIVE,VALID,A,1795309627.25,0.09192546583850936,-0.003853127833182146,0.08411445485939817,0.22389306599832937,-0.11247980613893371,0.31804113785095306,-0.23101777059773843,GENERAL_NON_FINANCIAL,60.81902289523582,NEUTRAL_FINANCIAL_QUALITY,HIGH,100.0,4.0,1.0,1.0,0.0,True,SCORE_ACCEPTED,43.97016944061284,64.05512921164134,41.17141501960877,85.72784316433574,2026-07-17,43.95,953250637660.8,724781118122.25,18.485671799034268,1.982213918138831,3.2234033898068497,0.026714904762604203,,,5.0,5.0,0.13590298876962112,0.04573378839590444,COMPLETE,VALID,,,,,,,,,,,,,,,,False,中国神华,True,GENERAL_NON_FINANCIAL,95.49321266968326,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,60.43992521342886,0.97,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0398179749715586,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,19.22173381606066,0.02569190512727472,0.1306988261799748,991207147692.8,1538929951.0,True,True,True,True,1.5,61.93992521342886,RESOURCE_CYCLE,True,READMISSION_REVIEW,CURRENT_MULTIDIMENSIONAL_GATE_PASS,False,False,0
7,600900,长江电力,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,28.9,102175770.0,2952607877.0,70713149.19924,SH_MAIN,,ACTIVE,VALID,A,3725003543.35,0.08027788498649158,0.07282483710233811,0.08236658932714613,-0.01685985247629085,-0.028125000000000067,0.1563138904509348,-0.0727537286285922,GENERAL_NON_FINANCIAL,65.72060783143917,ABOVE_AVERAGE_FINANCIAL_QUALITY,HIGH,99.0,4.0,1.0,1.0,0.04,True,SCORE_ACCEPTED,12.960202085941667,80.69649496658575,59.32370212659192,93.74506046985476,2026-07-17,27.99,684865413870.84,684865413870.84,18.980263154653432,3.0050654467903537,7.8415336672843585,0.06324927361823134,10.172637981757335,19.922352048323166,7.0,7.0,0.054412290103608436,0.054412290103608436,COMPLETE,VALID,1.0,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY|RECOVERY_WATCH|LIQUID_BREAKOUT,1.02314366,VALID,A,100.0,INVESTMENT_CASE_READY,GRADUATED,"[""DURABLE_ASSET_BASE"", ""CASH_YIELD_SUPPORT"", ""RESEARCH_CASE_READY_NOT_TRADE_READY""]",True,SOURCE_BACKED_BASELINE_COMPLETE,initiating-coverage,97.0,True,长江电力,True,GENERAL_NON_FINANCIAL,98.26244343891403,VALUATION_SUPPORTIVE_FOR_RESEARCH,76.66666666666667,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,True,,,68.014441538964,1.0,MULTIDIMENSIONAL_ELIGIBLE,False,False,NONE,1.0325116112897463,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,19.59734209251462,0.06125768749392024,0.05269896193771627,707131491992.4,2952607877.0,True,True,True,True,0.0,68.014441538964,DEFENSIVE_INFRA_YIELD,True,READMISSION_REVIEW_PRIORITY,CURRENT_MULTIDIMENSIONAL_GATE_PASS_AND_PRIOR_RESEARCH_GRADUATED,False,False,0
1,601318,中国平安,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,54.02,85262157.0,4598516043.0,97817482.05699,SH_MAIN,,ACTIVE,VALID,A,5027038099.15,0.026731470230862753,-0.1048728813559322,-0.22263109475620968,-0.056217423678332046,-0.29495202336253645,0.29596184019891025,-0.2894538889724688,INSURANCE,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,CONTROLLED_PROFILE_EXCLUSION,,,,,2026-07-17,50.7,918057449146.5,540465299708.10004,6.913916203356579,0.9015500674121829,,,,,3.0,3.0,0.05888822646256052,0.05325443786982249,COMPLETE,VALID,,,,,,,,,,,,,,,61.0,True,中国平安,True,INSURANCE,98.91402714932127,VALUATION_SUPPORTIVE_FOR_RESEARCH,77.5,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,False,SEPARATE_FINANCIAL_PROFILE_REQUIRED,,81.35350678732499,0.08,SEPARATE_PROFILE_REVIEW_REQUIRED,False,False,NONE,1.065483234714004,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,7.366661800893933,,0.055269031500403895,978174820569.9,4598516043.0,True,True,True,True,1.5,82.85350678732499,FINANCIAL_SEPARATE_PROFILE,True,SEPARATE_PROFILE_REVIEW_REQUIRED,GENERAL_NON_FINANCIAL_SCORE_NOT_APPLICABLE,False,False,0
2,600036,招商银行,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,39.2,98296005.0,3846185674.0,98861794.75592,SH_MAIN,,ACTIVE,VALID,A,3551821254.0,0.04853833425262022,-0.02035557845916003,-0.0007884362680681267,-0.11416589002795896,-0.13334852974697964,0.17245676392595713,-0.1152368758002561,BANK,,UNAVAILABLE,UNAVAILABLE,0.0,0.0,0.0,0.0,0.0,False,CONTROLLED_PROFILE_EXCLUSION,,,,,2026-07-17,38.02,958858529750.02,784312467190.5801,6.360713843393368,0.7477325153721239,,,,,3.0,3.0,0.053024723829563386,0.053024723829563386,COMPLETE,VALID,,,,,,,,,,,,,,,75.0,True,招商银行,True,BANK,98.6606334841629,VALUATION_SUPPORTIVE_FOR_RESEARCH,77.5,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,False,SEPARATE_FINANCIAL_PROFILE_REQUIRED,,81.29015837105,0.08,SEPARATE_PROFILE_REVIEW_REQUIRED,False,False,NONE,1.0310362966859548,PRICE_LINKED_REBASE_FROM_FMDL3E_TO_20260724_CURRENT,6.558126845371384,,0.05142857142857143,988617947559.2,3846185674.0,True,True,True,True,1.5,82.79015837105,FINANCIAL_SEPARATE_PROFILE,True,SEPARATE_PROFILE_REVIEW_REQUIRED,GENERAL_NON_FINANCIAL_SCORE_NOT_APPLICABLE,False,False,0
