security_code,security_name,historical_core20,new_research_longlist,overlap,new_longlist_rank,core20_review_disposition,proposed_route,candidate_membership_mutation,trade_authority
000099,中信海直,False,True,False,31.0,,NEW_RESEARCH_LONGLIST,0,NONE
000333,美的集团,True,False,False,,WATCHLIST_RESEARCH_GAP,WATCHLIST_RESEARCH_GAP,0,NONE
000426,兴业银锡,False,True,False,35.0,,NEW_RESEARCH_LONGLIST,0,NONE
000600,建投能源,False,True,False,32.0,,NEW_RESEARCH_LONGLIST,0,NONE
000690,宝新能源,False,True,False,20.0,,NEW_RESEARCH_LONGLIST,0,NONE
000719,中原传媒,False,True,False,30.0,,NEW_RESEARCH_LONGLIST,0,NONE
000791,甘肃能源,False,True,False,15.0,,NEW_RESEARCH_LONGLIST,0,NONE
000792,盐湖股份,False,True,False,11.0,,NEW_RESEARCH_LONGLIST,0,NONE
000828,东莞控股,False,True,False,25.0,,NEW_RESEARCH_LONGLIST,0,NONE
000975,山金国际,False,True,False,21.0,,NEW_RESEARCH_LONGLIST,0,NONE
001210,金房能源,False,True,False,43.0,,NEW_RESEARCH_LONGLIST,0,NONE
001286,陕西能源,False,True,False,36.0,,NEW_RESEARCH_LONGLIST,0,NONE
001316,润贝航科,False,True,False,41.0,,NEW_RESEARCH_LONGLIST,0,NONE
002033,丽江股份,False,True,False,42.0,,NEW_RESEARCH_LONGLIST,0,NONE
002039,黔源电力,False,True,False,26.0,,NEW_RESEARCH_LONGLIST,0,NONE
002128,电投能源,False,True,False,14.0,,NEW_RESEARCH_LONGLIST,0,NONE
002170,芭田股份,False,True,False,8.0,,NEW_RESEARCH_LONGLIST,0,NONE
002371,北方华创,True,False,False,,WATCHLIST_RESEARCH_GAP,WATCHLIST_RESEARCH_GAP,0,NONE
002475,立讯精密,True,False,False,,WATCHLIST_RESEARCH_GAP,WATCHLIST_RESEARCH_GAP,0,NONE
002517,恺英网络,False,True,False,27.0,,NEW_RESEARCH_LONGLIST,0,NONE
002555,三七互娱,False,True,False,19.0,,NEW_RESEARCH_LONGLIST,0,NONE
002558,巨人网络,False,True,False,23.0,,NEW_RESEARCH_LONGLIST,0,NONE
002602,世纪华通,False,True,False,4.0,,NEW_RESEARCH_LONGLIST,0,NONE
002603,以岭药业,False,True,False,6.0,,NEW_RESEARCH_LONGLIST,0,NONE
002780,三夫户外,False,True,False,45.0,,NEW_RESEARCH_LONGLIST,0,NONE
002901,大博医疗,False,True,False,7.0,,NEW_RESEARCH_LONGLIST,0,NONE
002967,广电计量,False,True,False,17.0,,NEW_RESEARCH_LONGLIST,0,NONE
300012,华测检测,False,True,False,16.0,,NEW_RESEARCH_LONGLIST,0,NONE
300113,顺网科技,False,True,False,34.0,,NEW_RESEARCH_LONGLIST,0,NONE
300139,晓程科技,False,True,False,22.0,,NEW_RESEARCH_LONGLIST,0,NONE
300140,节能环境,False,True,False,33.0,,NEW_RESEARCH_LONGLIST,0,NONE
300143,盈康生命,False,True,False,52.0,,NEW_RESEARCH_LONGLIST,0,NONE
300308,中际旭创,False,True,False,13.0,,NEW_RESEARCH_LONGLIST,0,NONE
300492,华图山鼎,False,True,False,51.0,,NEW_RESEARCH_LONGLIST,0,NONE
