security_id,security_code,security_name,historical_core20,historical_lifecycle_state,workplan_lane,strategy_sleeve,core20_review_disposition,proposed_candidate_route,proposed_lifecycle_state,research_id,research_lifecycle_state,research_decision_grade,thesis_id,thesis_status,valuation_id,valuation_status,entry_baseline_id,entry_baseline_status,portfolio_role,benchmark,research_gap_count,ready_for_user_decision,buy_signal,real_account_permission,simulation_admission_permission,candidate_state_change_requires_human_merge,trade_authority,semantic_hash
000099.SZ,000099,中信海直,False,NONE,B_STRUCTURED_RESEARCH,DEFENSIVE_INFRA_YIELD,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-000099.SZ,TRIAGE,False,WP3-5-TH-000099.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000099.SZ,DRAFT,WP3-5-ENTRY-000099.SZ,MISSING,,,5,False,NO,False,False,True,NONE,3bf137651ad7ee1da161899d90f572f28110c3c1b8b7ede9f2e5a9dcae44bc7f
000333.SZ,000333,美的集团,True,CANDIDATE_CORE,CORE20_MANDATORY_REVIEW,QUALITY_GROWTH,WATCHLIST_RESEARCH_GAP,CANDIDATE_CORE_PROPOSED,CANDIDATE_CORE,WP3-5-RSCH-000333.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-000333.SZ,DRAFT_SOURCE_BACKED,WP3-5-VAL-000333.SZ,RESEARCH_GRADE,WP3-5-ENTRY-000333.SZ,COMPLETE,稳健制造复利,中证全指家用电器指数,1,False,NO,False,False,True,NONE,18d065a47695ab18c1ca8956f8cc195dfd21993fdcf52a066f7b00db3e5f08d0
000426.SZ,000426,兴业银锡,False,NONE,B_STRUCTURED_RESEARCH,RESOURCE_CYCLE,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-000426.SZ,TRIAGE,False,WP3-5-TH-000426.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000426.SZ,DRAFT,WP3-5-ENTRY-000426.SZ,MISSING,,,5,False,NO,False,False,True,NONE,b7999ae7bdce4e0085ed7be2808b11c88e4ee595d8992bbda11b8d6f2a8e938b
000600.SZ,000600,建投能源,False,NONE,B_STRUCTURED_RESEARCH,DEFENSIVE_INFRA_YIELD,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-000600.SZ,TRIAGE,False,WP3-5-TH-000600.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000600.SZ,DRAFT,WP3-5-ENTRY-000600.SZ,MISSING,,,5,False,NO,False,False,True,NONE,f98beeba9ed414e517bbb686b51ee41942aace798cbcfafb768855b650205c90
000690.SZ,000690,宝新能源,False,NONE,A_DEEP_DIVE,DEFENSIVE_INFRA_YIELD,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-000690.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-000690.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000690.SZ,DRAFT,WP3-5-ENTRY-000690.SZ,MISSING,,,5,False,NO,False,False,True,NONE,68f934cf56c3b26bdf60cf2cb0968bafeb339b38eb9f4db1370865a5271f0746
000719.SZ,000719,中原传媒,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-000719.SZ,TRIAGE,False,WP3-5-TH-000719.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000719.SZ,DRAFT,WP3-5-ENTRY-000719.SZ,MISSING,,,5,False,NO,False,False,True,NONE,68c28358038c5bbaa0a7655dd90e1ff8210558fef4c6c34fa59f21d40f69874d
000791.SZ,000791,甘肃能源,False,NONE,A_DEEP_DIVE,DEFENSIVE_INFRA_YIELD,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-000791.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-000791.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000791.SZ,DRAFT,WP3-5-ENTRY-000791.SZ,MISSING,,,5,False,NO,False,False,True,NONE,d80943c4266b0815806acb84f088117ca5ca6fdf1170fe054c32193b1d39d7b8
000792.SZ,000792,盐湖股份,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-000792.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-000792.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000792.SZ,DRAFT,WP3-5-ENTRY-000792.SZ,MISSING,,,5,False,NO,False,False,True,NONE,415dcbf1388fbce17ba756709e92c78306145e01c589f3ed4ff236c47a2516b6
000828.SZ,000828,东莞控股,False,NONE,B_STRUCTURED_RESEARCH,DEFENSIVE_INFRA_YIELD,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-000828.SZ,TRIAGE,False,WP3-5-TH-000828.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000828.SZ,DRAFT,WP3-5-ENTRY-000828.SZ,MISSING,,,5,False,NO,False,False,True,NONE,ccda562202f593ad42c4b3e783c6a7df653eee1e71b0d724fc70b39d7850ccca
000975.SZ,000975,山金国际,False,NONE,B_STRUCTURED_RESEARCH,RESOURCE_CYCLE,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-000975.SZ,TRIAGE,False,WP3-5-TH-000975.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-000975.SZ,DRAFT,WP3-5-ENTRY-000975.SZ,MISSING,,,5,False,NO,False,False,True,NONE,6205dc830c4a3add927b812e69cdf52a908cf68af4e87e120eaadef364f68310
001210.SZ,001210,金房能源,False,NONE,C_WATCH_AND_EVIDENCE_FILL,DEFENSIVE_INFRA_YIELD,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-001210.SZ,IDEA,False,WP3-5-TH-001210.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-001210.SZ,DRAFT,WP3-5-ENTRY-001210.SZ,MISSING,,,5,False,NO,False,False,True,NONE,7b4ac39ec281acc39019bed0e27914312a62c76983e1c195f84fe8e4b7497079
001286.SZ,001286,陕西能源,False,NONE,B_STRUCTURED_RESEARCH,DEFENSIVE_INFRA_YIELD,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-001286.SZ,TRIAGE,False,WP3-5-TH-001286.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-001286.SZ,DRAFT,WP3-5-ENTRY-001286.SZ,MISSING,,,5,False,NO,False,False,True,NONE,1447f3fb8fbd2575ad3751aa3079cd4f51e9bdd84cccaef7836f9872b149f13b
001316.SZ,001316,润贝航科,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-001316.SZ,IDEA,False,WP3-5-TH-001316.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-001316.SZ,DRAFT,WP3-5-ENTRY-001316.SZ,MISSING,,,5,False,NO,False,False,True,NONE,4287ca50c512b18dce1595d3144a207ec466902111199792f966035a81696d2d
