security_id,security_code,security_name,historical_state,core20_review_disposition,proposed_route,proposed_state,automatic_removal,automatic_readmission,user_merge_required,trade_authority
000333.SZ,000333,美的集团,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
002371.SZ,002371,北方华创,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
002475.SZ,002475,立讯精密,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
300750.SZ,300750,宁德时代,CANDIDATE_CORE,READMISSION_REVIEW,SHADOW_READMISSION_REVIEW,NONE,False,False,True,NONE
300760.SZ,300760,迈瑞医疗,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
600036.SH,600036,招商银行,CANDIDATE_CORE,SEPARATE_PROFILE_REVIEW_REQUIRED,SHADOW_SEPARATE_PROFILE_REVIEW,NONE,False,False,True,NONE
600276.SH,600276,恒瑞医药,CANDIDATE_CORE,READMISSION_REVIEW,SHADOW_READMISSION_REVIEW,NONE,False,False,True,NONE
600309.SH,600309,万华化学,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
600406.SH,600406,国电南瑞,CANDIDATE_CORE,READMISSION_REVIEW,SHADOW_READMISSION_REVIEW,NONE,False,False,True,NONE
600519.SH,600519,贵州茅台,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
600660.SH,600660,福耀玻璃,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
600690.SH,600690,海尔智家,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
600900.SH,600900,长江电力,CANDIDATE_CORE,READMISSION_REVIEW_PRIORITY,CANDIDATE_CORE_PROPOSED,CANDIDATE_CORE,False,False,True,NONE
600938.SH,600938,中国海油,CANDIDATE_CORE,READMISSION_REVIEW,SHADOW_READMISSION_REVIEW,NONE,False,False,True,NONE
600941.SH,600941,中国移动,CANDIDATE_CORE,READMISSION_REVIEW,SHADOW_READMISSION_REVIEW,NONE,False,False,True,NONE
601088.SH,601088,中国神华,CANDIDATE_CORE,READMISSION_REVIEW,SHADOW_READMISSION_REVIEW,NONE,False,False,True,NONE
601138.SH,601138,工业富联,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
601318.SH,601318,中国平安,CANDIDATE_CORE,SEPARATE_PROFILE_REVIEW_REQUIRED,SHADOW_SEPARATE_PROFILE_REVIEW,NONE,False,False,True,NONE
601899.SH,601899,紫金矿业,CANDIDATE_CORE,WATCHLIST_RESEARCH_GAP,SHADOW_RESEARCH_GAP,NONE,False,False,True,NONE
601985.SH,601985,中国核电,CANDIDATE_CORE,THESIS_REBUILD_REQUIRED_BEFORE_CANDIDATE_DECISION,SHADOW_THESIS_REBUILD,NONE,False,False,True,NONE
