candidate_promotion_authorized,cross_profile_ranking_allowed,financial_screening_score,growth_score,pb,profile_percentile,profitability_score,research_grade_profile_status,score_status,sector_profile,security_id,security_name,trade_authority,valuation_score_within_profile
False,False,,,0.464,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,000001.SZ,平安银行,NONE,64.28571428571428
False,False,,,0.393,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,001227.SZ,兰州银行,NONE,83.33333333333334
False,False,,,0.909,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,002142.SZ,宁波银行,NONE,0.0
False,False,,,0.532,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,002807.SZ,江阴银行,NONE,52.38095238095239
False,False,,,0.554,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,002839.SZ,张家港行,NONE,45.238095238095234
False,False,,,0.346,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,002936.SZ,郑州银行,NONE,92.85714285714286
False,False,,,0.781,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,002948.SZ,青岛银行,NONE,14.285714285714292
False,False,,,0.43,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,002958.SZ,青农商行,NONE,76.19047619047619
False,False,,,0.692,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,002966.SZ,苏州银行,NONE,30.95238095238095
False,False,,,0.399,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600000.SH,浦发银行,NONE,80.95238095238095
False,False,,,0.347,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600015.SH,华夏银行,NONE,90.47619047619048
False,False,,,0.266,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600016.SH,民生银行,NONE,97.61904761904762
False,False,,,0.873,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600036.SH,招商银行,NONE,2.3809523809523796
False,False,,,0.51,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600908.SH,无锡银行,NONE,57.142857142857146
False,False,,,0.803,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600919.SH,江苏银行,NONE,11.904761904761912
False,False,,,0.815,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600926.SH,杭州银行,NONE,9.523809523809518
False,False,,,0.437,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,600928.SH,西安银行,NONE,72.61904761904762
False,False,,,0.74,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601009.SH,南京银行,NONE,21.42857142857143
False,False,,,0.552,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601077.SH,渝农商行,NONE,47.61904761904761
False,False,,,0.631,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601128.SH,常熟银行,NONE,35.71428571428571
False,False,,,0.466,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601166.SH,兴业银行,NONE,61.904761904761905
False,False,,,0.378,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601169.SH,北京银行,NONE,85.71428571428572
False,False,,,0.715,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601187.SH,厦门银行,NONE,23.80952380952381
False,False,,,0.513,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601229.SH,上海银行,NONE,54.76190476190476
False,False,,,0.825,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601288.SH,农业银行,NONE,7.142857142857139
False,False,,,0.534,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601328.SH,交通银行,NONE,50.0
False,False,,,0.701,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601398.SH,工商银行,NONE,28.57142857142857
False,False,,,0.462,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601528.SH,瑞丰银行,NONE,66.66666666666667
False,False,,,0.502,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601577.SH,长沙银行,NONE,59.523809523809526
False,False,,,0.595,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601658.SH,邮储银行,NONE,40.476190476190474
False,False,,,0.755,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601665.SH,齐鲁银行,NONE,19.04761904761905
False,False,,,0.369,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601818.SH,光大银行,NONE,88.0952380952381
False,False,,,0.599,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601825.SH,沪农商行,NONE,38.095238095238095
False,False,,,0.85,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601838.SH,成都银行,NONE,4.761904761904773
False,False,,,0.458,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601860.SH,紫金银行,NONE,69.04761904761905
False,False,,,0.429,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601916.SH,浙商银行,NONE,78.57142857142857
False,False,,,0.757,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601939.SH,建设银行,NONE,16.666666666666657
False,False,,,0.666,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601963.SH,重庆银行,NONE,33.33333333333334
False,False,,,0.708,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601988.SH,中国银行,NONE,26.19047619047619
False,False,,,0.307,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601997.SH,贵阳银行,NONE,95.23809523809524
False,False,,,0.57,,,BLOCKED_SPECIALIZED_FINANCIAL_METRICS_INCOMPLETE,INSUFFICIENT_SCREENING_INPUTS,BANK,601998.SH,中信银行,NONE,42.85714285714286
