as_of_date,symbol,source_symbol,name,name_raw,exchange,board,currency,security_type,list_date,delist_date,listing_status,is_st,is_suspended,industry_code,industry_name,industry_source,lot_size,source_primary,source_timestamp,record_quality,row_hash
2026-07-16,000001.SZ,000001,平安银行,平安银行,SZ,SZ_MAIN,CNY,COMMON_STOCK,1991-04-03,,ACTIVE,False,False,,J 金融业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,a9f31fa099793b9fb0fe90583711504f30eae50b5bf8e9ec92a5bcd4d80ec853
2026-07-16,000002.SZ,000002,万 科Ａ,万 科Ａ,SZ,SZ_MAIN,CNY,COMMON_STOCK,1991-01-29,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,bd02efadb9106c4ffd6ba662e2a199187874e3cb3447ac45d20cd0e9f6ad71c5
2026-07-16,000006.SZ,000006,深振业Ａ,深振业Ａ,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-04-27,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,5187eb7959b27428740c48bb7470138fff0be7f0c7da6b74d21ecd641a87dc93
2026-07-16,000007.SZ,000007,全新好,全新好,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-04-13,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,121e0fcbb29489dedca597b5c84b9e0bd27a5ca02cc5c421481fde42f6e7a484
2026-07-16,000008.SZ,000008,神州高铁,神州高铁,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-05-07,,ACTIVE,False,False,,C 制造业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,ca1a00f2916c6d7df07de5af08447e81c7aac7221fa2a277eb67d36e36cf049b
2026-07-16,000009.SZ,000009,中国宝安,中国宝安,SZ,SZ_MAIN,CNY,COMMON_STOCK,1991-06-25,,ACTIVE,False,False,,J 金融业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,d4da7fe53d06739c7ee99bf57198a56144bccb752b16f4f4088e19bb72d6e5e9
2026-07-16,000010.SZ,000010,*ST美丽,*ST美丽,SZ,SZ_MAIN,CNY,COMMON_STOCK,1995-10-27,,ACTIVE,True,False,,E 建筑业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,c9516865a4302d68bd879db7f03180942bfed51d169ecb1b65b6a8bc80793267
2026-07-16,000011.SZ,000011,深物业A,深物业A,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-03-30,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,0cd5d147c7379b442689576c38235daaef0bbc28413e442d7b0fed7a2229b24f
2026-07-16,000012.SZ,000012,南 玻Ａ,南 玻Ａ,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-02-28,,ACTIVE,False,False,,C 制造业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,7d10e220b4b1f79fd41db74cf3ad652fab779d45f9d784a2b43079971102f168
2026-07-16,000014.SZ,000014,沙河股份,沙河股份,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-06-02,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,00827269cb966208e05e5d9e9e071dc9f74abf5057928779e379a00dd273f025
