as_of_date,symbol,open,high,low,close,prev_close,pct_change,amplitude_pct,volume_shares,turnover_cny,turnover_rate_pct,market_cap_cny,float_market_cap_cny,pe_ttm,pb,data_status,source_primary,source_timestamp,record_quality,row_hash
2026-07-16,000001.SZ,10.85,10.93,10.72,10.77,10.84,-0.646,,80076623.0,864435895.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,86f97213870134290839175f03eb56ad9792f3df1d8db5ad315604f00760726e
2026-07-16,000002.SZ,3.11,3.24,3.09,3.23,3.13,3.195,,203325863.0,645350063.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,9512a9d6fabad70ee78e47009e59356f615fcd7004e85051a397131723a6d2b0
2026-07-16,000006.SZ,6.42,6.69,6.37,6.56,6.48,1.235,,19230570.0,126262204.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,b5485df5689ca5c99123c44f7d19be9a8eeb6093223324cfbdd69134f20ab74f
2026-07-16,000007.SZ,10.11,10.38,9.99,10.1,10.21,-1.077,,5568580.0,56566952.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,ea2fb163f5ec4e7e982a3c266bbaa9d59adab16b0c7969bcfd0273b6a1acc746
2026-07-16,000008.SZ,2.49,2.49,2.35,2.35,2.53,-7.115,,78353507.0,187581053.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,f95cd7957c4996b4a26ce51e6b9cf130b0fcd3a5e42ef5b8425bf8f710bf307e
2026-07-16,000009.SZ,6.11,6.25,6.07,6.21,6.13,1.305,,22199922.0,137198658.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,6d4a7dfe8cbad14cfc18e5eda642aafba51a0177a5c74feac6b18a374d10836b
2026-07-16,000010.SZ,1.69,1.83,1.68,1.81,1.71,5.848,,24968870.0,44221913.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,6576aeff78c124e501e797945b25a26ec13e869dd0564728b9381cf38b2939ce
2026-07-16,000011.SZ,6.48,6.83,6.37,6.68,6.44,3.727,,7657973.0,51020968.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,2eccf6cebf34e12f91273cd208a0f36d11f5a87726c8d9d365a44d9e5784f43d
2026-07-16,000012.SZ,3.83,3.88,3.81,3.85,3.88,-0.773,,26427872.0,101504492.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,b8cdbd4b8524de9794d84e4fca4073ed9b2fade92298dfe45d8bec2e6790db9f
2026-07-16,000014.SZ,9.15,10.0,9.12,10.0,9.09,10.011,,15051260.0,146091445.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-07-16T16:51:41+08:00,VALID,f697e6fd885fe6fe7c25ae574fe01021277097c48fa9e5a97e1c0058ba030446
