symbol,board,attempt_count,elapsed_seconds,provider_row_count,normalized_ledger_row_count,invalid_source_row_count,future_share_row_count,capitalization_state,source_error_type,source_error_message,retrieved_at,authority,trade_authority
000001.SZ,SZ_MAIN,1,0.486582,63,63,0,0,VALID,,,2026-08-31T19:21:06+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000002.SZ,SZ_MAIN,1,0.604937,162,162,0,0,VALID,,,2026-08-31T19:18:01+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000006.SZ,SZ_MAIN,1,0.822531,56,56,0,0,VALID,,,2026-08-31T19:22:06+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000007.SZ,SZ_MAIN,1,0.712463,22,22,0,0,VALID,,,2026-08-31T19:22:08+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000008.SZ,SZ_MAIN,1,0.644342,74,74,0,0,VALID,,,2026-08-31T19:17:56+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000009.SZ,SZ_MAIN,1,0.746561,59,59,0,0,VALID,,,2026-08-31T19:17:56+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000010.SZ,SZ_MAIN,1,0.430388,43,43,0,0,VALID,,,2026-08-31T19:17:54+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000011.SZ,SZ_MAIN,1,0.400747,29,29,0,0,VALID,,,2026-08-31T19:21:33+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000012.SZ,SZ_MAIN,1,0.46316,83,83,0,0,VALID,,,2026-08-31T19:17:54+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000014.SZ,SZ_MAIN,1,0.933319,22,22,0,0,VALID,,,2026-08-31T19:21:08+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000016.SZ,SZ_MAIN,1,0.27286,30,30,0,0,VALID,,,2026-08-31T19:17:56+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
