symbol,board,attempt_count,elapsed_seconds,provider_row_count,normalized_ledger_row_count,invalid_source_row_count,future_share_row_count,capitalization_state,source_error_type,source_error_message,retrieved_at,authority,trade_authority
000001.SZ,SZ_MAIN,1,0.785132,20,20,0,0,VALID,,,2026-07-19T20:01:16+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000002.SZ,SZ_MAIN,1,0.728225,20,20,0,0,VALID,,,2026-07-19T19:58:31+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000006.SZ,SZ_MAIN,1,0.702616,20,20,0,0,VALID,,,2026-07-19T20:01:52+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000007.SZ,SZ_MAIN,1,0.372595,20,20,0,0,VALID,,,2026-07-19T20:01:54+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000008.SZ,SZ_MAIN,1,0.474051,20,20,0,0,VALID,,,2026-07-19T19:58:39+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000009.SZ,SZ_MAIN,1,0.563047,20,20,0,0,VALID,,,2026-07-19T19:58:34+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000010.SZ,SZ_MAIN,1,0.979506,20,20,0,0,VALID,,,2026-07-19T19:58:34+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000011.SZ,SZ_MAIN,1,0.53748,20,20,0,0,VALID,,,2026-07-19T20:01:30+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000012.SZ,SZ_MAIN,1,0.453498,20,20,0,0,VALID,,,2026-07-19T19:58:35+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000014.SZ,SZ_MAIN,1,0.622709,20,20,0,0,VALID,,,2026-07-19T20:01:21+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000016.SZ,SZ_MAIN,1,0.355854,20,20,0,0,VALID,,,2026-07-19T19:58:36+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000017.SZ,SZ_MAIN,1,0.736798,20,20,0,0,VALID,,,2026-07-19T20:01:17+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000019.SZ,SZ_MAIN,1,0.473514,20,20,0,0,VALID,,,2026-07-19T20:01:33+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000020.SZ,SZ_MAIN,1,1.000097,10,10,0,0,VALID,,,2026-07-19T19:58:38+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000021.SZ,SZ_MAIN,1,0.326695,20,20,0,0,VALID,,,2026-07-19T19:58:37+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000025.SZ,SZ_MAIN,1,0.482275,11,11,0,0,VALID,,,2026-07-19T20:01:38+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000026.SZ,SZ_MAIN,1,0.304952,20,20,0,0,VALID,,,2026-07-19T19:58:40+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000027.SZ,SZ_MAIN,1,0.628088,20,20,0,0,VALID,,,2026-07-19T19:58:40+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000028.SZ,SZ_MAIN,1,0.667529,20,20,0,0,VALID,,,2026-07-19T19:58:40+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000029.SZ,SZ_MAIN,1,0.401507,11,11,0,0,VALID,,,2026-07-19T20:01:54+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000030.SZ,SZ_MAIN,1,0.78253,20,20,0,0,VALID,,,2026-07-19T19:58:35+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000031.SZ,SZ_MAIN,1,0.339584,20,20,0,0,VALID,,,2026-07-19T19:58:36+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000032.SZ,SZ_MAIN,1,0.772142,20,20,0,0,VALID,,,2026-07-19T20:01:23+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000034.SZ,SZ_MAIN,1,0.393537,20,20,0,0,VALID,,,2026-07-19T20:01:18+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000035.SZ,SZ_MAIN,1,0.538039,20,20,0,0,VALID,,,2026-07-19T20:01:51+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000036.SZ,SZ_MAIN,1,0.65617,20,20,0,0,VALID,,,2026-07-19T20:01:31+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000037.SZ,SZ_MAIN,1,1.063619,20,20,0,0,VALID,,,2026-07-19T20:01:24+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000039.SZ,SZ_MAIN,1,0.572327,20,20,0,0,VALID,,,2026-07-19T19:58:36+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000042.SZ,SZ_MAIN,1,0.710234,20,20,0,0,VALID,,,2026-07-19T20:01:18+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000045.SZ,SZ_MAIN,1,0.390807,20,20,0,0,VALID,,,2026-07-19T19:58:33+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000048.SZ,SZ_MAIN,1,0.699301,20,20,0,0,VALID,,,2026-07-19T19:58:37+08:00,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
