as_of_date,symbol,source_symbol,name,name_raw,exchange,board,currency,security_type,list_date,delist_date,listing_status,is_st,is_suspended,industry_code,industry_name,industry_source,lot_size,source_primary,source_timestamp,record_quality,row_hash
2026-07-17,000001.SZ,000001,平安银行,平安银行,SZ,SZ_MAIN,CNY,COMMON_STOCK,1991-04-03,,ACTIVE,False,False,,J 金融业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,c3f79979624e8818398405b0cf121313da6712904a7beeb5a2d80ba7a859571c
2026-07-17,000002.SZ,000002,万 科Ａ,万 科Ａ,SZ,SZ_MAIN,CNY,COMMON_STOCK,1991-01-29,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,79b3d2b42f5c1511f9494ec93258de12611ed35dc79f4c0c9c3e31fda173deb8
2026-07-17,000006.SZ,000006,深振业Ａ,深振业Ａ,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-04-27,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,f0a1b015ea3b3dcf09d0723209e8e6304c48d4fd225535b88c1e1395479a52cd
2026-07-17,000007.SZ,000007,全新好,全新好,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-04-13,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,7a73b83abaa9e6e2ec921d1672db680e1ca1dce193fd1c7bd9d0e8fc00b237c6
2026-07-17,000008.SZ,000008,神州高铁,神州高铁,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-05-07,,ACTIVE,False,False,,C 制造业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,a47aeac147f94709640d192c5d62f9c2668bac485559eb4b433c651569320dd5
2026-07-17,000009.SZ,000009,中国宝安,中国宝安,SZ,SZ_MAIN,CNY,COMMON_STOCK,1991-06-25,,ACTIVE,False,False,,J 金融业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,4870cf5286f003a23f3c1181db42126987c276573ceeb19392e7759a1e90599f
2026-07-17,000010.SZ,000010,*ST美丽,*ST美丽,SZ,SZ_MAIN,CNY,COMMON_STOCK,1995-10-27,,ACTIVE,True,False,,E 建筑业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,f50044f71f97c7ecbcf3ddf2d36828099b59c435d365960d59ee8a7367a9654b
2026-07-17,000011.SZ,000011,深物业A,深物业A,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-03-30,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,282baadff58f0e5875ea99496ea21dff4900a77de956105b74624ee2905fb61c
2026-07-17,000012.SZ,000012,南 玻Ａ,南 玻Ａ,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-02-28,,ACTIVE,False,False,,C 制造业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,75c51a25558d7011f96109e7e0b1b25f73b34c3e311e4aa4eea3aaf62ca30ab7
2026-07-17,000014.SZ,000014,沙河股份,沙河股份,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-06-02,,ACTIVE,False,False,,K 房地产,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,12542d0babeaef5555709268e03c25c13b9e5ed31ab8f1dc7cb06ab320f11eed
2026-07-17,000016.SZ,000016,*ST康佳A,*ST康佳A,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-03-27,,ACTIVE,True,False,,C 制造业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,0ec785a3da779fa9da2c45c8f5b995cc225aaf1de32cfe947c2415e18834e596
2026-07-17,000017.SZ,000017,深中华A,深中华A,SZ,SZ_MAIN,CNY,COMMON_STOCK,1992-03-31,,ACTIVE,False,False,,C 制造业,stock_info_sz_name_code:A股列表,100,akshare.stock_zh_a_spot,2026-07-17T17:40:15+08:00,VALID,ad7b3a2d01a2298727f07f4222bc1b62e4a1462639074b00e18e99df87ff06e0
