as_of_date,symbol,open,high,low,close,prev_close,pct_change,amplitude_pct,volume_shares,turnover_cny,turnover_rate_pct,market_cap_cny,float_market_cap_cny,pe_ttm,pb,data_status,source_primary,source_timestamp,record_quality,row_hash
2026-09-09,000001.SZ,11.76,11.79,11.69,11.7,11.78,-0.679,,58230598.0,682946783.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,08c9c2168ebfcaa0de886ad02ab549c5eb70a52f11cb098bf459cde60c102c2b
2026-09-09,000002.SZ,3.26,3.27,3.19,3.19,3.27,-2.446,,112849758.0,362665927.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,33b9d39ab1235a80c57f391ed078490259a9b97ea880f578b667cc6f714a5750
2026-09-09,000006.SZ,7.31,7.32,7.16,7.19,7.36,-2.31,,16120031.0,116217137.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,622b3e5535a3a8b8fa4ed6744a5ec20e907438f44588c509c844344deb6812ff
2026-09-09,000007.SZ,11.56,11.86,11.56,11.77,11.68,0.771,,7754600.0,90748372.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,45c44c6dac2c1725541ded8c97e56040c178bbd31539c6f0dc68decd9a8c1b6b
2026-09-09,000008.SZ,2.54,2.54,2.49,2.5,2.54,-1.575,,25787997.0,64696110.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,a1993a0cbfc2a72aa0bba432d582cc9dfdfe60ca5a1eb0d8dcee0c4f75945f01
2026-09-09,000009.SZ,7.15,7.17,7.06,7.11,7.13,-0.281,,9860698.0,70121840.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,05ca3557a33e8a0970d8623bb6588a32186c355b1a064e530d80a4013e73a4ee
2026-09-09,000010.SZ,1.8,1.81,1.68,1.69,1.78,-5.056,,30704300.0,52856539.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,2714dbc15a33d28405f658356dd89a8f0d1678b18cadee9ae1ade48a6d11c40e
2026-09-09,000011.SZ,9.44,9.6,9.11,9.18,9.49,-3.267,,31453898.0,290745286.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,feff122a78c606be237d761a21545f13a893b6b64d8bed87409eadd437e1b9cb
2026-09-09,000012.SZ,3.81,3.82,3.76,3.77,3.8,-0.789,,13004119.0,49106630.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,b8f502dc32bb5fe4d7a52242c8c632f9a1b13d5c150c9abd105f321ef5187f30
2026-09-09,000014.SZ,10.87,11.1,10.86,10.86,11.05,-1.719,,7859985.0,85968704.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,a8dcd103872cfbba8fa70d9e55949348b076ea41e3353f68139cc1dec276b923
2026-09-09,000016.SZ,,,,,2.46,,,0.0,0.0,,,,,,SUSPENDED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,PARTIAL,f0b37dc0a5261cc047f43e624226421791bcc46f624fc9d2a3d7985da23849bb
2026-09-09,000017.SZ,9.18,9.54,9.02,9.26,9.4,-1.489,,78455627.0,725510042.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,ae455a8c96f919df8471a87d4d1d9d08fc4308d691f95d7bf538abfbe5a950d9
2026-09-09,000019.SZ,7.5,8.46,7.48,8.46,7.69,10.013,,70782949.0,581275011.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,8a84a79bde2539f8b7e29265a9df26b6ed96838e1de7590dfb4575af27565f73
2026-09-09,000020.SZ,14.37,15.07,14.32,14.9,13.7,8.759,,11881700.0,176812509.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,7a960f71acf4f3f117abe3494f90779ae197fcebb0cedb3a3d15ab8a53887023
2026-09-09,000021.SZ,35.28,35.63,34.76,34.99,34.99,0.0,,44394104.0,1561825501.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,59e2189c479f6f3b150d1dc8562251a7458a88f15fb5119eba197a8101a3eeff
2026-09-09,000025.SZ,15.63,15.78,15.39,15.63,15.59,0.257,,6491645.0,101306560.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,9f0b5f71d42e29f6414780c6dd802ac707fc27f7795475f669f831b697bb7f75
2026-09-09,000026.SZ,19.9,19.98,19.32,19.38,19.77,-1.973,,7764281.0,152163001.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,f231059aba68a11ff382f6de7dba20f17cec09f640139f8e6dd448ce579f8682
2026-09-09,000027.SZ,6.36,6.42,6.33,6.41,6.36,0.786,,22336547.0,142663775.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,2d29bbad29e20af8fe425d512032f466753071dc9a728f6ead3f4f608ddb1d2c
2026-09-09,000028.SZ,20.33,20.42,20.24,20.3,20.36,-0.295,,1895343.0,38506103.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,fded8c7eceae629a246006cdbc0926fc2e34beb27e750b8446c0d0cc6cec9ebf
2026-09-09,000029.SZ,22.92,23.05,22.55,22.8,23.0,-0.87,,5056404.0,115027454.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,cbe4ee7337f64dfc9325ad896fa77cec56e0ac9c1f5364b4ec9b567cf40f9ac7
2026-09-09,000030.SZ,4.09,4.1,4.05,4.07,4.08,-0.245,,9042400.0,36828906.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,9e5b13399d0dbf319a0e9f9eb150124e1a99827d806270efdade655648d54a34
2026-09-09,000031.SZ,2.36,2.37,2.26,2.28,2.37,-3.797,,52796680.0,121231971.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,2e6d371d1322bfacc9f8ba665e781d4fd0427d8c5c2e3578a0e88479076572b6
2026-09-09,000032.SZ,14.12,14.36,13.92,14.01,14.12,-0.779,,21301562.0,301112704.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,cf38c2ac459372fcf5cd11bcf2fc9c968e6507e02a4e06661e03f77d78b4f0b0
2026-09-09,000034.SZ,23.49,23.55,23.08,23.17,23.45,-1.194,,13509758.0,314247168.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,aefa8447ff2f0359384e11f38c715271b88fcd5546799d9708dd5fe8ffc1e8f4
2026-09-09,000035.SZ,5.04,5.07,4.99,5.05,5.03,0.398,,31124600.0,156625853.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,d641e4899c6fc05df5cb8faab15792ffb13d8bf68ccd62351ae380d7a2ccade9
2026-09-09,000036.SZ,3.97,3.98,3.92,3.97,3.97,0.0,,16978130.0,67116371.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,6ba13f19964cb6fba087bfda794ac2182ae337ef13f05dab3ab8e7d1bcdaee32
2026-09-09,000037.SZ,9.36,9.49,9.29,9.47,9.42,0.531,,10006702.0,94215651.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,cb9d9fa5b4f0a2bdb574b4f654745c94fa3e98ab90ea614c7ea2c8da6ada5edc
2026-09-09,000039.SZ,9.34,9.66,9.32,9.6,9.39,2.236,,31129660.0,296956517.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,878d71e3b79d68c2428a380bf56e13de5a80a08a5744a954d3bb53898d13fd8a
2026-09-09,000042.SZ,8.63,8.69,8.49,8.54,8.68,-1.613,,3853600.0,33044441.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,e91b1db3ed27318a8e5da1b47e07b3dcc9b24f13ca7f23d1be2fdc6a429018bc
2026-09-09,000045.SZ,10.92,11.01,10.88,10.99,11.01,-0.182,,2797800.0,30670212.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,4ae97b445982047bbf9f05097bc31b9ac0e5d99c25be6f7f2e2e70f63ea48928
2026-09-09,000048.SZ,21.72,21.91,19.65,21.09,21.7,-2.811,,25662750.0,529027333.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,0c7f98dff64512faf2f9cc68322f1a343462201361260bcb31fbf5e22a466b8f
2026-09-09,000049.SZ,22.86,22.93,22.6,22.79,22.92,-0.567,,4632516.0,105532425.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,2204568a6ce4180f0d77cd1961ce596703160486e4efd0ce6535972f6af6716e
2026-09-09,000050.SZ,6.6,6.62,6.48,6.51,6.6,-1.364,,16821700.0,110086539.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,3f18f5eec1dcc47c32ca4da53e4daf1cb4cb6754643c264852ccf9e6538b9699
2026-09-09,000055.SZ,3.63,3.64,3.59,3.61,3.65,-1.096,,8207600.0,29608322.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,4e2964542d7f48d52dd3ec86ee8a1f492444fa874e952a903b8144b76bd3051e
2026-09-09,000056.SZ,2.34,2.4,2.28,2.4,2.35,2.128,,21450631.0,50567767.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,ed7dec29c56b229ee7a5548aa7c97a763da66b2b62e19618aa2571493bc5de3d
2026-09-09,000058.SZ,7.25,7.31,7.18,7.27,7.3,-0.411,,7622700.0,55245260.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,1c84bb86c52ba62de61c841c37e081162a37a6f698c86ea226a394b52d60fd75
2026-09-09,000059.SZ,6.15,6.15,5.87,5.96,6.15,-3.089,,80940797.0,481332650.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,f27b20dec7bebc08404c7e15a2330cf30f7763c2246d47e514b1002e9035a5af
2026-09-09,000060.SZ,6.58,6.71,6.56,6.68,6.59,1.366,,113855928.0,756072806.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,28db5bcf9658f90d4fe0e7f745999b266d0708de04f05b48dfaf5949c3625afe
2026-09-09,000061.SZ,6.67,6.95,6.61,6.8,6.7,1.493,,52430363.0,356022003.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,ba59eef407a8385333ddfaa6b59800508d8621dd2daf891d4f9cf8ffbd9bb873
2026-09-09,000062.SZ,23.66,23.76,23.2,23.42,23.66,-1.014,,18608513.0,436643533.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,89bb79fc705ae720fb4e7d5c7619be598991c28b37629bbb2b6e750bacc52919
2026-09-09,000063.SZ,33.27,33.43,33.0,33.09,33.21,-0.361,,43898420.0,1455938863.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,537ea4df24a8040bd0c90c0f32ac4d17b6f3a5b41e0586ab20e2d7e17eef693c
2026-09-09,000065.SZ,9.86,9.9,9.76,9.81,9.89,-0.809,,11433527.0,112347444.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,2d3c00da19b41b0e59b3798d2daba641cfcf3b8a5379b3b14bdb23a32f2580b6
2026-09-09,000066.SZ,14.99,15.08,14.5,14.55,14.59,-0.274,,75570818.0,1110994495.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,93217c173c7b01157cebefd15768114e0082aa9f364b8859381e9a36f8db4b58
2026-09-09,000068.SZ,3.36,3.36,3.28,3.31,3.35,-1.194,,9580700.0,31713794.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,d3ff4693fd4bb7efb43630d4ba3949c82afeeda7a3863c3d9cf2868b7a78a5f9
2026-09-09,000069.SZ,1.87,1.87,1.83,1.85,1.87,-1.07,,41064400.0,75775558.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,df6a03234e2d3b708f87ae610ff1c6038b84209f2af8ef1cbdcbd828b9af574c
2026-09-09,000070.SZ,16.79,17.12,16.5,16.69,16.5,1.152,,87336023.0,1466908392.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,e5bfc6117a3ed597adbe6f4f4447754bc549b4c8ac2c29ec0924744819e10368
2026-09-09,000078.SZ,1.61,1.62,1.54,1.55,1.6,-3.125,,89819376.0,140624155.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,3550d48ef64129c5e55708711b87905fe2779a7515dc627ba49bb2cb13363ce1
2026-09-09,000088.SZ,4.6,4.73,4.58,4.64,4.6,0.87,,71674348.0,335311368.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,c308283f1a08eef2de63b2bd449d0e8bdedd0982035929910936d6812b36fc8a
2026-09-09,000089.SZ,6.65,6.69,6.58,6.65,6.65,0.0,,12561800.0,83509599.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,dd585417527669026c5a8ca5b88c2a0ab9d4e02b5b0ea47b8390816d1666af36
2026-09-09,000090.SZ,3.67,3.67,3.55,3.57,3.67,-2.725,,18875500.0,67716290.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,22f0ebc09bfb3f36fe13e3bba48a64769a55cd039c9cf8201b503c6eafc56698
2026-09-09,000096.SZ,8.45,8.48,8.34,8.42,8.45,-0.355,,4958105.0,41660588.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,d35903dea8c1b0d9ddd880cb97bfb59a145f6015ca813bda58dcc3238d81ec85
2026-09-09,000099.SZ,13.83,13.93,13.66,13.81,13.83,-0.145,,5850497.0,80726803.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,b0f1f054545e417bbfc38bdee379dec8fdec3f075e45d95a6901e73e14d78fb2
2026-09-09,000100.SZ,4.76,4.77,4.72,4.74,4.76,-0.42,,282838718.0,1341894815.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,9874b2190541d1ff4ca0634a2231116eb29d17298e9b66c41249b6ca82eac3bb
2026-09-09,000151.SZ,10.45,10.49,10.33,10.42,10.48,-0.573,,3596400.0,37383630.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,84cbfa1b4f10852bfad558255db5c37889e2b4a830507389cba9df84298c7615
2026-09-09,000153.SZ,6.44,6.47,6.36,6.41,6.53,-1.838,,11779126.0,75455296.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,327524ff9b892ea8e8913fe5f58526ebf7c39a5b4191976ad08f444336e4865e
2026-09-09,000155.SZ,12.14,12.16,12.01,12.11,12.16,-0.411,,20924224.0,252974977.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,b55f3d57f3f77bfc59c62f4f3ef067e789b6a85f2ca1f9e63d0e6df6ada6f2d2
2026-09-09,000156.SZ,7.13,7.13,6.93,7.02,7.16,-1.955,,9280000.0,65046530.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,f0e98a3bfbd9ee0adc219a205f3acb60624d399d480fc5eef7705b5e8cadd37e
2026-09-09,000157.SZ,6.68,6.68,6.62,6.66,6.68,-0.299,,28477441.0,189444749.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,21b2ad63c0ee19f3962f8bc626d468b9d3bc70dcf22ce1e5fefb174e6aef9a80
2026-09-09,000158.SZ,13.65,13.65,13.19,13.29,13.73,-3.205,,40126876.0,535223613.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,106d8d171b9e3f5e27d88986535c18e3e0a128e91f10c6aa056f851e6166e6dc
2026-09-09,000159.SZ,5.85,5.89,5.77,5.87,5.88,-0.17,,8397700.0,48993201.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,72fff1a5e7beae02509d66b27e71650b1e734ab01329dee197bbd3b3f3838690
2026-09-09,000166.SZ,4.54,4.56,4.52,4.55,4.54,0.22,,44058660.0,199995569.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,07e0c1817d3c000b8763caa070773ceb4b667c5b4f2f7e7b757889bf5f70926b
2026-09-09,000301.SZ,14.02,14.39,13.85,14.16,14.2,-0.282,,31000012.0,438044860.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,9f12bde3b75a04d39e5e0cf095c1bb782601afac55dd69fa93caf3f4e06d9216
2026-09-09,000333.SZ,85.0,86.04,84.44,86.02,85.15,1.022,,17978628.0,1537157622.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,806a9cc81507b1e8cbc6340157e35ad2a473ec2ad140747c22ffbc201b209a1b
2026-09-09,000338.SZ,27.0,28.12,27.0,27.85,26.61,4.66,,111249466.0,3085515061.0,,,,,,TRADED,akshare.stock_zh_a_spot,2026-09-09T21:52:56+08:00,VALID,7d0c157bbebea639a451eda57a56748466cbdc39a1b6ba4f3f1e0c6774427bb2
