as_of_date,symbol,board,list_date,is_st,is_suspended,event_flag_count,history_state,history_observations,history_coverage_ratio_250,history_start_date,latest_history_date,provider_id,adjustment_mode,factor_record_quality,confidence_grade,available_factor_count,missing_factor_count
2026-07-16,920000.BJ,BSE,2020-12-23,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920001.BJ,BSE,2022-12-27,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920002.BJ,BSE,2024-05-30,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920003.BJ,BSE,2025-11-07,False,False,0,READY,167,1.0,2025-11-07,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920005.BJ,BSE,2025-07-31,False,False,0,READY,232,1.0,2025-07-31,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920006.BJ,BSE,2023-05-18,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920007.BJ,BSE,2025-08-08,False,False,0,READY,226,1.0,2025-08-08,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920008.BJ,BSE,2024-08-29,False,False,0,READY,453,1.0,2024-08-29,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920009.BJ,BSE,2025-11-03,False,False,0,READY,171,1.0,2025-11-03,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920010.BJ,BSE,2020-07-27,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920011.BJ,BSE,2026-04-08,False,False,0,READY,68,1.0,2026-04-08,2026-07-16,sina_daily,qfq,PARTIAL,B,17,9
2026-07-16,920012.BJ,BSE,2026-04-13,False,False,0,READY,65,1.0,2026-04-13,2026-07-16,sina_daily,qfq,PARTIAL,B,17,9
2026-07-16,920014.BJ,BSE,2022-12-13,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920015.BJ,BSE,2025-09-25,False,False,0,READY,192,1.0,2025-09-25,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920016.BJ,BSE,2024-09-13,False,False,0,READY,442,1.0,2024-09-13,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920017.BJ,BSE,2023-05-31,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920018.BJ,BSE,2025-08-20,False,False,0,READY,218,1.0,2025-08-20,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920019.BJ,BSE,2024-10-11,False,False,0,READY,429,1.0,2024-10-11,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920020.BJ,BSE,2025-10-28,False,False,0,READY,175,1.0,2025-10-28,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920021.BJ,BSE,2020-07-27,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920022.BJ,BSE,2025-09-19,False,False,0,READY,196,1.0,2025-09-19,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920023.BJ,BSE,2023-02-02,True,False,0,READY,462,0.996,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920026.BJ,BSE,2023-10-19,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920027.BJ,BSE,2025-06-10,False,False,0,READY,269,1.0,2025-06-10,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920028.BJ,BSE,2026-03-20,False,False,0,READY,80,1.0,2026-03-20,2026-07-16,sina_daily,qfq,PARTIAL,B,17,9
2026-07-16,920029.BJ,BSE,2025-03-28,False,False,0,READY,316,1.0,2025-03-28,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920030.BJ,BSE,2020-11-27,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920033.BJ,BSE,2022-12-21,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920035.BJ,BSE,2025-12-02,False,False,0,READY,150,1.0,2025-12-02,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920036.BJ,BSE,2026-03-09,False,False,0,READY,89,1.0,2026-03-09,2026-07-16,sina_daily,qfq,PARTIAL,B,20,6
2026-07-16,920037.BJ,BSE,2025-06-26,False,False,0,READY,257,1.0,2025-06-26,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920039.BJ,BSE,2021-08-18,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920045.BJ,BSE,2025-12-31,False,False,0,READY,129,1.0,2025-12-31,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920046.BJ,BSE,2022-10-13,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920047.BJ,BSE,2020-11-24,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920050.BJ,BSE,2026-01-21,False,False,0,READY,116,1.0,2026-01-21,2026-07-16,sina_daily,qfq,PARTIAL,B,20,6
2026-07-16,920055.BJ,BSE,2026-03-31,False,False,0,READY,73,1.0,2026-03-31,2026-07-16,sina_daily,qfq,PARTIAL,B,17,9
2026-07-16,920056.BJ,BSE,2025-08-22,False,False,0,READY,216,1.0,2025-08-22,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920057.BJ,BSE,2023-03-14,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920058.BJ,BSE,2023-08-10,False,False,0,READY,453,0.96,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920060.BJ,BSE,2024-11-19,False,False,0,READY,402,1.0,2024-11-19,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920061.BJ,BSE,2023-12-21,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920062.BJ,BSE,2022-07-13,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920066.BJ,BSE,2024-10-31,False,False,0,READY,415,1.0,2024-10-31,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920068.BJ,BSE,2025-05-13,False,False,0,READY,288,1.0,2025-05-13,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920069.BJ,BSE,2026-03-27,False,False,0,READY,75,1.0,2026-03-27,2026-07-16,sina_daily,qfq,PARTIAL,B,17,9
2026-07-16,920072.BJ,BSE,2026-06-29,False,False,0,READY,14,1.0,2026-06-29,2026-07-16,sina_daily,qfq,PARTIAL,B,4,22
2026-07-16,920075.BJ,BSE,2022-12-14,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920076.BJ,BSE,2026-01-22,False,False,0,READY,115,1.0,2026-01-22,2026-07-16,sina_daily,qfq,PARTIAL,B,20,6
2026-07-16,920077.BJ,BSE,2021-08-31,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920078.BJ,BSE,2026-03-18,False,False,0,READY,82,1.0,2026-03-18,2026-07-16,sina_daily,qfq,PARTIAL,B,20,6
2026-07-16,920080.BJ,BSE,2025-10-10,False,False,0,READY,187,1.0,2025-10-10,2026-07-16,sina_daily,qfq,PARTIAL,B,24,2
2026-07-16,920081.BJ,BSE,2026-07-10,False,False,0,READY,5,1.0,2026-07-10,2026-07-16,sina_daily,qfq,PARTIAL,B,4,22
2026-07-16,920082.BJ,BSE,2024-12-26,False,False,0,READY,375,1.0,2024-12-26,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920083.BJ,BSE,2026-06-11,False,False,0,READY,25,1.0,2026-06-11,2026-07-16,sina_daily,qfq,PARTIAL,B,7,19
2026-07-16,920086.BJ,BSE,2026-01-16,False,False,0,READY,119,1.0,2026-01-16,2026-07-16,sina_daily,qfq,PARTIAL,B,20,6
2026-07-16,920087.BJ,BSE,2022-12-07,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920088.BJ,BSE,2024-10-29,False,False,0,READY,417,1.0,2024-10-29,2026-07-16,sina_daily,qfq,VALID,A,26,0
2026-07-16,920089.BJ,BSE,2021-11-09,False,False,0,READY,463,1.0,2024-08-15,2026-07-16,sina_daily,qfq,VALID,A,26,0
