as_of_date,symbol,board,list_date,is_st,is_suspended,event_flag_count,history_state,history_observations,history_coverage_ratio_250,history_start_date,latest_history_date,provider_id,adjustment_mode,factor_record_quality,confidence_grade,available_factor_count,missing_factor_count,history_refresh_state,history_lineage_state
2026-09-01,920000.BJ,BSE,2020-12-23,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920001.BJ,BSE,2022-12-27,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920002.BJ,BSE,2024-05-30,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920003.BJ,BSE,2025-11-07,False,False,0,READY,200,1.0,2025-11-07,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920005.BJ,BSE,2025-07-31,False,False,0,READY,265,1.0,2025-07-31,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920006.BJ,BSE,2023-05-18,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920007.BJ,BSE,2025-08-08,False,False,0,READY,259,1.0,2025-08-08,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920008.BJ,BSE,2024-08-29,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920009.BJ,BSE,2025-11-03,False,False,0,READY,204,1.0,2025-11-03,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920010.BJ,BSE,2020-07-27,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920011.BJ,BSE,2026-04-08,False,False,0,READY,101,1.0,2026-04-08,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,20,6,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920012.BJ,BSE,2026-04-13,False,False,0,READY,98,1.0,2026-04-13,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,20,6,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920014.BJ,BSE,2022-12-13,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920015.BJ,BSE,2025-09-25,False,False,0,READY,225,1.0,2025-09-25,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920016.BJ,BSE,2024-09-13,False,False,0,READY,475,1.0,2024-09-13,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920017.BJ,BSE,2023-05-31,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920018.BJ,BSE,2025-08-20,False,False,0,READY,251,1.0,2025-08-20,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920019.BJ,BSE,2024-10-11,False,False,0,READY,462,1.0,2024-10-11,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920020.BJ,BSE,2025-10-28,False,False,0,READY,208,1.0,2025-10-28,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920021.BJ,BSE,2020-07-27,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920022.BJ,BSE,2025-09-19,False,False,0,READY,229,1.0,2025-09-19,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920023.BJ,BSE,2023-02-02,True,False,0,READY,480,0.996,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920026.BJ,BSE,2023-10-19,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920027.BJ,BSE,2025-06-10,False,False,0,READY,302,1.0,2025-06-10,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920028.BJ,BSE,2026-03-20,False,False,0,READY,113,1.0,2026-03-20,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,20,6,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920029.BJ,BSE,2025-03-28,False,False,0,READY,349,1.0,2025-03-28,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920030.BJ,BSE,2020-11-27,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920033.BJ,BSE,2022-12-21,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920035.BJ,BSE,2025-12-02,False,False,0,READY,183,1.0,2025-12-02,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920036.BJ,BSE,2026-03-09,False,False,0,READY,122,1.0,2026-03-09,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920037.BJ,BSE,2025-06-26,False,False,0,READY,290,1.0,2025-06-26,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920038.BJ,BSE,2026-08-05,False,False,0,READY,20,1.0,2026-08-05,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,6,20,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920039.BJ,BSE,2021-08-18,False,False,0,READY,481,1.0,2024-09-05,2026-09-01,COMPOSITE_VALIDATED,qfq,VALID,A,26,0,READY_INCREMENTAL,COMPOSITE_VALIDATED
2026-09-01,920045.BJ,BSE,2025-12-31,False,False,0,READY,162,1.0,2025-12-31,2026-09-01,COMPOSITE_VALIDATED,qfq,PARTIAL,B,24,2,READY_INCREMENTAL,COMPOSITE_VALIDATED
