build_state,family_id,quality_state,rank_eligibility,row_count
MVP_DIAGNOSTIC,BALANCE_SHEET,INVALID_DENOMINATOR,INELIGIBLE,14
MVP_DIAGNOSTIC,BALANCE_SHEET,MISSING_REQUIRED_INPUT,INELIGIBLE,2526
MVP_DIAGNOSTIC,BALANCE_SHEET,NOT_APPLICABLE_SECTOR,INELIGIBLE,97
MVP_DIAGNOSTIC,BALANCE_SHEET,QUARANTINED_INPUT,INELIGIBLE,348
MVP_DIAGNOSTIC,BALANCE_SHEET,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,1
MVP_DIAGNOSTIC,BALANCE_SHEET,VALID,INELIGIBLE,2520
MVP_DIAGNOSTIC,BALANCE_SHEET,VALID_WITH_WARNING,INELIGIBLE,22
MVP_DIAGNOSTIC,DIAGNOSTIC,INVALID_DENOMINATOR,INELIGIBLE,1373
MVP_DIAGNOSTIC,DIAGNOSTIC,MISSING_REQUIRED_INPUT,INELIGIBLE,204
MVP_DIAGNOSTIC,DIAGNOSTIC,NOT_APPLICABLE_SECTOR,INELIGIBLE,388
MVP_DIAGNOSTIC,DIAGNOSTIC,QUARANTINED_INPUT,INELIGIBLE,1645
MVP_DIAGNOSTIC,DIAGNOSTIC,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,4
MVP_DIAGNOSTIC,DIAGNOSTIC,VALID,INELIGIBLE,17402
MVP_DIAGNOSTIC,DIAGNOSTIC,VALID_WITH_WARNING,INELIGIBLE,1096
MVP_DIAGNOSTIC,EFFICIENCY,INVALID_DENOMINATOR,INELIGIBLE,1
MVP_DIAGNOSTIC,EFFICIENCY,MISSING_REQUIRED_INPUT,INELIGIBLE,71
MVP_DIAGNOSTIC,EFFICIENCY,NOT_APPLICABLE_SECTOR,INELIGIBLE,97
MVP_DIAGNOSTIC,EFFICIENCY,QUARANTINED_INPUT,INELIGIBLE,433
MVP_DIAGNOSTIC,EFFICIENCY,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,1
MVP_DIAGNOSTIC,EFFICIENCY,VALID,INELIGIBLE,4524
MVP_DIAGNOSTIC,EFFICIENCY,VALID_WITH_WARNING,INELIGIBLE,401
MVP_REQUIRED,BALANCE_SHEET,INVALID_DENOMINATOR,INELIGIBLE,51
MVP_REQUIRED,BALANCE_SHEET,MISSING_REQUIRED_INPUT,INELIGIBLE,14348
MVP_REQUIRED,BALANCE_SHEET,NOT_APPLICABLE_SECTOR,INELIGIBLE,582
MVP_REQUIRED,BALANCE_SHEET,QUARANTINED_INPUT,INELIGIBLE,2172
MVP_REQUIRED,BALANCE_SHEET,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,6
MVP_REQUIRED,BALANCE_SHEET,VALID,ELIGIBLE,15838
MVP_REQUIRED,BALANCE_SHEET,VALID_WITH_WARNING,CONDITIONAL,171
MVP_REQUIRED,EARNINGS_QUALITY,INVALID_DENOMINATOR,INELIGIBLE,1482
MVP_REQUIRED,EARNINGS_QUALITY,MISSING_REQUIRED_INPUT,INELIGIBLE,72
MVP_REQUIRED,EARNINGS_QUALITY,NOT_APPLICABLE_SECTOR,INELIGIBLE,388
MVP_REQUIRED,EARNINGS_QUALITY,QUARANTINED_INPUT,INELIGIBLE,1732
MVP_REQUIRED,EARNINGS_QUALITY,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,4
MVP_REQUIRED,EARNINGS_QUALITY,VALID,ELIGIBLE,16966
MVP_REQUIRED,EARNINGS_QUALITY,VALID_WITH_WARNING,CONDITIONAL,1468
MVP_REQUIRED,EFFICIENCY,MISSING_REQUIRED_INPUT,INELIGIBLE,2
MVP_REQUIRED,EFFICIENCY,NOT_APPLICABLE_SECTOR,INELIGIBLE,97
MVP_REQUIRED,EFFICIENCY,QUARANTINED_INPUT,INELIGIBLE,432
MVP_REQUIRED,EFFICIENCY,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,1
MVP_REQUIRED,EFFICIENCY,VALID,ELIGIBLE,4580
MVP_REQUIRED,EFFICIENCY,VALID_WITH_WARNING,CONDITIONAL,416
MVP_REQUIRED,GROWTH,INVALID_DENOMINATOR,INELIGIBLE,13
MVP_REQUIRED,GROWTH,INVALID_SIGN_TRANSITION,INELIGIBLE,3323
MVP_REQUIRED,GROWTH,MISSING_REQUIRED_INPUT,INELIGIBLE,10114
MVP_REQUIRED,GROWTH,NOT_APPLICABLE_SECTOR,INELIGIBLE,485
MVP_REQUIRED,GROWTH,QUARANTINED_INPUT,INELIGIBLE,3553
MVP_REQUIRED,GROWTH,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,7
MVP_REQUIRED,GROWTH,VALID,ELIGIBLE,18460
MVP_REQUIRED,GROWTH,VALID_WITH_WARNING,CONDITIONAL,2741
MVP_REQUIRED,PROFITABILITY,INVALID_DENOMINATOR,INELIGIBLE,34
MVP_REQUIRED,PROFITABILITY,MISSING_REQUIRED_INPUT,INELIGIBLE,7
MVP_REQUIRED,PROFITABILITY,NOT_APPLICABLE_SECTOR,INELIGIBLE,291
MVP_REQUIRED,PROFITABILITY,QUARANTINED_INPUT,INELIGIBLE,2164
MVP_REQUIRED,PROFITABILITY,SECTOR_PROFILE_UNRESOLVED,INELIGIBLE,5
MVP_REQUIRED,PROFITABILITY,VALID,ELIGIBLE,23057
MVP_REQUIRED,PROFITABILITY,VALID_WITH_WARNING,CONDITIONAL,2082
