factor_id,quality_state,symbol_count
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,MISSING_REQUIRED_INPUT,92
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,NOT_APPLICABLE_SECTOR,97
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,QUARANTINED_INPUT,352
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,VALID,4619
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,VALID_WITH_WARNING,390
FIN_ASSET_TURNOVER_TTM,MISSING_REQUIRED_INPUT,92
FIN_ASSET_TURNOVER_TTM,NOT_APPLICABLE_SECTOR,97
FIN_ASSET_TURNOVER_TTM,QUARANTINED_INPUT,352
FIN_ASSET_TURNOVER_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_ASSET_TURNOVER_TTM,VALID,4619
FIN_ASSET_TURNOVER_TTM,VALID_WITH_WARNING,390
FIN_CAPEX_INTENSITY_TTM,INVALID_DENOMINATOR,3
FIN_CAPEX_INTENSITY_TTM,MISSING_REQUIRED_INPUT,140
FIN_CAPEX_INTENSITY_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CAPEX_INTENSITY_TTM,QUARANTINED_INPUT,351
FIN_CAPEX_INTENSITY_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CAPEX_INTENSITY_TTM,VALID,4579
FIN_CAPEX_INTENSITY_TTM,VALID_WITH_WARNING,380
FIN_CASH_TO_SHORT_DEBT,INVALID_DENOMINATOR,37
FIN_CASH_TO_SHORT_DEBT,MISSING_REQUIRED_INPUT,1017
FIN_CASH_TO_SHORT_DEBT,NOT_APPLICABLE_SECTOR,97
FIN_CASH_TO_SHORT_DEBT,QUARANTINED_INPUT,350
FIN_CASH_TO_SHORT_DEBT,SECTOR_PROFILE_UNRESOLVED,1
FIN_CASH_TO_SHORT_DEBT,VALID,4021
FIN_CASH_TO_SHORT_DEBT,VALID_WITH_WARNING,28
FIN_CFO_MARGIN_TTM,INVALID_DENOMINATOR,3
FIN_CFO_MARGIN_TTM,MISSING_REQUIRED_INPUT,91
FIN_CFO_MARGIN_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CFO_MARGIN_TTM,QUARANTINED_INPUT,351
FIN_CFO_MARGIN_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_MARGIN_TTM,VALID,4619
FIN_CFO_MARGIN_TTM,VALID_WITH_WARNING,389
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,INVALID_DENOMINATOR,11
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,MISSING_REQUIRED_INPUT,4481
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,QUARANTINED_INPUT,351
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,VALID,555
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,VALID_WITH_WARNING,55
FIN_CFO_TO_PARENT_NI_TTM,INVALID_DENOMINATOR,1521
FIN_CFO_TO_PARENT_NI_TTM,MISSING_REQUIRED_INPUT,91
FIN_CFO_TO_PARENT_NI_TTM,NOT_APPLICABLE_SECTOR,97
FIN_CFO_TO_PARENT_NI_TTM,QUARANTINED_INPUT,351
FIN_CFO_TO_PARENT_NI_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_TO_PARENT_NI_TTM,VALID,3271
FIN_CFO_TO_PARENT_NI_TTM,VALID_WITH_WARNING,219
FIN_CFO_YOY,INVALID_SIGN_TRANSITION,1510
FIN_CFO_YOY,MISSING_REQUIRED_INPUT,187
FIN_CFO_YOY,NOT_APPLICABLE_SECTOR,97
FIN_CFO_YOY,QUARANTINED_INPUT,359
FIN_CFO_YOY,SECTOR_PROFILE_UNRESOLVED,1
FIN_CFO_YOY,VALID,3025
FIN_CFO_YOY,VALID_WITH_WARNING,372
FIN_CURRENT_RATIO,MISSING_REQUIRED_INPUT,3
FIN_CURRENT_RATIO,NOT_APPLICABLE_SECTOR,97
