symbol,sector_profile,normalized_fact_count,factor_period_count,profile_basis,authority,trade_authority
000001.SZ,BANK,296,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000002.SZ,GENERAL_NON_FINANCIAL,386,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000006.SZ,GENERAL_NON_FINANCIAL,345,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000007.SZ,GENERAL_NON_FINANCIAL,354,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000008.SZ,GENERAL_NON_FINANCIAL,377,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000009.SZ,GENERAL_NON_FINANCIAL,398,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000010.SZ,GENERAL_NON_FINANCIAL,344,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000011.SZ,GENERAL_NON_FINANCIAL,380,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000012.SZ,GENERAL_NON_FINANCIAL,377,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000014.SZ,GENERAL_NON_FINANCIAL,328,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000016.SZ,GENERAL_NON_FINANCIAL,384,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000017.SZ,GENERAL_NON_FINANCIAL,336,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000019.SZ,GENERAL_NON_FINANCIAL,377,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000020.SZ,GENERAL_NON_FINANCIAL,344,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000021.SZ,GENERAL_NON_FINANCIAL,377,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000025.SZ,GENERAL_NON_FINANCIAL,352,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000026.SZ,GENERAL_NON_FINANCIAL,358,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000027.SZ,GENERAL_NON_FINANCIAL,398,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000028.SZ,GENERAL_NON_FINANCIAL,368,9,STATEMENT_FIELD_SIGNATURE,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
