factor_id,factor_status,production_profile_count,production_valid_or_warning_count,production_controlled_outcome_count,production_value_coverage_ratio,production_controlled_coverage_ratio,production_coverage_ratio,minimum_coverage_ratio,factor_gate_status,percentile_authorized,policy_reason,authority,trade_authority
FIN_ACCRUALS_TO_AVG_ASSETS_TTM,PRODUCTION_CORE,5102,4997,4997,0.9794198353586828,0.9794198353586828,0.9794198353586828,0.6,ACCEPTED_PRODUCTION_CORE,True,Core earnings-quality measure with broad coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_ASSET_TURNOVER_TTM,PRODUCTION_CORE,5102,4996,4996,0.9792238337906704,0.9792238337906704,0.9792238337906704,0.6,ACCEPTED_PRODUCTION_CORE,True,Core operating-efficiency measure with broad coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CAPEX_INTENSITY_TTM,DIAGNOSTIC_ONLY,5102,4925,4926,0.9653077224617796,0.9655037240297922,0.9655037240297922,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Capital intensity is business-model dependent and must not be directionally scored without industry context,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CASH_TO_SHORT_DEBT,PRODUCTION_CORE,5102,4008,4037,0.7855742845942768,0.7912583300666405,0.7912583300666405,0.6,ACCEPTED_PRODUCTION_CORE,True,Core liquidity measure but extreme ratios require tail control,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_MARGIN_TTM,PRODUCTION_CORE,5102,4994,4996,0.9788318306546452,0.9792238337906704,0.9792238337906704,0.6,ACCEPTED_PRODUCTION_CORE,True,Core cash-generation quality measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_INTEREST_BEARING_DEBT_TTM,DIAGNOSTIC_ONLY,5102,604,614,0.11838494707957664,0.12034496275970208,0.12034496275970208,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Current provider mapping produces insufficient full-market debt-component coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_TO_PARENT_NI_TTM,PRODUCTION_CORE,5102,3518,4997,0.6895335162681302,0.9794198353586828,0.9794198353586828,0.6,ACCEPTED_PRODUCTION_CORE,True,Core earnings-conversion measure with denominator and tail controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CFO_YOY,PRODUCTION_CORE,5102,3398,4890,0.6660133281066248,0.9584476675813407,0.9584476675813407,0.6,ACCEPTED_PRODUCTION_CORE,True,Core cash-flow growth measure after sign-transition controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CURRENT_RATIO,PRODUCTION_CORE,5102,5079,5079,0.9954919639357115,0.9954919639357115,0.9954919639357115,0.6,ACCEPTED_PRODUCTION_CORE,True,Core non-financial liquidity measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_EFFECTIVE_TAX_RATE_TTM,DIAGNOSTIC_ONLY,5102,3491,4860,0.6842414739317915,0.9525676205409643,0.9525676205409643,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Tax rate is highly affected by losses one-offs and jurisdictional structure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_FCF_MARGIN_TTM,PRODUCTION_CORE,5102,4925,4926,0.9653077224617796,0.9655037240297922,0.9655037240297922,0.6,ACCEPTED_PRODUCTION_CORE,True,Core free-cash-flow quality measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GOODWILL_TO_EQUITY,DIAGNOSTIC_ONLY,5102,2542,2556,0.4982359858878871,0.5009800078400627,0.5009800078400627,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Useful risk diagnostic but provider coverage is incomplete and interpretation is transaction-dependent,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_TTM,PRODUCTION_CORE,5102,4991,4993,0.9782438259506077,0.9786358290866327,0.9786358290866327,0.6,ACCEPTED_PRODUCTION_CORE,True,Core profitability measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_YOY_DELTA,PRODUCTION_CORE,5102,4879,4884,0.9562916503332026,0.9572716581732654,0.9572716581732654,0.6,ACCEPTED_PRODUCTION_CORE,True,Core profitability-change measure after comparability controls,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,DIAGNOSTIC_ONLY,5102,618,624,0.12112896903175226,0.12230497843982752,0.12230497843982752,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Current provider mapping produces insufficient full-market debt-component coverage,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INVENTORY_TO_REVENUE_TTM,DIAGNOSTIC_ONLY,5102,4939,4941,0.9680517444139554,0.9684437475499804,0.9684437475499804,0.0,ACCEPTED_DIAGNOSTIC_ONLY,False,Inventory intensity is business-model dependent and retained as a diagnostic,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_LIABILITIES_TO_ASSETS,PRODUCTION_CORE,5102,5082,5082,0.9960799686397491,0.9960799686397491,0.9960799686397491,0.6,ACCEPTED_PRODUCTION_CORE,True,Core balance-sheet leverage measure,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
