distribution_type,distribution_key,symbol_count,minimum,q10,q25,median,q75,q90,maximum
CONFIDENCE,HIGH,2829,21.33409886490591,41.41163716652862,48.284236910001376,55.98875437810883,64.02207209269244,70.14738580730247,87.62265415463634
CONFIDENCE,LOW,494,3.551241641760966,25.657856647009645,34.803056431647995,48.22359076431367,59.48674551595727,66.51538218032594,87.64960619504217
CONFIDENCE,MEDIUM,1672,6.083421082337005,24.19881219396716,30.86804065425718,39.15341466588052,48.419977247259126,60.089539125533825,88.36272042502641
SCORE_BAND,ABOVE_AVERAGE_FINANCIAL_QUALITY,647,65.03449443602611,65.67850275247504,66.70725911308475,68.96962770916632,71.534325011068,73.39391659188527,74.95004298253369
SCORE_BAND,EXCEPTIONAL_FINANCIAL_QUALITY,8,85.80092694639625,85.81711796454671,85.95432301029174,86.82435505328777,87.6293921647378,87.86354046403744,88.36272042502641
SCORE_BAND,NEUTRAL_FINANCIAL_QUALITY,1774,50.01623161024846,51.48769253025874,53.67351145687098,57.063648046783676,60.91014273864331,63.29140180956386,64.98483081526449
SCORE_BAND,STRONG_FINANCIAL_QUALITY,132,75.0415289675992,75.5510494386935,76.69520127132617,77.89023049239447,80.39710478533102,82.58838753620392,84.41459747239907
SCORE_BAND,UNAVAILABLE,556,,,,,,,
SCORE_BAND,VERY_WEAK_FINANCIAL_QUALITY,834,3.551241641760966,19.533314824671475,24.015467804972218,29.16986965767362,32.0837579135151,33.8472167061203,34.98712310516361
SCORE_BAND,WEAK_FINANCIAL_QUALITY,1600,35.00018230683615,37.13244735556374,39.49578785584014,43.362545156854765,46.78762404448261,48.787443723323165,49.993409905987384
