distribution_type,distribution_key,symbol_count,minimum,q10,q25,median,q75,q90,maximum
CONFIDENCE,HIGH,2844,27.169587463415894,41.15891109320142,48.26777749439096,55.973239919523095,64.28036397334468,70.01822717347876,86.3922703594458
CONFIDENCE,LOW,532,2.20306559479346,24.94368517380201,33.665561374637406,46.81969098267528,59.293604716695796,66.89416172848453,87.70159318034558
CONFIDENCE,MEDIUM,1608,8.009497729970628,24.133803176917827,30.698725970027326,38.63191195958208,48.27065507105864,60.40493367045047,90.04435970344983
SCORE_BAND,ABOVE_AVERAGE_FINANCIAL_QUALITY,691,65.01114716567278,65.58807231757861,66.7095187797049,68.84255710408053,71.22247638230783,73.23881110025646,74.90107862373783
SCORE_BAND,EXCEPTIONAL_FINANCIAL_QUALITY,9,85.03915185676794,85.68525361496864,86.22533364037814,86.34759252615044,86.3922703594458,88.17014648496644,90.04435970344983
SCORE_BAND,NEUTRAL_FINANCIAL_QUALITY,1711,50.00292428392409,51.47718189939824,53.64499070515906,56.937072870624405,60.76081324612433,63.216424685350205,64.99420499372
SCORE_BAND,STRONG_FINANCIAL_QUALITY,138,75.0113012435129,75.47497713042023,76.16634271363878,78.01559586472857,80.12007910796487,82.20510381152346,84.65397156446461
SCORE_BAND,UNAVAILABLE,544,,,,,,,
SCORE_BAND,VERY_WEAK_FINANCIAL_QUALITY,848,2.20306559479346,18.919661709220545,24.16980947559377,29.1687065189653,32.08654527056119,33.97087581073969,34.99471543166467
SCORE_BAND,WEAK_FINANCIAL_QUALITY,1587,35.034532255927694,36.826912755932234,39.444846665630486,43.22389590040783,46.81804571720333,48.752097839503804,49.999317476301925
