shard_id,symbol,retry_reason,retry_scope,status,trade_authority
1,001365.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
2,688635.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
5,301583.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
11,301599.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
13,688797.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
13,001393.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
16,301669.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
16,301531.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
18,001237.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
19,001399.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
20,603407.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
29,001248.SZ,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
30,603435.SH,SELECTED_BUNDLE_OR_OFFICIAL_PIT_INCOMPLETE,FULL_SYMBOL_PRIMARY_THEN_FALLBACK,PENDING_REPAIR_OVERLAY,NONE
