symbol,shard_id
600006.SH,0
301309.SZ,0
920278.BJ,0
601696.SH,0
600549.SH,0
301551.SZ,0
001282.SZ,0
002426.SZ,0
600868.SH,0
301279.SZ,0
600405.SH,0
002559.SZ,0
001335.SZ,0
603557.SH,0
688458.SH,0
603686.SH,0
002657.SZ,0
603083.SH,0
300893.SZ,0
000953.SZ,0
300447.SZ,0
601059.SH,0
001221.SZ,0
301057.SZ,0
002638.SZ,0
301198.SZ,0
603055.SH,0
920016.BJ,0
688035.SH,0
001388.SZ,0
603696.SH,0
300138.SZ,0
920599.BJ,0
601008.SH,0
600096.SH,0
920879.BJ,0
002355.SZ,0
300451.SZ,0
300290.SZ,0
605365.SH,0
603458.SH,0
300986.SZ,0
002245.SZ,0
000963.SZ,0
300798.SZ,0
301320.SZ,0
300520.SZ,0
603095.SH,0
603322.SH,0
688420.SH,0
603067.SH,0
600843.SH,0
600336.SH,0
688280.SH,0
600789.SH,0
920059.BJ,0
000096.SZ,0
002788.SZ,0
002141.SZ,0
300452.SZ,0
002021.SZ,0
300020.SZ,0
600080.SH,0
920735.BJ,0
002393.SZ,0
601366.SH,0
688147.SH,0
600395.SH,0
300529.SZ,0
688131.SH,0
920149.BJ,0
002532.SZ,0
301581.SZ,0
920177.BJ,0
300415.SZ,0
688630.SH,0
002926.SZ,0
002337.SZ,0
600552.SH,0
002970.SZ,0
300246.SZ,0
002418.SZ,0
300272.SZ,0
600468.SH,0
300168.SZ,0
300560.SZ,0
688455.SH,0
000536.SZ,0
603130.SH,0
002174.SZ,0
300617.SZ,0
002733.SZ,0
300929.SZ,0
000520.SZ,0
300693.SZ,0
000888.SZ,0
600983.SH,0
300604.SZ,0
000885.SZ,0
688586.SH,0
300661.SZ,0
603378.SH,0
301356.SZ,0
002207.SZ,0
688545.SH,0
301531.SZ,0
920427.BJ,0
603888.SH,0
300230.SZ,0
002297.SZ,0
002546.SZ,0
300600.SZ,0
002888.SZ,0
603159.SH,0
301586.SZ,0
301338.SZ,0
603803.SH,0
920786.BJ,0
002414.SZ,0
603477.SH,0
601238.SH,0
300112.SZ,0
600596.SH,0
002842.SZ,0
300718.SZ,0
300730.SZ,0
002729.SZ,0
601619.SH,0
603409.SH,0
688321.SH,0
000415.SZ,0
000958.SZ,0
300802.SZ,0
002238.SZ,0
605218.SH,0
600299.SH,0
300868.SZ,0
301335.SZ,0
000534.SZ,0
603155.SH,0
002092.SZ,0
688557.SH,0
603135.SH,0
300416.SZ,0
603327.SH,0
000795.SZ,0
600094.SH,0
603107.SH,0
603049.SH,0
920123.BJ,0
300970.SZ,0
603267.SH,0
300623.SZ,0
688767.SH,0
300155.SZ,0
300067.SZ,0
920876.BJ,0
600273.SH,0
688167.SH,0
600487.SH,0
603151.SH,0
688648.SH,0
000968.SZ,0
000828.SZ,0
000619.SZ,0
688809.SH,0
688001.SH,0
688138.SH,0
600266.SH,0
300196.SZ,0
603158.SH,0
688060.SH,0
600883.SH,0
300322.SZ,0
688327.SH,1
688361.SH,1
300223.SZ,1
605277.SH,1
605011.SH,1
301327.SZ,1
603200.SH,1
920271.BJ,1
601700.SH,1
002919.SZ,1
002581.SZ,1
600505.SH,1
603188.SH,1
600600.SH,1
600643.SH,1
300859.SZ,1
300619.SZ,1
920047.BJ,1
688580.SH,1
600131.SH,1
688758.SH,1
688276.SH,1
600481.SH,1
605116.SH,1
301187.SZ,1
002732.SZ,1
920163.BJ,1
301010.SZ,1
601106.SH,1
605303.SH,1
920799.BJ,1
603350.SH,1
002445.SZ,1
603733.SH,1
002948.SZ,1
920056.BJ,1
300950.SZ,1
000669.SZ,1
000507.SZ,1
002441.SZ,1
002249.SZ,1
603920.SH,1
300696.SZ,1
688651.SH,1
688247.SH,1
300406.SZ,1
603598.SH,1
603086.SH,1
920242.BJ,1
300122.SZ,1
601377.SH,1
600409.SH,1
003019.SZ,1
300126.SZ,1
300435.SZ,1
000785.SZ,1
688231.SH,1
002663.SZ,1
600052.SH,1
300209.SZ,1
300199.SZ,1
688393.SH,1
603248.SH,1
600925.SH,1
603713.SH,1
002195.SZ,1
301111.SZ,1
300778.SZ,1
002172.SZ,1
600744.SH,1
002217.SZ,1
300861.SZ,1
300562.SZ,1
301215.SZ,1
002333.SZ,1
002062.SZ,1
002872.SZ,1
002449.SZ,1
300473.SZ,1
300848.SZ,1
301552.SZ,1
920725.BJ,1
300294.SZ,1
605068.SH,1
688356.SH,1
300608.SZ,1
301160.SZ,1
601858.SH,1
688127.SH,1
300557.SZ,1
300564.SZ,1
920690.BJ,1
300004.SZ,1
300359.SZ,1
601727.SH,1
300935.SZ,1
600163.SH,1
603610.SH,1
000932.SZ,1
688273.SH,1
300965.SZ,1
603569.SH,1
603296.SH,1
002007.SZ,1
920685.BJ,1
603429.SH,1
600584.SH,1
600610.SH,1
688007.SH,1
920608.BJ,1
300327.SZ,1
001311.SZ,1
603068.SH,1
600084.SH,1
603282.SH,1
301043.SZ,1
601666.SH,1
301166.SZ,1
000034.SZ,1
002810.SZ,1
920718.BJ,1
001279.SZ,1
688216.SH,1
603817.SH,1
603030.SH,1
605255.SH,1
688210.SH,1
688609.SH,1
688268.SH,1
603016.SH,1
603908.SH,1
920273.BJ,1
001299.SZ,1
002856.SZ,1
600651.SH,1
300368.SZ,1
301041.SZ,1
300455.SZ,1
300310.SZ,1
301103.SZ,1
000686.SZ,1
000819.SZ,1
000731.SZ,1
600801.SH,1
603050.SH,1
001232.SZ,1
002226.SZ,1
002139.SZ,1
600158.SH,1
301177.SZ,1
