shard_id,status,validation_status,symbol_count,supported_symbol_count,quarantined_symbol_count,non_bse_supported_ratio,official_pit_match_ratio,raw_fact_count,normalized_fact_count,decision_grade_fact_count,fallback_components_invoked,fallback_components_used,retry_symbol_count,ambiguous_mapping_group_count,future_fact_count,source_less_decision_grade_fact_count,duplicate_effective_interval_count,classified_conflict_count,unclassified_conflict_count,performed_validation_check_count,performed_validation_failure_count,qa_flag_count,elapsed_seconds,controlled_validation_exclusion_count,controlled_validation_classification_error_count,bse_indexed_periodic_report_count,bse_no_classified_periodic_report_count,bse_query_unresolved_count,membership_hash,trade_authority
0,FMDL3B2_SHARD_ACCEPTED,PASS,174,162,12,1.0,1.0,414648,61711,61711,0,0,0,0,0,0,0,0,0,4546,0,12,1433.0829,0,0,11,1,0,5c1d6748d586b3eb3dc5fa1971c4a7c5b6c2135c3dc9017a01a56404c524b07e,NONE
1,FMDL3B2_SHARD_ACCEPTED,PASS,174,162,12,1.0,1.0,414891,61974,61972,0,0,0,0,0,0,0,0,0,4580,0,13,1566.5554,1,0,12,0,0,47cf7069be3b06f4787e0984d4af79d548f9b2b809d1490e6d17e3f183e041a9,NONE
2,FMDL3B2_SHARD_ACCEPTED,PASS,174,159,15,0.99375,1.0,415766,61663,61663,0,0,1,0,0,0,0,0,0,4521,0,15,1640.9011,0,0,14,0,0,6221146edefa6cf80d438ce076390ef213ae2feb40cf82febc2ebcbd7587b7b2,NONE
3,FMDL3B2_SHARD_ACCEPTED,PASS,174,166,8,1.0,1.0,431101,63691,63691,0,0,0,0,0,0,0,0,0,4712,0,8,1756.9864,0,0,8,0,0,d27fd029483afe6d487d310ac51e85a8ce7b00998025b6d556c4a8ac0994e687,NONE
4,FMDL3B2_SHARD_ACCEPTED,PASS,174,166,8,1.0,1.0,427603,63600,63600,0,0,0,0,0,0,0,0,0,4678,0,8,1629.0958,0,0,7,1,0,be8eb1cc48ba4249bd7eae3124f9bde97337c835ce2493dc4b4bf2d2fcdbf4bf,NONE
5,FMDL3B2_SHARD_ACCEPTED,PASS,174,162,12,0.9938650306748467,1.0,416078,62686,62686,0,0,1,0,0,0,0,0,0,4620,0,12,1515.7728,0,0,11,0,0,5041ceb035672a3f82e365f8ca6e96a87addb232a0e15f4180a9e828ddba62dd,NONE
6,FMDL3B2_SHARD_ACCEPTED,PASS,174,165,9,1.0,1.0,431025,63613,63613,0,0,0,0,0,0,0,0,0,4675,0,9,1666.2986,0,0,9,0,0,01054e3a9829168f6b48218168558698b1e6286c1ae309977246b5e02da63c49,NONE
7,FMDL3B2_SHARD_ACCEPTED,PASS,174,169,5,1.0,1.0,445198,65719,65717,0,0,0,0,0,0,0,0,0,4827,0,6,1584.8948,1,0,5,0,0,90c506ecd53067ea5f687ed6bdcebba6ce432bdc34fa80588e633b3d9fe6c05c,NONE
8,FMDL3B2_SHARD_ACCEPTED,PASS,174,169,5,1.0,1.0,437316,64540,64540,0,0,0,0,0,0,0,0,0,4753,0,5,1579.5902,0,0,5,0,0,e405d1cc0980ee1fbd878564f4737641a22d9f304f6e673e21754acb23c08845,NONE
9,FMDL3B2_SHARD_ACCEPTED,PASS,174,167,7,1.0,1.0,438365,64731,64731,0,0,0,0,0,0,0,0,0,4763,0,7,1444.2696,0,0,7,0,0,59b22004c1df0b1a6bb7d725f8a72023df48f60e14602b1103192ca333647dde,NONE
10,FMDL3B2_SHARD_ACCEPTED,PASS,174,159,15,1.0,1.0,412176,61477,61477,0,0,0,0,0,0,0,0,0,4545,0,15,1471.1418,0,0,15,0,0,36dc7257dc39279061c50d9598e84f6a525d5a26595d267cc33fb3c17ba7c91b,NONE
11,FMDL3B2_SHARD_ACCEPTED,PASS,174,161,13,1.0,1.0,417925,61942,61942,0,0,0,0,0,0,0,0,0,4559,0,13,1375.4136,0,0,13,0,0,535d0f2ed942d8745c9dfb2e0efbe69408c6325aad9c2c77c0109be1622e8525,NONE
12,FMDL3B2_SHARD_ACCEPTED,PASS,174,157,17,1.0,1.0,410203,60924,60924,0,0,0,0,0,0,0,0,0,4479,0,17,1362.6027,0,0,17,0,0,761adb9c36df49baba8978302aa8fdefbddc242752dcba9b15808acb2a1aab60,NONE
13,FMDL3B2_SHARD_ACCEPTED,PASS,174,162,12,1.0,1.0,416329,62228,62228,0,0,0,0,0,0,0,0,0,4610,0,12,1407.9512,0,0,12,0,0,be0472e2b9bacc304fd8ea2cc4b710ae5445e6e721599a16157040b825383241,NONE
14,FMDL3B2_SHARD_ACCEPTED,PASS,174,161,13,1.0,1.0,419124,61637,61637,0,0,0,0,0,0,0,0,0,4564,0,13,1519.9294,0,0,13,0,0,473a1e7953b7fa9931a78cad2e14573bd20d686ba5ce16bd9cf18e47e5513040,NONE
15,FMDL3B2_SHARD_ACCEPTED,PASS,173,163,10,1.0,1.0,431368,63665,63665,0,0,0,0,0,0,0,0,0,4683,0,10,1457.4249,0,0,10,0,0,935885b74fca359826dd44e7288fa3fbd7a887658830f24061034ebb86cf0924,NONE
16,FMDL3B2_SHARD_ACCEPTED,PASS,173,161,12,1.0,1.0,420684,62190,62190,0,0,0,0,0,0,0,0,0,4578,0,12,1380.4422,0,0,12,0,0,87415536f80c2496bd2e0521a9a602f9b6d2e34cececb04d801bebd3e07d504b,NONE
17,FMDL3B2_SHARD_ACCEPTED,PASS,173,161,12,1.0,1.0,410915,61060,61058,0,0,0,0,0,0,0,0,0,4489,0,13,1515.0303,1,0,11,1,0,5a06094b45213ea6f56190b57dd2f306d65e08c8bed6b6f5a47d1f0f5f9c7f5f,NONE
18,FMDL3B2_SHARD_ACCEPTED,PASS,173,162,11,0.9938650306748467,1.0,427167,62923,62923,0,0,1,0,0,0,0,0,0,4649,0,11,1616.9331,0,0,9,1,0,5f6c240f9bd85ca9ccdd434b252e119f1fe90b0c0d8de55507b7d165b9cebaba,NONE
19,FMDL3B2_SHARD_ACCEPTED,PASS,173,162,11,0.9938650306748467,1.0,424146,63281,63281,0,0,1,0,0,0,0,0,0,4639,0,11,1303.0756,0,0,10,0,0,22a90dedf3add95d9771c4d1627d3f91e1793e50fcfe8abc8f326e8a92a49680,NONE
20,FMDL3B2_SHARD_ACCEPTED,PASS,173,158,15,1.0,1.0,413707,61479,61479,0,0,0,0,0,0,0,0,0,4515,0,15,1452.986,0,0,15,0,0,c55749d996aea597eb6074af4fb9fb1e719b88135b5d564846297579c1ce0874,NONE
21,FMDL3B2_SHARD_ACCEPTED,PASS,173,165,8,1.0,1.0,432672,64119,64119,0,0,0,0,0,0,0,0,0,4724,0,8,1626.7488,0,0,8,0,0,48e33cab4e9650f828e4d9046170793094244f727154b5777df69278f686177a,NONE
22,FMDL3B2_SHARD_ACCEPTED,PASS,173,161,12,0.9877300613496932,1.0,425542,62557,62557,0,0,2,0,0,0,0,0,0,4577,0,12,1430.4807,0,0,9,1,0,6bed3bdec187b73009f8f4cd5c358241431bca522bbd2ae192645c249de50420,NONE
