symbol,entity,profile,board,official_filing_count,official_document_index_available,primary_statement_components,fallback_statement_components_invoked,fallback_statement_components_used,statement_status,status_reason,trade_authority,common_statement_period_count,primary_only
000001.SZ,平安银行,BANK,SZ_MAIN,13,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
000333.SZ,美的集团,GENERAL_NON_FINANCIAL,SZ_MAIN,12,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
000776.SZ,广发证券,SECURITIES_AND_BROKERAGE,SZ_MAIN,12,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
002296.SZ,002296.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,12,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
002377.SZ,002377.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,14,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
002527.SZ,002527.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,12,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
002576.SZ,002576.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,17,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
300448.SZ,300448.SZ,UNCLASSIFIED_FULL_UNIVERSE,CHINEXT,13,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
300750.SZ,宁德时代,GENERAL_NON_FINANCIAL,CHINEXT,11,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
300784.SZ,300784.SZ,UNCLASSIFIED_FULL_UNIVERSE,CHINEXT,12,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
301159.SZ,301159.SZ,UNCLASSIFIED_FULL_UNIVERSE,CHINEXT,10,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
430047.BJ,诺思兰德,PRE_PROFIT_OR_NEGATIVE_EARNINGS,BSE,14,True,0,0,0,QUARANTINED,BSE_OFFICIAL_DOCUMENT_EXTRACTION_REQUIRED,NONE,,
600006.SH,600006.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,10,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
600030.SH,中信证券,SECURITIES_AND_BROKERAGE,SH_MAIN,11,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
600036.SH,招商银行,BANK,SH_MAIN,10,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
600110.SH,600110.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,16,True,3,0,0,SUPPORTED,SELECTED_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,9.0,True
