symbol,name,profile,board,extended
600519.SH,贵州茅台,GENERAL_NON_FINANCIAL,SH_MAIN,True
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,True
000333.SZ,美的集团,GENERAL_NON_FINANCIAL,SZ_MAIN,True
300750.SZ,宁德时代,GENERAL_NON_FINANCIAL,CHINEXT,True
688981.SH,中芯国际,GENERAL_NON_FINANCIAL,STAR,True
835185.BJ,贝特瑞,GENERAL_NON_FINANCIAL,BSE,True
000001.SZ,平安银行,BANK,SZ_MAIN,True
600036.SH,招商银行,BANK,SH_MAIN,False
601318.SH,中国平安,INSURANCE,SH_MAIN,True
600030.SH,中信证券,SECURITIES_AND_BROKERAGE,SH_MAIN,True
000776.SZ,广发证券,SECURITIES_AND_BROKERAGE,SZ_MAIN,False
688256.SH,寒武纪,PRE_PROFIT_OR_NEGATIVE_EARNINGS,STAR,True
430047.BJ,诺思兰德,PRE_PROFIT_OR_NEGATIVE_EARNINGS,BSE,False
600006.SH,600006.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
688327.SH,688327.SH,UNCLASSIFIED_FULL_UNIVERSE,STAR,False
300448.SZ,300448.SZ,UNCLASSIFIED_FULL_UNIVERSE,CHINEXT,False
603786.SH,603786.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
600653.SH,600653.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
688290.SH,688290.SH,UNCLASSIFIED_FULL_UNIVERSE,STAR,False
600741.SH,600741.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
002296.SZ,002296.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,False
002377.SZ,002377.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,False
603402.SH,603402.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
603301.SH,603301.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
301159.SZ,301159.SZ,UNCLASSIFIED_FULL_UNIVERSE,CHINEXT,False
002576.SZ,002576.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,False
688615.SH,688615.SH,UNCLASSIFIED_FULL_UNIVERSE,STAR,False
601112.SH,601112.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
688032.SH,688032.SH,UNCLASSIFIED_FULL_UNIVERSE,STAR,False
300784.SZ,300784.SZ,UNCLASSIFIED_FULL_UNIVERSE,CHINEXT,False
600110.SH,600110.SH,UNCLASSIFIED_FULL_UNIVERSE,SH_MAIN,False
002527.SZ,002527.SZ,UNCLASSIFIED_FULL_UNIVERSE,SZ_MAIN,False
