statement,provider_field_name,mapping_status,canonical_field_id,fact_count
cash_flow,RECEIVE_OTHER_OPERATE,UNMAPPED_RAW_ONLY,,267
cash_flow,SECURITY_TYPE_CODE,UNMAPPED_RAW_ONLY,,267
cash_flow,PAY_OTHER_OPERATE,UNMAPPED_RAW_ONLY,,267
cash_flow,PAY_STAFF_CASH,UNMAPPED_RAW_ONLY,,267
cash_flow,PAY_ALL_TAX,UNMAPPED_RAW_ONLY,,267
cash_flow,OPERATE_NETCASH_BALANCE,UNMAPPED_RAW_ONLY,,267
cash_flow,OPERATE_INFLOW_BALANCE,UNMAPPED_RAW_ONLY,,267
cash_flow,NETCASH_OPERATE,MAPPED_EXACT_ALIAS,cfo,267
cash_flow,OPERATE_OUTFLOW_BALANCE,UNMAPPED_RAW_ONLY,,267
cash_flow,TOTAL_INVEST_OUTFLOW,UNMAPPED_RAW_ONLY,,267
cash_flow,TOTAL_OPERATE_INFLOW,UNMAPPED_RAW_ONLY,,267
cash_flow,INVEST_OUTFLOW_BALANCE,UNMAPPED_RAW_ONLY,,267
income_statement,BASIC_EPS,MAPPED_EXACT_ALIAS,eps_basic,267
cash_flow,NETCASH_INVEST,MAPPED_EXACT_ALIAS,cfi,267
cash_flow,NETCASH_FINANCE,MAPPED_EXACT_ALIAS,cff,267
income_statement,PARENT_NETPROFIT,MAPPED_EXACT_ALIAS,net_income_parent,267
income_statement,DEDUCT_PARENT_NETPROFIT,UNMAPPED_RAW_ONLY,,267
cash_flow,INVEST_NETCASH_BALANCE,UNMAPPED_RAW_ONLY,,267
cash_flow,FINANCE_NETCASH_BALANCE,UNMAPPED_RAW_ONLY,,267
cash_flow,TOTAL_OPERATE_OUTFLOW,UNMAPPED_RAW_ONLY,,267
cash_flow,__period,UNMAPPED_RAW_ONLY,,267
income_statement,TOTAL_COMPRE_INCOME,UNMAPPED_RAW_ONLY,,267
cash_flow,CCE_ADD,MAPPED_EXACT_ALIAS,net_change_cash,267
cash_flow,CCE_ADD_BALANCE,UNMAPPED_RAW_ONLY,,267
cash_flow,CONSTRUCT_LONG_ASSET,MAPPED_EXACT_ALIAS,capex,267
cash_flow,END_CCE,MAPPED_EXACT_ALIAS,ending_cash,267
cash_flow,END_CCE_BALANCE,UNMAPPED_RAW_ONLY,,267
income_statement,TOTAL_PROFIT_BALANCE,UNMAPPED_RAW_ONLY,,267
income_statement,TOTAL_PROFIT,MAPPED_EXACT_ALIAS,pretax_income,267
income_statement,NETPROFIT,MAPPED_EXACT_ALIAS,net_income,267
income_statement,SECURITY_TYPE_CODE,UNMAPPED_RAW_ONLY,,267
income_statement,OPERATE_INCOME,MAPPED_EXACT_ALIAS,revenue,267
income_statement,OPERATE_PROFIT,MAPPED_EXACT_ALIAS,operating_income,267
income_statement,OPERATE_TAX_ADD,UNMAPPED_RAW_ONLY,,267
income_statement,__period,UNMAPPED_RAW_ONLY,,267
cash_flow,BEGIN_CCE,MAPPED_EXACT_ALIAS,beginning_cash,267
income_statement,NONBUSINESS_EXPENSE,UNMAPPED_RAW_ONLY,,265
cash_flow,INVEST_INFLOW_BALANCE,UNMAPPED_RAW_ONLY,,264
cash_flow,TOTAL_INVEST_INFLOW,UNMAPPED_RAW_ONLY,,264
income_statement,INCOME_TAX,MAPPED_EXACT_ALIAS,tax_expense,264
cash_flow,NETCASH_OPERATE_YOY,UNMAPPED_RAW_ONLY,,263
income_statement,TOTAL_PROFIT_YOY,UNMAPPED_RAW_ONLY,,263
income_statement,PARENT_NETPROFIT_YOY,UNMAPPED_RAW_ONLY,,263
income_statement,DEDUCT_PARENT_NETPROFIT_YOY,UNMAPPED_RAW_ONLY,,263
balance_sheet,LISTING_STATE,UNMAPPED_RAW_ONLY,,262
balance_sheet,LIAB_BALANCE,UNMAPPED_RAW_ONLY,,262
balance_sheet,ASSET_BALANCE,UNMAPPED_RAW_ONLY,,262
