shard_id,artifact_name,workflow_run_id,retention_days,raw_filename,raw_sha256,raw_bytes,shard_decision_status,shard_validation_status,trade_authority
0,fmdl3b2-raw-shard-00,29648747840,90,SHARD_RAW_FACTS.parquet,e1044f64798ea10c9b7ce9052810ccea54290dc517aa84fb8065d6c205350cf7,17950007,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
1,fmdl3b2-raw-shard-01,29648747840,90,SHARD_RAW_FACTS.parquet,a472a8bf771abe80c65cb1dd5ddf13c2e0d6cf3101133b5a8443131ea4e67262,18233928,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
2,fmdl3b2-raw-shard-02,29648747840,90,SHARD_RAW_FACTS.parquet,68fd6e14cbbde4d41cab210765e6e9ee5b1940f1ad3385c18b9818eef091c6da,17980347,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
3,fmdl3b2-raw-shard-03,29648747840,90,SHARD_RAW_FACTS.parquet,cb31a22e3b0c88f868b1718634240b3d37e9f51882f50d23c02cff614e5ffb2d,18818020,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
4,fmdl3b2-raw-shard-04,29648747840,90,SHARD_RAW_FACTS.parquet,ce15114a9115b381216aea6e59ee2e5f9fcbd33f3c0114b5c3db1f7dd8e811b4,18715094,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
5,fmdl3b2-raw-shard-05,29648747840,90,SHARD_RAW_FACTS.parquet,9123e901e7be8d3c57645b6510748f6fcf6c9fdb4e9c5795d678a513443ba384,17865567,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
6,fmdl3b2-raw-shard-06,29648747840,90,SHARD_RAW_FACTS.parquet,5ac28ca404c5b7de73040300ccc008a5dc0cab2bae836faf876cf4e225f56994,18534135,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
7,fmdl3b2-raw-shard-07,29648747840,90,SHARD_RAW_FACTS.parquet,243b20a6ed23fd3b28b7548e738863154cf68d4ef6fe3ab88908db1cafe46bbc,17667631,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
8,fmdl3b2-raw-shard-08,29648747840,90,SHARD_RAW_FACTS.parquet,95f315e854418a7db3262505562002bc2711d08ca9a183078440a54712bf7802,18129754,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
9,fmdl3b2-raw-shard-09,29648747840,90,SHARD_RAW_FACTS.parquet,ebe754ae0e40f49ba6ebf9d924a2d3af7218206a054f7d50de05aa7bf88982ce,17965429,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
10,fmdl3b2-raw-shard-10,29648747840,90,SHARD_RAW_FACTS.parquet,0765fa4a1846b67aa96462d7b9654f06d5d15ce4b028cf0e31a257b9cd5e7c56,18445430,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
11,fmdl3b2-raw-shard-11,29648747840,90,SHARD_RAW_FACTS.parquet,a69bc1732cc2315702aa2186acb0abe116327527875260a84a18e81b22012b23,18324323,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
12,fmdl3b2-raw-shard-12,29648747840,90,SHARD_RAW_FACTS.parquet,ff847f5668611197de768fa7151ed0e273f0aeaf5440ba24330345101f61a8b0,18193835,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
13,fmdl3b2-raw-shard-13,29648747840,90,SHARD_RAW_FACTS.parquet,46e2d467940d673b12a68961a9d616a4894187052c4e011246455909ef2ef605,16903721,FMDL3B2_SHARD_ACCEPTED,PASS,NONE
