shard_id,status,validation_status,symbol_count,supported_symbol_count,quarantined_symbol_count,non_bse_supported_ratio,official_pit_match_ratio,raw_fact_count,normalized_fact_count,decision_grade_fact_count,fallback_components_invoked,fallback_components_used,retry_symbol_count,ambiguous_mapping_group_count,future_fact_count,source_less_decision_grade_fact_count,duplicate_effective_interval_count,classified_conflict_count,unclassified_conflict_count,performed_validation_check_count,performed_validation_failure_count,qa_flag_count,elapsed_seconds,controlled_validation_exclusion_count,controlled_validation_classification_error_count,bse_indexed_periodic_report_count,bse_no_classified_periodic_report_count,bse_query_unresolved_count,membership_hash,trade_authority
0,FMDL3B2_SHARD_ACCEPTED,PASS,173,163,10,1.0,0.9851472067805567,393596,58887,57746,0,0,0,0,0,0,0,0,0,4347,0,10,1841.9677,0,0,10,0,0,bbe95d3f3014f619b6c5122c1870ff663fd5b2771aa8967c179e5a76cf30ca5d,NONE
1,FMDL3B2_SHARD_ACCEPTED,PASS,173,165,8,0.9939759036144579,0.9836575,400000,59979,58698,0,0,1,0,0,0,0,0,0,4411,0,9,1622.3281,1,0,7,0,0,496142f1304530cfad42c2bbe92c248ed1ec3cfb7dde6574d77bdd931dba49e1,NONE
2,FMDL3B2_SHARD_ACCEPTED,PASS,173,164,9,0.9939393939393939,0.9858892654908566,394168,59609,58557,0,0,1,0,0,0,0,0,0,4405,0,9,1415.4362,0,0,8,0,0,b3455fbb973917cd83640926c4e25167000ea4d45e48a6ce9a475833ddd297f6,NONE
3,FMDL3B2_SHARD_ACCEPTED,PASS,173,169,4,1.0,0.9945362744812735,412356,61785,61346,0,0,0,0,0,0,0,0,0,4543,0,6,1842.5385,1,0,3,1,0,f88f27d7e62f5b06347eddac97a231f9de469a0e9295edfaa54328e87f6002c8,NONE
4,FMDL3B2_SHARD_ACCEPTED,PASS,173,168,5,1.0,0.993323950601625,409973,61303,60727,0,0,0,0,0,0,0,0,0,4479,0,5,1620.3999,0,0,5,0,0,fb127249bf3dc2a2c4d7fba1e277377de6d830d02dcad9fc8ad15f372307e225,NONE
5,FMDL3B2_SHARD_ACCEPTED,PASS,173,161,12,0.9938271604938271,0.9787421139275453,391196,58239,56569,0,0,1,0,0,0,0,0,0,4295,0,13,1509.457,1,0,10,1,0,b1a74d7d76eba8c4a162774b6cc6f3b95a0e98cd5354f6c913a58f88c36b7c32,NONE
6,FMDL3B2_SHARD_ACCEPTED,PASS,173,167,6,1.0,0.9935796636029186,406365,60486,59969,0,0,0,0,0,0,0,0,0,4488,0,6,1794.3257,0,0,5,1,0,0727c141b59024f32b7babe27264775aac22a1268f76d7a4382ca81c581e65fb,NONE
7,FMDL3B2_SHARD_ACCEPTED,PASS,173,160,13,1.0,0.9931756634771619,387730,57868,57327,0,0,0,0,0,0,0,0,0,4278,0,13,1545.9692,0,0,10,3,0,644077b9696f52706921e7acb1175145f04fc143f8691db0cdfe963f73b055ac,NONE
8,FMDL3B2_SHARD_ACCEPTED,PASS,173,162,11,1.0,0.991775666135821,397479,58939,58240,0,0,0,0,0,0,0,0,0,4332,0,11,1590.7942,0,0,10,1,0,92fd0205aa24037fa33ab7418b1b450b0d147d31d27ab2ac10d964516485afd1,NONE
9,FMDL3B2_SHARD_ACCEPTED,PASS,173,162,11,1.0,0.9930146145618419,394538,59108,58585,0,0,0,0,0,0,0,0,0,4335,0,11,1821.1036,0,0,10,1,0,0588e03d6f8c1d25be7c9a65f600378b2ad10d7ad0919859a42656af55348f8e,NONE
