board,profile,statement_status,symbol_count
BSE,GENERAL_NON_FINANCIAL,QUARANTINED,1
BSE,PRE_PROFIT_OR_NEGATIVE_EARNINGS,QUARANTINED,1
CHINEXT,GENERAL_NON_FINANCIAL,SUPPORTED,1
SH_MAIN,BANK,SUPPORTED,1
SH_MAIN,GENERAL_NON_FINANCIAL,SUPPORTED,2
SH_MAIN,INSURANCE,SUPPORTED,1
SH_MAIN,SECURITIES_AND_BROKERAGE,SUPPORTED,1
STAR,GENERAL_NON_FINANCIAL,SUPPORTED,1
STAR,PRE_PROFIT_OR_NEGATIVE_EARNINGS,SUPPORTED,1
SZ_MAIN,BANK,SUPPORTED,1
SZ_MAIN,GENERAL_NON_FINANCIAL,SUPPORTED,1
SZ_MAIN,SECURITIES_AND_BROKERAGE,SUPPORTED,1
