symbol,entity,profile,board,official_filing_count,official_document_index_available,statement_status,status_reason,trade_authority,primary_statement_components,fallback_statement_components,common_primary_period_count
000001.SZ,平安银行,BANK,SZ_MAIN,13,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
000333.SZ,美的集团,GENERAL_NON_FINANCIAL,SZ_MAIN,12,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
000776.SZ,广发证券,SECURITIES_AND_BROKERAGE,SZ_MAIN,12,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
300750.SZ,宁德时代,GENERAL_NON_FINANCIAL,CHINEXT,11,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
430047.BJ,诺思兰德,PRE_PROFIT_OR_NEGATIVE_EARNINGS,BSE,14,True,QUARANTINED,BSE_OFFICIAL_DOCUMENT_INDEX_ONLY_PENDING_FMDL3B2_EXTRACTION,NONE,,,
600030.SH,中信证券,SECURITIES_AND_BROKERAGE,SH_MAIN,11,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
600036.SH,招商银行,BANK,SH_MAIN,10,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
600519.SH,贵州茅台,GENERAL_NON_FINANCIAL,SH_MAIN,10,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
601318.SH,中国平安,INSURANCE,SH_MAIN,20,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,11,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
688256.SH,寒武纪,PRE_PROFIT_OR_NEGATIVE_EARNINGS,STAR,10,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
688981.SH,中芯国际,GENERAL_NON_FINANCIAL,STAR,12,True,SUPPORTED,PRIMARY_THREE_STATEMENT_BUNDLE_WITH_OFFICIAL_PIT,NONE,3.0,3.0,9.0
835185.BJ,贝特瑞,GENERAL_NON_FINANCIAL,BSE,13,True,QUARANTINED,BSE_OFFICIAL_DOCUMENT_INDEX_ONLY_PENDING_FMDL3B2_EXTRACTION,NONE,,,
