symbol,name,profile,board,source_id,report_period_end,announcement_timestamp_raw,announcement_date,filing_title_raw,filing_title,filing_link,is_revision,revision_sequence,available_from,effective_from,superseded_at,structured_value_status,revision_id
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2023-12-31,2024-04-02T00:00:00,2024-04-02,关于变更《2023年年度<em>报告</em>》披露日期的公告,关于变更《2023年年度报告》披露日期的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1219489692&orgId=9900037724&announcementTime=2024-04-02,False,1,2024-04-03T09:30:00+08:00,2024-04-03T09:30:00+08:00,2024-04-11T09:30:00+08:00,DOCUMENT_ONLY_PRIOR_REVISION_NO_HISTORICAL_STRUCTURED_VALUE,f05974bb97bf1fabca4ff484cd7844843539122c98636970b2755f65a6848dc7
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2023-12-31,2024-04-10T00:00:00,2024-04-10,2023年年度<em>报告</em>,2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1219551898&orgId=9900037724&announcementTime=2024-04-10,False,2,2024-04-11T09:30:00+08:00,2024-04-11T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,a00830860af69766f8d1e77c157d20eff961671251fda7f5b72b285284276235
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2024-03-31,2024-04-23T00:00:00,2024-04-23,2024年第一季度<em>报告</em>,2024年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1219738314&orgId=9900037724&announcementTime=2024-04-23,False,1,2024-04-24T09:30:00+08:00,2024-04-24T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,53326a0f538ffe56295a5071a69c1049fbc1b747e5a857daf1d5e7e1098ab3d9
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2024-06-30,2024-08-14T00:00:00,2024-08-14,2024年半年度<em>报告</em>,2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1220861425&orgId=9900037724&announcementTime=2024-08-14,False,1,2024-08-15T09:30:00+08:00,2024-08-15T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,81d0852df605f6c7c259cc026c805ac67eaed9c9518d2226ff9fffe449a7e720
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2024-09-30,2024-10-22T00:00:00,2024-10-22,2024年第三季度<em>报告</em>,2024年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1221449712&orgId=9900037724&announcementTime=2024-10-22,False,1,2024-10-23T09:30:00+08:00,2024-10-23T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,5e254ba66d8e5478a61101ae7195ffb9a34cfb965726f69e6c306c94d09755a0
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2024-12-31,2025-04-18T00:00:00,2025-04-18,2024年年度<em>报告</em>,2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1223124690&orgId=9900037724&announcementTime=2025-04-18,False,1,2025-04-21T09:30:00+08:00,2025-04-21T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,7376ad0eecf3fb5b1852106eebda96d45b3b272348d7bbe1b70c66fdb09cb980
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2025-03-31,2025-04-18T00:00:00,2025-04-18,2025年第一季度<em>报告</em>,2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1223124661&orgId=9900037724&announcementTime=2025-04-18,False,1,2025-04-21T09:30:00+08:00,2025-04-21T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,73b1a4d122bf8b56422f96ecfcbd07f1224a421cefe56a8d340778e262b6a897
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2025-06-30,2025-08-19T00:00:00,2025-08-19,2025年半年度<em>报告</em>,2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1224502180&orgId=9900037724&announcementTime=2025-08-19,False,1,2025-08-20T09:30:00+08:00,2025-08-20T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,a6a28fcf1c31e8cf83bb64a6022a10bb3e7f81d3f9ef4557c8a82ac435ee0220
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2025-09-30,2025-10-28T00:00:00,2025-10-28,2025年第三季度<em>报告</em>,2025年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1224740525&orgId=9900037724&announcementTime=2025-10-28,False,1,2025-10-29T09:30:00+08:00,2025-10-29T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,ff696ef6308c131b822249d03820e3eef6cca33f14f6f8a8702a25ad7262277c
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,SRC-CNINFO-605090,2025-12-31,2026-04-24T00:00:00,2026-04-24,2025年年度<em>报告</em>,2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=605090&announcementId=1225161725&orgId=9900037724&announcementTime=2026-04-24,False,1,2026-04-27T09:30:00+08:00,2026-04-27T09:30:00+08:00,,CURRENT_PROVIDER_VALUE_BOUND_TO_LATEST_REVISION,759b2cb14801eb44da7b32f66d8e8e1a06475b651a6dd445ec723784a68962e9
