component,program_id,release_id,status,next_gate,trade_authority
FMDL-5-0,FMDL-5-0,FMDL5_0_20260720_c6d45dec3ade,FMDL5_0_CROSS_MARKET_ADAPTER_MASTER_PLAN_ACCEPTED,FMDL-5A_MARKET_CONTRACT_AND_UNIVERSE_BOUNDARY,NONE
FMDL-5A,FMDL-5A,FMDL5A_20260720_031b3430a7d0,FMDL5A_MARKET_CONTRACT_AND_UNIVERSE_BOUNDARY_ACCEPTED,FMDL-5B_HK_SECURITY_MASTER_AND_MARKET_SEMANTICS,NONE
FMDL-5B-1,FMDL-5B-1,FMDL5B1_20260720_d31e787a3ccd,FMDL5B1_SECURITY_IDENTITY_CONTRACT_AND_CANONICAL_MASTER_ACCEPTED,FMDL-5B-2_ISSUER_AND_CROSS_MARKET_SEMANTICS,NONE
FMDL-5B-2,FMDL-5B-2,FMDL5B2_20260721_752db2c65820,FMDL5B2_ISSUER_AND_CROSS_MARKET_SEMANTICS_ACCEPTED,FMDL-5C_PRICE_VOLUME_CORPORATE_ACTION_AND_FX_STORE,NONE
FMDL-5C,FMDL-5C,FMDL5C_20260721_52f17b755436,FMDL5C_PRICE_VOLUME_CORPORATE_ACTION_AND_FX_STORE_ACCEPTED,FMDL-5D_HKEX_DISCLOSURE_AND_FINANCIAL_NORMALIZATION,NONE
FMDL-5D,FMDL-5D,FMDL5D_20260721_0aee5654502c,FMDL5D_HKEX_DISCLOSURE_AND_FINANCIAL_NORMALIZATION_ACCEPTED_WITH_CONTROLLED_QUARANTINE,FMDL-5E_HONG_KONG_FACTOR_AND_SCREENING_ADAPTER,NONE
FMDL-5E,FMDL-5E,FMDL5E_20260721_5fd74c13444b,FMDL5E_HONG_KONG_FACTOR_AND_SCREENING_ADAPTER_ACCEPTED,FMDL-5F_PUBLIC_EQUITY_RESEARCH_ADAPTER,NONE
FMDL-5F,FMDL-5F,FMDL5F_20260721_20aecd58db1e,FMDL5F_PUBLIC_EQUITY_RESEARCH_ADAPTER_ACCEPTED,FMDL-5G_INVESTMENT_OS_INTEGRATION,NONE
FMDL-5G,FMDL-5G,FMDL5G_20260721_1144b9f54606,FMDL5G_INVESTMENT_OS_INTEGRATION_ACCEPTED,FMDL-5-FINAL_OPERATIONAL_ACCEPTANCE,NONE
INVESTMENT_OS_RELEASE8,POST-FMDL-4,INVESTMENT_OS_R8_20260720_501345e84562,INVESTMENT_OS_CANONICAL_REFRESH_AND_STATE_RECONCILIATION_ACCEPTED,FMDL-5_HONG_KONG_STOCK_CONNECT_EXTENSION,NONE
