canonical_security_id,stock_code,name_cn,name_en,shanghai_connect,shenzhen_connect,eligibility_status
HKEX:00001,00001,长和,CKH HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00002,00002,中电控股,CLP HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00003,00003,香港中华煤气,HK & CHINA GAS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00004,00004,九龙仓集团,WHARF HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00005,00005,汇丰控股,HSBC HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00006,00006,电能实业,POWER ASSETS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00008,00008,电讯盈科,PCCW,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00010,00010,恒隆集团,HANG LUNG GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00012,00012,恒基地产,HENDERSON LAND,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00013,00013,和黄医药,HUTCHMED,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00014,00014,希慎兴业,HYSAN DEV,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00016,00016,新鸿基地产,SHK PPT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00017,00017,新世界发展,NEW WORLD DEV,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00019,00019,太古股份公司Ａ,SWIRE PACIFIC A,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00020,00020,商汤－Ｗ,SENSETIME-W,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00023,00023,东亚银行,BANK OF E ASIA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00027,00027,银河娱乐,GALAXY ENT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00038,00038,第一拖拉机股份,FIRST TRACTOR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00041,00041,鹰君,GREAT EAGLE H,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00066,00066,港铁公司,MTR CORPORATION,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00081,00081,中国海外宏洋集团,CH OVS G OCEANS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00083,00083,信和置业,SINO LAND,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00087,00087,太古股份公司Ｂ,SWIRE PACIFIC B,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00101,00101,恒隆地产,HANG LUNG PPT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00107,00107,四川成渝高速公路,SICHUAN EXPRESS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00119,00119,保利置业集团,POLY PROPERTY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00123,00123,越秀地产,YUEXIU PROPERTY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00135,00135,昆仑能源,KUNLUN ENERGY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00136,00136,中国儒意,CHINA RUYI,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00142,00142,第一太平,FIRST PACIFIC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00144,00144,招商局港口,CHINA MER PORT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00148,00148,建滔集团,KINGBOARD HLDG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00151,00151,中国旺旺,WANT WANT CHINA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00152,00152,深圳国际,SHENZHEN INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00165,00165,中国光大控股,CHINA EB LTD,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00168,00168,青岛啤酒股份,TSINGTAO BREW,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00173,00173,嘉华国际,K. WAH INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00175,00175,吉利汽车,GEELY AUTO,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00177,00177,江苏宁沪高速公路,JIANGSU EXPRESS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00179,00179,德昌电机控股,JOHNSON ELEC H,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00187,00187,京城机电股份,JINGCHENG MAC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00189,00189,东岳集团,DONGYUE GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00200,00200,新濠国际发展,MELCO INT'L DEV,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00220,00220,统一企业中国,U-PRESID CHINA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00241,00241,阿里健康,ALI HEALTH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00257,00257,光大环境,EB ENVIRONMENT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00267,00267,中信股份,CITIC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00268,00268,金蝶国际,KINGDEE INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00270,00270,粤海投资,GUANGDONG INV,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00285,00285,比亚迪电子,BYD ELECTRONIC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00288,00288,万洲国际,WH GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00290,00290,国富量子,GOFINTECH QUANT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00291,00291,华润啤酒,CHINA RES BEER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00293,00293,国泰航空,CATHAY PAC AIR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00297,00297,中化化肥,SINOFERT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00300,00300,美的集团,MIDEA GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00303,00303,,VTECH HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
