relationship_id,relationship_type,issuer_id,primary_security_id,primary_market_code,related_market,related_security_code,evidence_status,evidence_source
HKEX-REL:0066699855eed885,HKD_RMB_DUAL_COUNTER,HKEX-FUND:955401da53d53118,HKEX:03483,03483,HKEX_RMB_COUNTER,83483,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:0aac121c74646ae9,HKD_RMB_DUAL_COUNTER,HKEX-ISSUER:aa7d6d495450c204,HKEX:00020,00020,HKEX_RMB_COUNTER,80020,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:0e4a77699276c151,HKD_RMB_DUAL_COUNTER,HKEX-ISSUER:96cc4965ea163a66,HKEX:01299,01299,HKEX_RMB_COUNTER,81299,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:0ee5377c7259f8d6,HKD_RMB_DUAL_COUNTER,HKEX-FUND:d97f9f1ac95fd100,HKEX:03110,03110,HKEX_RMB_COUNTER,83110,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:10e81efa937732a2,HKD_RMB_DUAL_COUNTER,HKEX-ISSUER:a177395cc371ce22,HKEX:09988,09988,HKEX_RMB_COUNTER,89988,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:11abd79b355e57eb,HKD_RMB_DUAL_COUNTER,HKEX-ISSUER:2538129ebfa3a483,HKEX:02333,02333,HKEX_RMB_COUNTER,82333,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:178606c5f87836f4,HKD_RMB_DUAL_COUNTER,HKEX-FUND:1ec61c8e4c960af0,HKEX:03069,03069,HKEX_RMB_COUNTER,83069,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:2775d7666caf070c,HKD_RMB_DUAL_COUNTER,HKEX-ISSUER:c10ccfd77ca329ef,HKEX:00992,00992,HKEX_RMB_COUNTER,80992,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:2f4ce1050431ab8c,HKD_RMB_DUAL_COUNTER,HKEX-ISSUER:dbdd175b56045ab4,HKEX:02318,02318,HKEX_RMB_COUNTER,82318,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
HKEX-REL:39b2dad8fe0ba566,HKD_RMB_DUAL_COUNTER,HKEX-ISSUER:e0663111149762d6,HKEX:00175,00175,HKEX_RMB_COUNTER,80175,CONFIRMED,HKEX_DUAL_COUNTER_SECURITY_LIST
