issuer_id,issuer_name_en,issuer_type,issuer_status,primary_security_id,member_security_count,member_security_ids,official_name_variants,identity_basis
HKEX-FUND:049007d34d9db961,GX MSCI CHINA,FUND,CONFIRMED,HKEX:03040,1,HKEX:03040,GX MSCI CHINA,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:052b9b3a1319b95d,CSOP HSI ETF,FUND,CONFIRMED,HKEX:03037,1,HKEX:03037,CSOP HSI ETF,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:1b2e107d996e26d7,CSOP HKKRTECH,FUND,CONFIRMED,HKEX:03431,1,HKEX:03431,CSOP HKKRTECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:1ec61c8e4c960af0,CAM HSBIOTECH,FUND,CONFIRMED,HKEX:03069,1,HKEX:03069,CAM HSBIOTECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:26e3a8fef6b90bc8,BOS CSOE HIDV,FUND,CONFIRMED,HKEX:03437,1,HKEX:03437,BOS CSOE HIDV,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:26eb99fd1d1ecf09,ICBCCSOPCHINA,FUND,CONFIRMED,HKEX:03167,1,HKEX:03167,ICBCCSOPCHINA,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:2f2cf5d46b123d39,PA TECHSELECT,FUND,CONFIRMED,HKEX:03406,1,HKEX:03406,PA TECHSELECT,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:2f9dda876790cea5,CAM HSI ESG,FUND,CONFIRMED,HKEX:03403,1,HKEX:03403,CAM HSI ESG,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:30cd853e004cd0ed,ISHARESHSTECH,FUND,CONFIRMED,HKEX:03067,1,HKEX:03067,ISHARESHSTECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:37215109b3e96394,CSOP HKUSTECH,FUND,CONFIRMED,HKEX:03442,1,HKEX:03442,CSOP HKUSTECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:376b4dd5fec28b2e,CSOP HS TECH,FUND,CONFIRMED,HKEX:03033,1,HKEX:03033,CSOP HS TECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:3f431e3b1d093603,HSCEI ETF,FUND,CONFIRMED,HKEX:02828,1,HKEX:02828,HSCEI ETF,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:4cb9813cf2e2062a,CAM HS TECH,FUND,CONFIRMED,HKEX:03088,1,HKEX:03088,CAM HS TECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:52c41ce2eb3f1f24,EFUNDHSIESG,FUND,CONFIRMED,HKEX:03039,1,HKEX:03039,EFUNDHSIESG,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:5c74621ded06b82f,HSTECH ETF,FUND,CONFIRMED,HKEX:03032,1,HKEX:03032,HSTECH ETF,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:6092fabb6a34676c,PING AN HKDIV,FUND,CONFIRMED,HKEX:03070,1,HKEX:03070,PING AN HKDIV,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:684d20245a533ef1,CSOP HSBIOTECH,FUND,CONFIRMED,HKEX:03174,1,HKEX:03174,CSOP HSBIOTECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:7918897d828c44e7,TRACKER FUND,FUND,CONFIRMED,HKEX:02800,1,HKEX:02800,TRACKER FUND,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:7b5a785bed225667,GX HS TECH,FUND,CONFIRMED,HKEX:02837,1,HKEX:02837,GX HS TECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:8a9420086d6efaf9,CSOP EWSELECT,FUND,CONFIRMED,HKEX:03441,1,HKEX:03441,CSOP EWSELECT,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:940181366f8a68eb,WISECSIHK100ETF,FUND,CONFIRMED,HKEX:02825,1,HKEX:02825,WISECSIHK100ETF,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:955401da53d53118,EFUND APAC HD,FUND,CONFIRMED,HKEX:03483,1,HKEX:03483,EFUND APAC HD,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:a69d81546465ae37,CSOP SCHIGHDIV,FUND,CONFIRMED,HKEX:03469,1,HKEX:03469,CSOP SCHIGHDIV,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:acb8d3e30c0705ae,PA EW SELECT,FUND,CONFIRMED,HKEX:03477,1,HKEX:03477,PA EW SELECT,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:af3b8f9caca5dc81,ISHARESHSI,FUND,CONFIRMED,HKEX:03115,1,HKEX:03115,ISHARESHSI,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:b79971eea0ed4bd9,ISHARES CHINA,FUND,CONFIRMED,HKEX:02801,1,HKEX:02801,ISHARES CHINA,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:bf1ba0804db86de7,CMS HS TECH,FUND,CONFIRMED,HKEX:03423,1,HKEX:03423,CMS HS TECH,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:d97f9f1ac95fd100,GX HS HIGHDIV,FUND,CONFIRMED,HKEX:03110,1,HKEX:03110,GX HS HIGHDIV,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:f04e50cce4eea2d9,CSOP HK EQUITY,FUND,CONFIRMED,HKEX:03443,1,HKEX:03443,CSOP HK EQUITY,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:f1130e961d7b9f47,CSOP HKCNCON,FUND,CONFIRMED,HKEX:03432,1,HKEX:03432,CSOP HKCNCON,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-FUND:f19cdf0745648b56,EFUND AI,FUND,CONFIRMED,HKEX:03489,1,HKEX:03489,EFUND AI,HKEX_SECURITY_MASTER_ISIN_CONFIRMED
HKEX-ISSUER-UNRESOLVED:937933f5b8674a03,HESAI,CORPORATE,UNRESOLVED,HKEX:02983,1,HKEX:02983,HESAI-W,SECURITY_ANCHORED_UNRESOLVED
HKEX-ISSUER:0074238f49da475b,Crystal International Group Ltd.,CORPORATE,CONFIRMED,HKEX:02232,1,HKEX:02232,Crystal International Group Ltd.,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:00ac449e7c4e65b6,Fibocom Wireless Inc.,CORPORATE,CONFIRMED,HKEX:00638,1,HKEX:00638,Fibocom Wireless Inc.  - H Shares,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:00fcd2387a837295,"Shenzhen Edge Medical Co., Ltd.",CORPORATE,CONFIRMED,HKEX:02675,1,HKEX:02675,"Shenzhen Edge Medical Co., Ltd. - B  - H Shares",HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:011902f6a16ee1fc,GenFleet Therapeutics (Shanghai) Inc.,CORPORATE,CONFIRMED,HKEX:02595,1,HKEX:02595,GenFleet Therapeutics (Shanghai) Inc. - B  - H Shares,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:01b731816acf7762,JST Group Corporation Ltd.,CORPORATE,CONFIRMED,HKEX:06687,1,HKEX:06687,JST Group Corporation Ltd.,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:01e6e54d5a389886,Dongjiang Environmental Co. Ltd.,CORPORATE,CONFIRMED,HKEX:00895,1,HKEX:00895,Dongjiang Environmental Co. Ltd.  - H Shares,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:020a5d1a8a2111a0,West China Cement Ltd.,CORPORATE,CONFIRMED,HKEX:02233,1,HKEX:02233,West China Cement Ltd.,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:02514108a421291b,Sinopharm Group Co. Ltd.,CORPORATE,CONFIRMED,HKEX:01099,1,HKEX:01099,Sinopharm Group Co. Ltd.  - H Shares,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:02e809a44c49ea4b,"S.F. Holding Co., Ltd.",CORPORATE,CONFIRMED,HKEX:06936,1,HKEX:06936,"S.F. Holding Co., Ltd.  - H Shares",HKEX_DI_STOCK_CODE_CONFIRMED
HKEX-ISSUER:03739a22c5e6eb4b,"Jiangsu Guofu Hydrogen Energy Equipment Co., Ltd.",CORPORATE,CONFIRMED,HKEX:02582,1,HKEX:02582,"Jiangsu Guofu Hydrogen Energy Equipment Co., Ltd.  - H Shares",HKEX_DI_STOCK_CODE_CONFIRMED
