security_id,issuer_id,stock_code_5d,official_security_name_en,official_issuer_name_en,issuer_identity_status,issuer_identity_basis,hkex_di_sid,hkex_di_all_sids,hkex_di_all_issuer_names,category,sub_category,security_type,board_lot,isin,trading_currency,rmb_counter_code,dual_counter_flag,wvr_flag,secondary_listing_flag,biotech_chapter18a_flag,h_share_flag,a_share_class_exists,depositary_receipt_flag,gem_flag,source_release_id,hkex_full_list_sha256,di_response_sha256
HKEX:00001,HKEX-ISSUER:5987b84130d54ca5,00001,CKH HOLDINGS,CK Hutchison Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,1,1,CK Hutchison Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,KYG217651051,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,64a6de2bf62397d2b8e952fcf9ab91343e28c41d36c0f4e043e62e5578a7478c
HKEX:00002,HKEX-ISSUER:2318d2db9e6e5059,00002,CLP HOLDINGS,CLP Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,2,2,CLP Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,HK0002007356,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,822b65cfc20764fd384477a69820f0e1b6642e309ba9821cc094fedc8ba32422
HKEX:00003,HKEX-ISSUER:69ee482af0ee9616,00003,HK & CHINA GAS,"Hong Kong and China Gas Co. Ltd., The",CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,3,3,"Hong Kong and China Gas Co. Ltd., The",Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0003000038,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,2dc866b944fd0d837da8d56c5f1e7da5cfd1d7b00779644a0dad149c8496cda3
HKEX:00004,HKEX-ISSUER:49551336e987a409,00004,WHARF HOLDINGS,"Wharf (Holdings) Ltd., The",CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,4,4,"Wharf (Holdings) Ltd., The",Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0004000045,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,2a10ad767972874617b2fd6f3405a4c281d98c6fb4f29684dd213abf4a688e0a
HKEX:00005,HKEX-ISSUER:a152e44b20285944,00005,HSBC HOLDINGS,HSBC Holdings plc,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,5,5,HSBC Holdings plc,Equity,Equity Securities (Main Board),COMMON_EQUITY,400,GB0005405286,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,c561d9dcc056aba345d26623498df4401a346906547121ae1e6f17cf8f628880
HKEX:00006,HKEX-ISSUER:44f9b000241f3614,00006,POWER ASSETS,Power Assets Holdings Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,6,6,Power Assets Holdings Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,HK0006000050,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,6cf4ee31ff5081fa56dc246aaba9eda3d73673c58173e2a40659e596b3436957
HKEX:00008,HKEX-ISSUER:9b2df45225097e60,00008,PCCW,PCCW Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,10,10,PCCW Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0008011667,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,84e8b6125969ca965a7115da9d0fcd95c4f933b949fca52189aa89727947dfcb
HKEX:00010,HKEX-ISSUER:ebd9df2132f9fe5a,00010,HANG LUNG GROUP,Hang Lung Group Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,17,17,Hang Lung Group Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0010000088,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,0a88f5701d55790b92ff69556f73997ca0b1a4137e9a3c28fe4f3ee0abe820b2
HKEX:00012,HKEX-ISSUER:98b5ef2254a0a65b,00012,HENDERSON LAND,Henderson Land Development Co. Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,19,19,Henderson Land Development Co. Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,1000,HK0012000102,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,a9c8e6fb8de86eb0b5654bd1b9c3f5ed90f99f2f8ccbd59839440414cd073b52
HKEX:00013,HKEX-ISSUER:5081ef4fb59837ac,00013,HUTCHMED,HUTCHMED (China) Ltd.,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED,344192,344192,HUTCHMED (China) Ltd.,Equity,Equity Securities (Main Board),COMMON_EQUITY,500,KYG4672N1198,HKD,,False,False,False,False,False,False,False,False,FMDL5B1_20260720_d31e787a3ccd,f2025b4cb11bbd9b503899215e23b5cd35859f5544f930c6c8b9db9bb86d0756,f888d40bbea530f30d95b3453aeed002b7d1946889f94a798718362a81debf7f
