security_id,stock_code_5d,failure_type,details
HKEX:02800,02800,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:02801,02801,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:02825,02825,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:02828,02828,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:02837,02837,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03032,03032,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03033,03033,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03037,03037,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03039,03039,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03040,03040,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03067,03067,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03069,03069,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03070,03070,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03088,03088,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03110,03110,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03115,03115,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03167,03167,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03174,03174,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03403,03403,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03406,03406,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03423,03423,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03431,03431,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03432,03432,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03437,03437,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03441,03441,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03442,03442,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03443,03443,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03469,03469,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03477,03477,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03483,03483,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
HKEX:03489,03489,NOT_APPLICABLE_FUND_CONTROLLED_EXCLUSION,ETF
