security_id,issuer_id,stock_code_5d,official_security_name_en,official_issuer_name_en,profile,period_end,currency,available_from,official_filing_id,official_filing_url,accounts_payable,cash_equivalents,cost_of_revenue,customer_deposits,eps_basic,eps_diluted,fee_commission_net,goodwill,gross_profit,insurance_contract_liabilities,intangibles_net,interest_expense,interest_income,inventory,investment_property,loans_advances,net_income_parent,net_interest_income,operating_profit,ppne_net,pretax_income,revenue,tax_expense,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities
HKEX:00001,HKEX-ISSUER:5987b84130d54ca5,00001,CKH HOLDINGS,CK Hutchison Holdings Ltd.,GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-05-22T09:30:00+08:00,bc2787894119a2525f59004c942549d451008df6fb2c8c226f5476d67ae43ead,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0521/2026052100745.pdf,,,,,2.7909498,,,247981760660.0,141671863440.0,,113672043440.0,,,24105135360.0,,,10695028020.0,,17125051200.0,90394257600.0,24031974540.0,252934115920.0,6536603140.0,1043826967060.0,192153732460.0,122295084780.0,,422057544820.0
HKEX:00002,HKEX-ISSUER:2318d2db9e6e5059,00002,CLP HOLDINGS,CLP Holdings Ltd.,GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-05-11T09:30:00+08:00,03ef12033cadc8ded0c18bcbf9ed6bd7ae4a58eb19346d09047b68b5ac7e1876,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0508/2026050800993.pdf,,,,,3.7393308,3.7393308,,11457345700.0,26660344740.0,,,,175224680.0,3357268740.0,681027880.0,,9454906960.0,,12890755840.0,150019422680.0,12826627220.0,79499617960.0,2398049100.0,215548033680.0,20627738360.0,34696293080.0,,109487425180.0
HKEX:00003,HKEX-ISSUER:69ee482af0ee9616,00003,HK & CHINA GAS,"Hong Kong and China Gas Co. Ltd., The",GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-04-29T09:30:00+08:00,23c8bf1504cb13b98dab778304d4059eb1fffd25052e7ab6c6c39a2e1ff1fc89,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0428/2026042801669.pdf,,,,,0.2754821,0.27277244,,,7345075362.0,,4031522470.0,,,2716253506.0,871246012.0,,5137696004.0,,7722260034.0,64983698374.0,7772930676.0,49068600686.0,1707898698.0,147726237422.0,21715937816.0,34569300348.0,,83245993876.0
HKEX:00004,HKEX-ISSUER:49551336e987a409,00004,WHARF HOLDINGS,"Wharf (Holdings) Ltd., The",GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-04-15T09:30:00+08:00,4846bbc4f425f2a8e0bd376d4f9f74153bc93b4126fbbcd2d98919eb83e90dfe,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0414/2026041400316.pdf,,,,,0.0180644,0.0180644,,269159560.0,6495958240.0,,,,,,51948698300.0,,45161000.0,,4577518960.0,10746511560.0,37032020.0,9932710340.0,70451160.0,179297298980.0,52228696500.0,18841169200.0,,41630313020.0
HKEX:00005,HKEX-ISSUER:a152e44b20285944,00005,HSBC HOLDINGS,HSBC Holdings plc,BANK,2025-12-31,HKD,2026-05-06T09:30:00+08:00,ca7ecebf8e952a268b64611d2437cc47f6f3c91a9c71484558d5fde99bc87684,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0505/2026050500375.pdf,,,,12559256646400.0,8.504848,8.43456,93785278400.0,,,,,443362646400.0,687922713600.0,,,,148321737600.0,244560067200.0,196778284800.0,,210210321600.0,,47627148800.0,22724349379200.0,,,1445585180800.0,21278764198400.0
HKEX:00006,HKEX-ISSUER:44f9b000241f3614,00006,POWER ASSETS,Power Assets Holdings Ltd.,GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-04-22T09:30:00+08:00,da008f7851757d98e679bbdd145e5713b243d156bc7f3b80c03300a3ba3f409a,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0421/2026042100680.pdf,,,,,2.6464346,2.6464346,,,696382620.0,,,,,,,,5632479920.0,,378449180.0,14451520.0,5829381880.0,696382620.0,196901960.0,88809106500.0,2726821180.0,4560357780.0,,6864472000.0
HKEX:00008,HKEX-ISSUER:9b2df45225097e60,00008,PCCW,PCCW Ltd.,GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-04-02T09:30:00+08:00,940bc802bf693bb29ade1bc7d737998882af1f01763d6837d62dd4ff85c22d1f,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0401/2026040102838.pdf,,,19447229820.0,,-0.029535294,-0.029535294,,16264282540.0,16909181620.0,,22095470860.0,,86709120.0,1539990100.0,,,-228514660.0,,5290159540.0,27205889620.0,3091722060.0,36356411440.0,729801760.0,95207516980.0,16854988420.0,27236599100.0,,89060201660.0
HKEX:00010,HKEX-ISSUER:ebd9df2132f9fe5a,00010,HANG LUNG GROUP,Hang Lung Group Ltd.,GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-05-04T09:30:00+08:00,43acf95fe7d9777c89ce3b784d9b9e5b761e09230771b9458be9035a1f7ab258,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0430/2026043003058.pdf,,,,,0.9122522,0.9122522,,,6174411920.0,,,,37032020.0,,183258821900.0,,1237411400.0,,4551325580.0,3221785740.0,3736621140.0,9406133080.0,1520119260.0,213369467040.0,21501152100.0,13853588360.0,,73129207300.0
HKEX:00012,HKEX-ISSUER:98b5ef2254a0a65b,00012,HENDERSON LAND,Henderson Land Development Co. Ltd.,GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-06-03T09:30:00+08:00,b8f835820244343f0522d08e0124e7f2c7fe1fc261946c6b7ac62c7a8c7a897c,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0602/2026060202133.pdf,,,,,1.0567674,1.0296708,,236643640.0,7419049080.0,,82193020.0,,401029680.0,71915279620.0,249409751480.0,,5105902660.0,,5179966700.0,5592738240.0,5843833400.0,23249786020.0,43354560.0,487179706820.0,103862171020.0,33505849120.0,,179284653900.0
HKEX:00013,HKEX-ISSUER:5081ef4fb59837ac,00013,HUTCHMED,HUTCHMED (China) Ltd.,GENERAL_NON_FINANCIAL,2025-12-31,HKD,2026-05-13T09:30:00+08:00,634a1cb64f563f2af88e779a1e7f5696394adf1658cf4c6c084bd791c2107585,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0512/2026051201186.pdf,,,2053358488.0,,3.725264,3.654976,,21873625.6,1491251294.4,,,,350575457.6,289087515.2,,,3211521979.2,,3076758796.8,665086142.4,3664408649.6,3289499486.4,447101968.0,12322168193.6,11016533449.6,2219519320.0,,3527297848.0
