as_of_date,case_type,case_rank,security_id,stock_code_5d,official_security_name_en,official_issuer_name_en,investability_status,baseline_score,dividend_yield_365d,corporate_action_count_365d,a_share_class_exists,h_share_flag,wvr_flag,dual_counter_flag,secondary_listing_flag,biotech_chapter18a_flag
2026-07-21,A_SHARE_CLASS,1,HKEX:01919,01919,COSCO SHIP HOLD,"COSCO SHIPPING Holdings Co., Ltd.  - H Shares",ELIGIBLE_CORE,0.787671107820512,0.07439015434892311,2,True,True,False,False,False,False
2026-07-21,A_SHARE_CLASS,2,HKEX:00300,00300,MIDEA GROUP,"Midea Group Co., Ltd.  - H Shares",ELIGIBLE_CORE,0.7871513702981232,0.05170183947625995,2,True,True,False,False,False,False
2026-07-21,A_SHARE_CLASS,3,HKEX:00939,00939,CCB,China Construction Bank Corporation  - H Shares,ELIGIBLE_CORE,0.7725676357633923,0.05139484800474916,2,True,True,False,False,False,False
2026-07-21,A_SHARE_CLASS,4,HKEX:03968,03968,CM BANK,"China Merchants Bank Co., Ltd.  - H Shares",ELIGIBLE_CORE,0.7529253709882764,0.04715371493586194,2,True,True,False,False,False,False
2026-07-21,A_SHARE_CLASS,5,HKEX:02016,02016,CZBANK,"China Zheshang Bank Co., Ltd.  - H Shares",ELIGIBLE_CORE,0.746203664164486,0.06433034423996485,1,True,True,False,False,False,False
2026-07-21,H_SHARE,1,HKEX:03698,03698,HUISHANG BANK,Huishang Bank Corporation Ltd.  - H Shares,ELIGIBLE_CORE,0.8269037192513478,0.059644811153794525,1,False,True,False,False,False,False
2026-07-21,H_SHARE,2,HKEX:01919,01919,COSCO SHIP HOLD,"COSCO SHIPPING Holdings Co., Ltd.  - H Shares",ELIGIBLE_CORE,0.787671107820512,0.07439015434892311,2,True,True,False,False,False,False
2026-07-21,H_SHARE,3,HKEX:00300,00300,MIDEA GROUP,"Midea Group Co., Ltd.  - H Shares",ELIGIBLE_CORE,0.7871513702981232,0.05170183947625995,2,True,True,False,False,False,False
2026-07-21,H_SHARE,4,HKEX:00177,00177,JIANGSU EXPRESS,Jiangsu Expressway Co. Ltd.  - H Shares,ELIGIBLE_CORE,0.7812840941129748,0.05555555597604688,1,False,True,False,False,False,False
2026-07-21,H_SHARE,5,HKEX:00939,00939,CCB,China Construction Bank Corporation  - H Shares,ELIGIBLE_CORE,0.7725676357633923,0.05139484800474916,2,True,True,False,False,False,False
2026-07-21,WVR,1,HKEX:02057,02057,ZTO EXPRESS-W,ZTO Express (Cayman) Inc. - W,ELIGIBLE_CORE,0.7224690314694434,0.028775202127659574,2,False,False,True,False,False,False
2026-07-21,WVR,2,HKEX:02423,02423,BEKE-W,KE Holdings Inc. - W,ELIGIBLE_CORE,0.5915195503480707,0.01644547172737074,1,False,False,True,False,False,False
2026-07-21,WVR,3,HKEX:03690,03690,MEITUAN-W,Meituan - W,ELIGIBLE_CORE,0.510464894759812,0.0,0,False,False,True,True,False,False
2026-07-21,WVR,4,HKEX:01519,01519,J&T EXPRESS-W,J&T Global Express Ltd. - W,ELIGIBLE_CORE,0.48220840419165484,0.0,0,False,False,True,False,False,False
